variant,model,objective,threshold,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_sensitivity,old_specificity,old_auc,third_accuracy,third_balanced_accuracy,third_f1,third_tn,third_fp,third_fn,third_tp,third_sensitivity,third_specificity,third_auc
crop,logreg_c0.01,accuracy,0.62,0.7052631578947368,0.7044178486997636,0.676923076923077,113,31,53,88,0.624113475177305,0.7847222222222222,0.7545311268715524,0.7189542483660131,0.6147648083623694,0.4266666666666667,188,36,50,32,0.3902439024390244,0.8392857142857143,0.6610953832752613
crop,logreg_c0.01,sens90,0.16999999999999998,0.6491228070175439,0.6519651300236406,0.7222222222222222,55,89,11,130,0.9219858156028369,0.3819444444444444,0.7545311268715524,0.4869281045751634,0.5799760452961673,0.44912280701754387,85,139,18,64,0.7804878048780488,0.3794642857142857,0.6610953832752613
crop,logreg_c0.03,balanced_accuracy,0.33999999999999997,0.6947368421052632,0.6956264775413712,0.7166123778501629,88,56,31,110,0.7801418439716312,0.6111111111111112,0.7513790386130812,0.6209150326797386,0.6289743031358885,0.4774774774774775,137,87,29,53,0.6463414634146342,0.6116071428571429,0.647484756097561
crop,logreg_c0.03,accuracy,0.33999999999999997,0.6947368421052632,0.6956264775413712,0.7166123778501629,88,56,31,110,0.7801418439716312,0.6111111111111112,0.7513790386130812,0.6209150326797386,0.6289743031358885,0.4774774774774775,137,87,29,53,0.6463414634146342,0.6116071428571429,0.647484756097561
crop,logreg_c0.03,sens90,0.10999999999999999,0.6421052631578947,0.6448729314420804,0.7150837988826816,55,89,13,128,0.9078014184397163,0.3819444444444444,0.7513790386130812,0.5065359477124183,0.5895034843205575,0.4548736462093863,92,132,19,63,0.7682926829268293,0.4107142857142857,0.647484756097561
crop,logreg_c0.1,balanced_accuracy,0.6499999999999999,0.6982456140350877,0.697621158392435,0.6766917293233082,109,35,51,90,0.6382978723404256,0.7569444444444444,0.7494089834515366,0.6699346405228758,0.5774172473867596,0.3803680981595092,174,50,51,31,0.3780487804878049,0.7767857142857143,0.6376851045296169
crop,logreg_c0.1,accuracy,0.6499999999999999,0.6982456140350877,0.697621158392435,0.6766917293233082,109,35,51,90,0.6382978723404256,0.7569444444444444,0.7494089834515366,0.6699346405228758,0.5774172473867596,0.3803680981595092,174,50,51,31,0.3780487804878049,0.7767857142857143,0.6376851045296169
crop,logreg_c0.1,sens90,0.12,0.6736842105263158,0.6757535460992908,0.7256637168141593,69,75,18,123,0.8723404255319149,0.4791666666666667,0.7494089834515366,0.5392156862745098,0.5963632404181185,0.4555984555984556,106,118,23,59,0.7195121951219512,0.4732142857142857,0.6376851045296169
crop,logreg_c0.3,balanced_accuracy,0.36999999999999994,0.6947368421052632,0.6951093380614657,0.7030716723549488,95,49,38,103,0.7304964539007093,0.6597222222222222,0.748473207249803,0.6274509803921569,0.602515243902439,0.4411764705882353,147,77,37,45,0.5487804878048781,0.65625,0.6322952961672474
crop,logreg_c0.3,accuracy,0.36999999999999994,0.6947368421052632,0.6951093380614657,0.7030716723549488,95,49,38,103,0.7304964539007093,0.6597222222222222,0.748473207249803,0.6274509803921569,0.602515243902439,0.4411764705882353,147,77,37,45,0.5487804878048781,0.65625,0.6322952961672474
