train_config,model,eval_domain,train_domains,threshold_source,oof_selection_score,n,threshold,accuracy,balanced_accuracy,f1,tn,fp,fn,tp,high_recall,low_specificity,auc
train_old_plus_third,logreg_l2_balanced,old_data,"old_data,third_batch",train_5fold_oof_balanced_accuracy,0.5602273835055567,285,0.48999999999999994,0.6421052631578947,0.6430998817966903,0.6709677419354839,79,65,37,104,0.7375886524822695,0.5486111111111112,0.7118794326241136
train_old_plus_third,logreg_l2_balanced,strict_external,"old_data,third_batch",train_5fold_oof_balanced_accuracy,0.5602273835055567,108,0.48999999999999994,0.5462962962962963,0.5666201604464598,0.5811965811965812,25,36,13,34,0.723404255319149,0.4098360655737705,0.581792814788978
train_old_plus_third,logreg_l2_balanced,third_batch,"old_data,third_batch",train_5fold_oof_balanced_accuracy,0.5602273835055567,306,0.48999999999999994,0.6862745098039216,0.6774825783972125,0.5294117647058824,156,68,28,54,0.6585365853658537,0.6964285714285714,0.773573606271777
train_old_plus_third,random_forest_balanced,train_oof,"old_data,third_batch",train_5fold_oof_balanced_accuracy,0.5727237278221875,591,0.49999999999999994,0.5922165820642978,0.5727237278221875,0.4772234273318872,240,128,113,110,0.49327354260089684,0.6521739130434783,0.5602578475336324
train_old_plus_third,random_forest_balanced,new_external_160,"old_data,third_batch",train_5fold_oof_balanced_accuracy,0.5727237278221875,162,0.49999999999999994,0.49382716049382713,0.5170359052711994,0.08888888888888889,76,1,81,4,0.047058823529411764,0.987012987012987,0.5407181054239878
train_old_plus_third,random_forest_balanced,old_data,"old_data,third_batch",train_5fold_oof_balanced_accuracy,0.5727237278221875,285,0.49999999999999994,0.743859649122807,0.7439420803782506,0.743859649122807,106,38,35,106,0.75177304964539,0.7361111111111112,0.8289992119779354
train_old_plus_third,random_forest_balanced,strict_external,"old_data,third_batch",train_5fold_oof_balanced_accuracy,0.5727237278221875,108,0.49999999999999994,0.5740740740740741,0.5423787931635856,0.3783783783783784,48,13,33,14,0.2978723404255319,0.7868852459016393,0.5148238576909662
train_old_plus_third,random_forest_balanced,third_batch,"old_data,third_batch",train_5fold_oof_balanced_accuracy,0.5727237278221875,306,0.49999999999999994,0.7875816993464052,0.7930640243902439,0.6700507614213198,175,49,16,66,0.8048780487804879,0.78125,0.8764155052264808
train_old_plus_third,extra_trees_balanced,train_oof,"old_data,third_batch",train_5fold_oof_balanced_accuracy,0.555261746929226,591,0.5049999999999999,0.5803722504230119,0.555261746929226,0.4488888888888889,242,126,122,101,0.452914798206278,0.657608695652174,0.5406268278416846
train_old_plus_third,extra_trees_balanced,new_external_160,"old_data,third_batch",train_5fold_oof_balanced_accuracy,0.555261746929226,162,0.5049999999999999,0.48148148148148145,0.5040488922841864,0.08695652173913043,74,3,81,4,0.047058823529411764,0.961038961038961,0.5275783040488923
train_old_plus_third,extra_trees_balanced,old_data,"old_data,third_batch",train_5fold_oof_balanced_accuracy,0.555261746929226,285,0.5049999999999999,0.6526315789473685,0.6523345153664303,0.64,98,46,53,88,0.624113475177305,0.6805555555555556,0.7521178092986605
train_old_plus_third,extra_trees_balanced,strict_external,"old_data,third_batch",train_5fold_oof_balanced_accuracy,0.555261746929226,108,0.5049999999999999,0.5370370370370371,0.519358214161144,0.4186046511627907,40,21,29,18,0.3829787234042553,0.6557377049180327,0.523892570631322
train_old_plus_third,extra_trees_balanced,third_batch,"old_data,third_batch",train_5fold_oof_balanced_accuracy,0.555261746929226,306,0.5049999999999999,0.7450980392156863,0.6983340592334495,0.5568181818181818,179,45,33,49,0.5975609756097561,0.7991071428571429,0.8121189024390244
