base_name,base_idx,threshold_objective,threshold,train_accuracy,train_balanced_accuracy,train_f1,train_tn,train_fp,train_fn,train_tp,train_auc,old_oof_accuracy,old_oof_balanced_accuracy,old_oof_f1,old_oof_tn,old_oof_fp,old_oof_fn,old_oof_tp,old_oof_auc,adapt_oof_accuracy,adapt_oof_balanced_accuracy,adapt_oof_f1,adapt_oof_tn,adapt_oof_fp,adapt_oof_fn,adapt_oof_tp,adapt_oof_auc,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_auc
adapt_r2_c0.001,9,accuracy,0.5399999999999999,0.6778711484593838,0.6777498428661219,0.6866485013623979,116,56,59,126,0.7215901948460088,0.6701754385964912,0.670065011820331,0.6642857142857143,98,46,48,93,0.730003940110323,0.7083333333333334,0.6964285714285714,0.7586206896551724,18,10,11,33,0.6712662337662338,0.7393162393162394,0.6534640171858217,0.39603960396039606,153,43,18,20,0.7360365198711063
adapt_r1_c0.001,5,accuracy,0.49999999999999994,0.6778711484593838,0.6769327467001887,0.6933333333333334,112,60,55,130,0.7335009428032684,0.6701754385964912,0.6703605200945626,0.6736111111111112,94,50,44,97,0.7321217494089834,0.7083333333333334,0.6964285714285714,0.7586206896551724,18,10,11,33,0.739448051948052,0.688034188034188,0.6228517722878625,0.35398230088495575,141,55,18,20,0.736439312567132
adapt_r2_c0.0003,8,balanced_accuracy,0.5299999999999999,0.6722689075630253,0.6745914519170333,0.6588921282798834,127,45,72,113,0.7219358893777499,0.656140350877193,0.6552157210401892,0.6201550387596899,107,37,61,80,0.7163120567375887,0.7361111111111112,0.7321428571428572,0.7764705882352941,20,8,11,33,0.7345779220779222,0.7692307692307693,0.6925349087003223,0.4489795918367347,158,38,16,22,0.7602040816326531
adapt_r2_c0.0003,8,accuracy,0.5199999999999999,0.6722689075630253,0.6737743557511,0.6666666666666666,123,49,68,117,0.7219358893777499,0.6526315789473685,0.6519651300236406,0.6264150943396226,103,41,58,83,0.7163120567375887,0.75,0.7435064935064934,0.7906976744186046,20,8,10,34,0.7345779220779222,0.7393162393162394,0.6746777658431794,0.41904761904761906,151,45,16,22,0.7602040816326531
adapt_r4_c0.001,13,balanced_accuracy,0.5099999999999999,0.6722689075630253,0.6729572595851665,0.6740947075208914,119,53,64,121,0.7188246385920805,0.6701754385964912,0.6697695035460993,0.6544117647058824,102,42,52,89,0.7153270291568165,0.6805555555555556,0.6672077922077921,0.735632183908046,17,11,12,32,0.7086038961038961,0.7008547008547008,0.6729323308270676,0.4067796610169492,140,56,14,24,0.7359022556390978
adapt_r4_c0.001,13,accuracy,0.5099999999999999,0.6722689075630253,0.6729572595851665,0.6740947075208914,119,53,64,121,0.7188246385920805,0.6701754385964912,0.6697695035460993,0.6544117647058824,102,42,52,89,0.7153270291568165,0.6805555555555556,0.6672077922077921,0.735632183908046,17,11,12,32,0.7086038961038961,0.7008547008547008,0.6729323308270676,0.4067796610169492,140,56,14,24,0.7359022556390978
adapt_r1_c0.003,6,balanced_accuracy,0.4499999999999999,0.6722689075630253,0.6698931489629164,0.699228791773779,104,68,49,136,0.7089252042740415,0.6736842105263158,0.6743498817966903,0.6910299003322259,88,56,37,104,0.7178881008668242,0.6666666666666666,0.6493506493506493,0.7272727272727273,16,12,12,32,0.6599025974025974,0.6752136752136753,0.657626208378088,0.3870967741935484,134,62,14,24,0.7185821697099891
adapt_r1_c0.003,6,accuracy,0.4499999999999999,0.6722689075630253,0.6698931489629164,0.699228791773779,104,68,49,136,0.7089252042740415,0.6736842105263158,0.6743498817966903,0.6910299003322259,88,56,37,104,0.7178881008668242,0.6666666666666666,0.6493506493506493,0.7272727272727273,16,12,12,32,0.6599025974025974,0.6752136752136753,0.657626208378088,0.3870967741935484,134,62,14,24,0.7185821697099891
adapt_r8_c0.003,18,balanced_accuracy,0.41999999999999993,0.6722689075630253,0.6694846008799498,0.7022900763358778,102,70,47,138,0.7140477686989316,0.6736842105263158,0.6744976359338062,0.6950819672131148,86,58,35,106,0.7242907801418439,0.6666666666666666,0.6493506493506493,0.7272727272727273,16,12,12,32,0.661525974025974,0.6538461538461539,0.6660848549946294,0.39097744360902253,127,69,12,26,0.7082438238453275
adapt_r8_c0.003,18,accuracy,0.41999999999999993,0.6722689075630253,0.6694846008799498,0.7022900763358778,102,70,47,138,0.7140477686989316,0.6736842105263158,0.6744976359338062,0.6950819672131148,86,58,35,106,0.7242907801418439,0.6666666666666666,0.6493506493506493,0.7272727272727273,16,12,12,32,0.661525974025974,0.6538461538461539,0.6660848549946294,0.39097744360902253,127,69,12,26,0.7082438238453275
