align,pca_components,pca_explained,model,weighting,pseudo,threshold_objective,old_cv_threshold,old_cv_threshold_score,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_auc,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_auc,strict_accuracy,strict_balanced_accuracy,strict_f1,strict_tn,strict_fp,strict_fn,strict_tp,strict_auc
coral,32,0.6356862783432007,extra_d5,none,p90,balanced_accuracy,0.49999999999999994,0.6595005910165486,0.6596491228070176,0.6595005910165486,0.6523297491039427,97,47,50,91,0.6879432624113474,0.5833333333333334,0.5774328566445762,0.5263157894736842,38,23,22,25,0.5720265085455181,0.5714285714285714,0.5676815847395451,0.5263157894736842,35,23,22,25,0.5630961115187088
diag,200,0.9631379246711731,extra_d5,none,none,balanced_accuracy,0.48999999999999994,0.6124408983451537,0.6105263157894737,0.6124408983451537,0.6686567164179105,62,82,29,112,0.6630220646178093,0.5462962962962963,0.5641785838855947,0.5739130434782609,26,35,14,33,0.5158702476456226,0.5523809523809524,0.5665810711665444,0.584070796460177,25,33,14,33,0.5117388114453412
coral,64,0.7725445628166199,logreg_c01,top5sim,none,balanced_accuracy,0.62,0.6826241134751774,0.6842105263157895,0.6826241134751774,0.625,120,24,66,75,0.7121749408983451,0.5833333333333334,0.5652249738402512,0.47058823529411764,43,18,27,20,0.5727241018486222,0.580952380952381,0.5662142333088774,0.47619047619047616,41,17,27,20,0.5722670579603815
coral,128,0.897479772567749,logreg_c01,none,none,balanced_accuracy,0.69,0.6326093380614657,0.6350877192982456,0.6326093380614657,0.5185185185185185,125,19,85,56,0.6664204097714737,0.5833333333333334,0.5652249738402512,0.47058823529411764,43,18,27,20,0.5441227764213463,0.580952380952381,0.5662142333088774,0.47619047619047616,41,17,27,20,0.5447542186353632
coral,128,0.8976950645446777,rf_d5,none,p90,balanced_accuracy,0.5199999999999999,0.6169473995271868,0.6175438596491228,0.6169473995271868,0.5917602996254682,97,47,62,79,0.6487884160756502,0.5740740740740741,0.5667945587722358,0.5106382978723404,38,23,23,24,0.5723753051970701,0.5714285714285714,0.5656639765223771,0.5161290322580645,36,22,23,24,0.5689655172413793
coral,128,0.8976664543151855,extra_d5,none,p80,balanced_accuracy,0.5299999999999999,0.5938977541371159,0.5964912280701754,0.5938977541371159,0.460093896713615,121,23,92,49,0.604265169424744,0.5925925925925926,0.5612138123474015,0.40540540540540543,49,12,32,15,0.5430763864666899,0.5904761904761905,0.5647468818782098,0.410958904109589,47,11,32,15,0.5432868672046955
none,64,0.7726253271102905,logreg_c01,none,p85,balanced_accuracy,0.4099999999999999,0.6920065011820331,0.6912280701754386,0.6920065011820331,0.7105263157894737,89,55,33,108,0.7243892828999212,0.5833333333333334,0.5725497035228462,0.5054945054945055,40,21,24,23,0.5416811998604814,0.5714285714285714,0.5636463683052091,0.5054945054945055,37,21,24,23,0.5374174614820248
coral,64,0.7725162506103516,logreg_c001,none,none,balanced_accuracy,0.58,0.6215277777777778,0.624561403508772,0.6215277777777778,0.46766169154228854,131,13,94,47,0.6452915681639085,0.5925925925925926,0.5587722357865365,0.3888888888888889,50,11,33,14,0.5922567143355425,0.5904761904761905,0.5627292736610419,0.39436619718309857,48,10,33,14,0.5913426265590609
coral,64,0.7726958990097046,extra_d5,none,p90,balanced_accuracy,0.5099999999999999,0.6410313238770686,0.6421052631578947,0.6410313238770686,0.5984251968503937,107,37,65,76,0.6688829787234043,0.5833333333333334,0.5701081269619812,0.4943820224719101,41,20,25,22,0.6100453435647017,0.5714285714285714,0.5616287600880411,0.4943820224719101,38,20,25,22,0.6056493030080705
coral,128,0.8976596593856812,logreg_c01,none,p85,balanced_accuracy,0.6,0.6583185579196218,0.6596491228070176,0.6583185579196218,0.6072874493927125,113,31,66,75,0.6935086682427107,0.5740740740740741,0.5619114056505057,0.4888888888888889,40,21,25,22,0.5462155563306592,0.5714285714285714,0.5616287600880411,0.4943820224719101,38,20,25,22,0.5517241379310346
coral,32,0.6356950998306274,logreg_c001,maxsim,none,balanced_accuracy,0.49999999999999994,0.6978427895981087,0.6982456140350877,0.6978427895981087,0.6838235294117647,106,38,48,93,0.7089736012608352,0.5740740740740741,0.5716777118939658,0.5306122448979592,36,25,21,26,0.6208580397628183,0.5619047619047619,0.5610785033015407,0.5306122448979592,33,25,21,26,0.6104181951577403
coral,64,0.7727436423301697,extra_d5,none,p80,balanced_accuracy,0.49999999999999994,0.5788268321513003,0.5789473684210527,0.5788268321513003,0.5714285714285714,85,59,61,80,0.6102738376674547,0.5740740740740741,0.5716777118939658,0.5306122448979592,36,25,21,26,0.5859783746076037,0.5619047619047619,0.5610785033015407,0.5306122448979592,33,25,21,26,0.5810711665443874
coral,32,0.6358072757720947,logreg_c001,top5sim,none,balanced_accuracy,0.5299999999999999,0.6620124113475178,0.6631578947368421,0.6620124113475178,0.6190476190476191,111,33,63,78,0.6957742316784871,0.5833333333333334,0.5676665504011161,0.4827586206896552,42,19,26,21,0.6246948029298919,0.5714285714285714,0.5596111518708731,0.4827586206896552,39,19,26,21,0.6151870873074101
none,64,0.7724918127059937,logreg_c01,maxsim,none,balanced_accuracy,0.41999999999999993,0.6499704491725768,0.6491228070175439,0.6499704491725768,0.673202614379085,82,62,38,103,0.6817375886524822,0.5833333333333334,0.5676665504011161,0.4827586206896552,42,19,26,21,0.572026508545518,0.5714285714285714,0.5596111518708731,0.4827586206896552,39,19,26,21,0.5685986793837124
coral,128,0.8977439403533936,logreg_c001,none,none,balanced_accuracy,0.5499999999999999,0.675605791962175,0.6771929824561403,0.675605791962175,0.6166666666666667,119,25,67,74,0.689913317572892,0.5740740740740741,0.5594698290896407,0.4772727272727273,41,20,26,21,0.5277293337983955,0.5714285714285714,0.5596111518708731,0.4827586206896552,39,19,26,21,0.5293470286133529
coral,32,0.6358270049095154,logreg_c001,none,p90,balanced_accuracy,0.5099999999999999,0.6767139479905437,0.6771929824561403,0.6767139479905437,0.6592592592592592,104,40,52,89,0.7019306540583136,0.5740740740740741,0.5692361353331008,0.5208333333333334,37,24,22,25,0.618067666550401,0.5619047619047619,0.5590608950843727,0.5208333333333334,34,24,22,25,0.607483492296405
coral,64,0.7723233699798584,logreg_c01,none,p90,balanced_accuracy,0.6699999999999999,0.6503398345153665,0.6526315789473685,0.6503398345153665,0.5520361990950227,125,19,80,61,0.6827226162332545,0.5925925925925926,0.5636553889082665,0.42105263157894735,48,13,31,16,0.5695849319846529,0.580952380952381,0.5581438004402054,0.42105263157894735,45,13,31,16,0.570432868672047
none,32,0.6357523798942566,svc_c1,none,none,balanced_accuracy,0.5099999999999999,0.6729462174940899,0.6736842105263158,0.6729462174940899,0.6463878326996197,107,37,56,85,0.7124211977935382,0.6018518518518519,0.5596442274154168,0.3384615384615385,54,7,36,11,0.6264387861876526,0.5904761904761905,0.5566764490095377,0.3384615384615385,51,7,36,11,0.6217901687454146
coral,32,0.6358551979064941,logreg_c01,top5sim,none,balanced_accuracy,0.62,0.6930407801418439,0.6947368421052632,0.6930407801418439,0.6329113924050633,123,21,66,75,0.7211386918833728,0.5833333333333334,0.5627833972793861,0.4578313253012048,44,17,28,19,0.5828392047436344,0.5714285714285714,0.555575935436537,0.4578313253012048,41,17,28,19,0.5759354365370506
coral,128,0.8976802825927734,rf_d5,maxsim,none,balanced_accuracy,0.5099999999999999,0.5990691489361701,0.6,0.5990691489361701,0.5581395348837209,99,45,69,72,0.6128841607565012,0.5648148148148148,0.5561562608998953,0.4946236559139785,38,23,24,23,0.5538890826648065,0.5619047619047619,0.5550256786500367,0.5,36,22,24,23,0.5502567865003669
