estimator,weight_mode,threshold,all_acc,all_bacc,all_f1,all_tn,all_fp,all_fn,all_tp,all_sens,all_spec,all_auc,old_acc,old_bacc,old_f1,old_tn,old_fp,old_fn,old_tp,old_sens,old_spec,old_auc,third_acc,third_bacc,third_f1,third_tn,third_fp,third_fn,third_tp,third_sens,third_spec,third_auc,score
logreg_c0.003,domain_label_third_up,0.5349999999999999,0.6869712351945855,0.6867993273542601,0.6232179226069247,253,115,70,153,0.6860986547085202,0.6875,0.7430176447650615,0.6877192982456141,0.6882387706855791,0.7003367003367004,92,52,37,104,0.7375886524822695,0.6388888888888888,0.7408392434988179,0.6862745098039216,0.6581554878048781,0.5051546391752577,161,63,33,49,0.5975609756097561,0.71875,0.7225065331010453,0.6759570842011364
logreg_c0.03,domain_label_third_up,0.58,0.6903553299492385,0.6771483232598947,0.6030368763557483,269,99,84,139,0.6233183856502242,0.7309782608695652,0.7226798596217587,0.6912280701754386,0.6910460992907801,0.6834532374100719,102,42,46,95,0.6737588652482269,0.7083333333333334,0.7302009456264775,0.6895424836601307,0.6410605400696865,0.4808743169398907,167,57,38,44,0.5365853658536586,0.7455357142857143,0.6921820557491289,0.6709197111277436
logreg_c0.1,domain_label_third_up,0.575,0.6903553299492385,0.6744979528173133,0.5978021978021978,272,96,87,136,0.6098654708520179,0.7391304347826086,0.7095925131604601,0.6912280701754386,0.6908983451536643,0.6788321167883211,104,40,48,93,0.6595744680851063,0.7222222222222222,0.7224192277383767,0.6895424836601307,0.6371951219512195,0.47513812154696133,168,56,39,43,0.524390243902439,0.75,0.6748148954703833,0.6693144422255104
logreg_c0.1,none,0.49499999999999994,0.6818950930626058,0.675655585884188,0.606694560669456,258,110,78,145,0.6502242152466368,0.7010869565217391,0.7126267303567947,0.6947368421052632,0.6948877068557919,0.6968641114982579,98,46,41,100,0.7092198581560284,0.6805555555555556,0.726063829787234,0.6699346405228758,0.6315331010452963,0.4712041884816754,160,64,37,45,0.5487804878048781,0.7142857142857143,0.6747604529616724,0.6670354714232491
logreg_c0.1,label,0.49499999999999994,0.6818950930626058,0.675655585884188,0.606694560669456,258,110,78,145,0.6502242152466368,0.7010869565217391,0.7126145447455644,0.6947368421052632,0.6948877068557919,0.6968641114982579,98,46,41,100,0.7092198581560284,0.6805555555555556,0.726063829787234,0.6699346405228758,0.6315331010452963,0.4712041884816754,160,64,37,45,0.5487804878048781,0.7142857142857143,0.6747604529616724,0.6670354714232491
logreg_c0.1,domain_label,0.48999999999999994,0.6802030456852792,0.6751803470462079,0.6070686070686071,256,112,77,146,0.6547085201793722,0.6956521739130435,0.713065412361084,0.6912280701754386,0.6914893617021276,0.696551724137931,96,48,40,101,0.7163120567375887,0.6666666666666666,0.7269011032308904,0.6699346405228758,0.6315331010452963,0.4712041884816754,160,64,37,45,0.5487804878048781,0.7142857142857143,0.6755226480836236,0.665325256168801
extra_d2,none,0.49999999999999994,0.6446700507614214,0.6404635406511991,0.569672131147541,242,126,84,139,0.6233183856502242,0.657608695652174,0.6794331253655683,0.656140350877193,0.6561022458628842,0.6524822695035462,95,49,49,92,0.6524822695035462,0.6597222222222222,0.6720350669818755,0.6339869281045751,0.6147103658536586,0.4563106796116505,147,77,35,47,0.573170731707317,0.65625,0.6743793554006968,0.6373377725847941
extra_d2,domain_label_third_up,0.605,0.6700507614213198,0.6387575550789628,0.5390070921985816,282,86,109,114,0.5112107623318386,0.7663043478260869,0.6636405732111523,0.6491228070175439,0.6481973995271868,0.6124031007751938,106,38,62,79,0.5602836879432624,0.7361111111111112,0.6485914105594957,0.6895424836601307,0.6062717770034843,0.42424242424242425,176,48,47,35,0.4268292682926829,0.7857142857142857,0.6609320557491289,0.6356541996800359
extra_d3,none,0.5049999999999999,0.6734348561759729,0.6335238350555664,0.5210918114143921,293,75,118,105,0.47085201793721976,0.7961956521739131,0.676593877948918,0.6526315789473685,0.6511524822695035,0.5925925925925926,114,30,69,72,0.5106382978723404,0.7916666666666666,0.6797675334909377,0.6928104575163399,0.6007730836236934,0.4125,179,45,49,33,0.4024390243902439,0.7991071428571429,0.6628919860627177,0.6353144300036495
extra_d2,label,0.625,0.6751269035532995,0.6331156170793527,0.5175879396984925,296,72,120,103,0.4618834080717489,0.8043478260869565,0.6655171573406122,0.624561403508772,0.623153073286052,0.563265306122449,109,35,72,69,0.48936170212765956,0.7569444444444444,0.6534672970843183,0.7222222222222222,0.624727787456446,0.4444444444444444,187,37,48,34,0.4146341463414634,0.8348214285714286,0.6558689024390244,0.6338307068700986
extra_d3,label,0.62,0.6514382402707276,0.6397141255605381,0.5617021276595745,253,115,91,132,0.5919282511210763,0.6875,0.6677836810294403,0.6210526315789474,0.6210106382978724,0.6170212765957447,90,54,54,87,0.6170212765957447,0.625,0.6573089046493301,0.6797385620915033,0.6382295296167247,0.4787234042553192,163,61,37,45,0.5487804878048781,0.7276785714285714,0.659788763066202,0.633775186532884
extra_d3,domain_label_third_up,0.6,0.6446700507614214,0.6395800838370053,0.5679012345679012,243,125,85,138,0.6188340807174888,0.6603260869565217,0.6659436537336713,0.6385964912280702,0.6387411347517731,0.6411149825783972,90,54,49,92,0.6524822695035462,0.625,0.6610027580772262,0.6503267973856209,0.622005662020906,0.4623115577889447,153,71,36,46,0.5609756097560976,0.6830357142857143,0.6547800522648084,0.6331910475704409
extra_d3,domain_label,0.62,0.6243654822335025,0.6400614154806006,0.585820895522388,212,156,66,157,0.7040358744394619,0.5760869565217391,0.6677349385845194,0.6280701754385964,0.6291371158392436,0.6602564102564102,76,68,38,103,0.7304964539007093,0.5277777777777778,0.6603624901497241,0.6209150326797386,0.6328397212543554,0.48214285714285715,136,88,28,54,0.6585365853658537,0.6071428571428571,0.6560866724738675,0.6296892556492731
extra_d2,domain_label,0.625,0.6294416243654822,0.6220510820822773,0.546583850931677,240,128,91,132,0.5919282511210763,0.6521739130434783,0.666211737180737,0.631578947368421,0.6315750591016549,0.6289752650176679,91,53,52,89,0.6312056737588653,0.6319444444444444,0.6536643026004728,0.6274509803921569,0.5947844076655052,0.43,149,75,39,43,0.524390243902439,0.6651785714285714,0.6573932926829268,0.6164467794829218
