hard_detector,corrector,recall_target,corrector_scope,hard_auc,pass_n,pass_frac,hardlike_n,hardlike_frac,pass_accuracy,pass_hard_contamination,hard_recall_in_hardlike,hard_precision_in_hardlike,base_accuracy,base_balanced_accuracy,final_accuracy,final_balanced_accuracy,final_specificity_low,final_sensitivity_high,final_tn,final_fp,final_fn,final_tp,hardcore_base_accuracy,hardcore_final_accuracy,hardlike_base_accuracy,hardlike_final_accuracy,rescued_total,hurt_total,rescued_hardcore,hurt_hardcore
hard_logreg,corr_extra,0.9,all_train,0.5682517482517482,48,0.16842105263157894,237,0.8315789473684211,0.8541666666666666,0.14583333333333334,0.8923076923076924,0.24472573839662448,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.27692307692307694,0.26153846153846155,0.7510548523206751,0.7510548523206751,1,1,0,1
hard_rf,corr_extra,0.8,all_train,0.6334965034965034,85,0.2982456140350877,200,0.7017543859649122,0.8823529411764706,0.11764705882352941,0.8461538461538461,0.275,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.27692307692307694,0.26153846153846155,0.72,0.72,1,1,0,1
hard_extra,corr_extra,0.8,all_train,0.6319580419580421,77,0.27017543859649124,208,0.7298245614035088,0.8441558441558441,0.15584415584415584,0.8153846153846154,0.2548076923076923,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.27692307692307694,0.26153846153846155,0.7403846153846154,0.7403846153846154,1,1,0,1
hard_rf,corr_extra,0.7,all_train,0.6334965034965034,106,0.3719298245614035,179,0.6280701754385964,0.8679245283018868,0.12264150943396226,0.8,0.2905027932960894,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.27692307692307694,0.26153846153846155,0.7094972067039106,0.7094972067039106,1,1,0,1
hard_extra,corr_extra,0.7,all_train,0.6319580419580421,117,0.4105263157894737,168,0.5894736842105263,0.8461538461538461,0.15384615384615385,0.7230769230769231,0.27976190476190477,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.27692307692307694,0.26153846153846155,0.7142857142857143,0.7142857142857143,1,1,0,1
hard_rf,corr_extra,0.8,pred_hardlike_train,0.6334965034965034,85,0.2982456140350877,200,0.7017543859649122,0.8823529411764706,0.11764705882352941,0.8461538461538461,0.275,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649970449172576,0.7569444444444444,0.7730496453900709,109,35,32,109,0.27692307692307694,0.26153846153846155,0.72,0.715,1,2,0,1
hard_rf,corr_extra,0.7,pred_hardlike_train,0.6334965034965034,106,0.3719298245614035,179,0.6280701754385964,0.8679245283018868,0.12264150943396226,0.8,0.2905027932960894,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649970449172576,0.7569444444444444,0.7730496453900709,109,35,32,109,0.27692307692307694,0.26153846153846155,0.7094972067039106,0.7039106145251397,1,2,0,1
hard_logreg,corr_extra,0.95,pred_hardlike_train,0.5682517482517482,19,0.06666666666666667,266,0.9333333333333333,0.8421052631578947,0.21052631578947367,0.9384615384615385,0.22932330827067668,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.7638888888888888,0.7659574468085106,110,34,33,108,0.27692307692307694,0.26153846153846155,0.7631578947368421,0.7593984962406015,0,1,0,1
hard_logreg,corr_extra,0.8,all_train,0.5682517482517482,66,0.23157894736842105,219,0.7684210526315789,0.803030303030303,0.16666666666666666,0.8307692307692308,0.2465753424657534,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.7638888888888888,0.7659574468085106,110,34,33,108,0.27692307692307694,0.26153846153846155,0.7579908675799086,0.7534246575342466,0,1,0,1
hard_logreg,corr_extra,0.7,pred_hardlike_train,0.5682517482517482,93,0.3263157894736842,192,0.6736842105263158,0.7956989247311828,0.1827956989247312,0.7384615384615385,0.25,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.7638888888888888,0.7659574468085106,110,34,33,108,0.27692307692307694,0.26153846153846155,0.7552083333333334,0.75,0,1,0,1
hard_logreg,corr_extra,0.7,all_train,0.5682517482517482,93,0.3263157894736842,192,0.6736842105263158,0.7956989247311828,0.1827956989247312,0.7384615384615385,0.25,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.7638888888888888,0.7659574468085106,110,34,33,108,0.27692307692307694,0.26153846153846155,0.7552083333333334,0.75,0,1,0,1
hard_logreg,corr_logreg,0.7,all_train,0.5682517482517482,93,0.3263157894736842,192,0.6736842105263158,0.7956989247311828,0.1827956989247312,0.7384615384615385,0.25,0.7684210526315789,0.7684692671394799,0.7614035087719299,0.7614509456264775,0.7569444444444444,0.7659574468085106,109,35,33,108,0.27692307692307694,0.4307692307692308,0.7552083333333334,0.7447916666666666,17,19,14,4
hard_extra,corr_extra,0.7,pred_hardlike_train,0.6319580419580421,117,0.4105263157894737,168,0.5894736842105263,0.8461538461538461,0.15384615384615385,0.7230769230769231,0.27976190476190477,0.7684210526315789,0.7684692671394799,0.7614035087719299,0.7614509456264775,0.7569444444444444,0.7659574468085106,109,35,33,108,0.27692307692307694,0.26153846153846155,0.7142857142857143,0.7023809523809523,1,3,0,1
hard_logreg,corr_extra,0.8,pred_hardlike_train,0.5682517482517482,66,0.23157894736842105,219,0.7684210526315789,0.803030303030303,0.16666666666666666,0.8307692307692308,0.2465753424657534,0.7684210526315789,0.7684692671394799,0.7614035087719299,0.7613770685579195,0.7638888888888888,0.7588652482269503,110,34,34,107,0.27692307692307694,0.24615384615384617,0.7579908675799086,0.7488584474885844,0,2,0,2
hard_rf,corr_logreg,0.7,all_train,0.6334965034965034,106,0.3719298245614035,179,0.6280701754385964,0.8679245283018868,0.12264150943396226,0.8,0.2905027932960894,0.7684210526315789,0.7684692671394799,0.7614035087719299,0.7613770685579195,0.7638888888888888,0.7588652482269503,110,34,34,107,0.27692307692307694,0.4,0.7094972067039106,0.6983240223463687,16,18,12,4
hard_logreg,corr_extra,0.9,pred_hardlike_train,0.5682517482517482,48,0.16842105263157894,237,0.8315789473684211,0.8541666666666666,0.14583333333333334,0.8923076923076924,0.24472573839662448,0.7684210526315789,0.7684692671394799,0.7578947368421053,0.7578309692671394,0.7638888888888888,0.75177304964539,110,34,35,106,0.27692307692307694,0.24615384615384617,0.7510548523206751,0.7383966244725738,0,3,0,2
