gate_score,gate_target_accept_acc,gate_selection_mode,feature_set,model,train_scope,accept_n,accept_frac,review_n,review_frac,base_accuracy,base_balanced_accuracy,final_accuracy,final_balanced_accuracy,final_specificity_low,final_sensitivity_high,final_tn,final_fp,final_fn,final_tp,accept_accuracy,review_base_accuracy,review_final_accuracy,review_final_sensitivity_high,review_final_specificity_low,rescued_total,hurt_total,rescued_fn,hardcore_final_accuracy,hardcore_rescued,hardcore_hurt
hybrid_mean_all_std_abs_fn,0.95,raw,raw_outputs,extra,review_train,20,0.07017543859649122,265,0.9298245614035088,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.7638888888888888,0.7659574468085106,110,34,33,108,0.9,0.7584905660377359,0.7547169811320755,0.736,0.7714285714285715,0,1,0,0.26153846153846155,0,1
upper_low_conf,0.9,raw,raw_plus_review,extra,all_train,100,0.3508771929824561,185,0.6491228070175439,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.7638888888888888,0.7659574468085106,110,34,33,108,0.89,0.7027027027027027,0.6972972972972973,0.7096774193548387,0.6847826086956522,0,1,0,0.26153846153846155,0,1
all_range,0.9,raw,raw_plus_review,extra,all_train,21,0.07368421052631578,264,0.9263157894736842,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.7638888888888888,0.7659574468085106,110,34,33,108,0.8095238095238095,0.7651515151515151,0.7613636363636364,0.7734375,0.75,0,1,0,0.26153846153846155,0,1
hybrid_max_allrange_fn,0.9,raw,raw_plus_review,extra,all_train,13,0.0456140350877193,272,0.9543859649122807,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.7638888888888888,0.7659574468085106,110,34,33,108,0.8461538461538461,0.7647058823529411,0.7610294117647058,0.7461538461538462,0.7746478873239436,0,1,0,0.26153846153846155,0,1
hybrid_mean_all_std_abs_fn,0.9,raw,raw_plus_review,extra,all_train,34,0.11929824561403508,251,0.8807017543859649,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.7638888888888888,0.7659574468085106,110,34,33,108,0.8823529411764706,0.7529880478087649,0.749003984063745,0.7350427350427351,0.7611940298507462,0,1,0,0.26153846153846155,0,1
hybrid_overall_then_fn,0.9,raw,raw_plus_review,extra,all_train,30,0.10526315789473684,255,0.8947368421052632,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.7638888888888888,0.7659574468085106,110,34,33,108,0.8666666666666667,0.7568627450980392,0.7529411764705882,0.7355371900826446,0.7686567164179104,0,1,0,0.26153846153846155,0,1
upper_low_conf,0.95,raw,raw_plus_review,extra,all_train,58,0.20350877192982456,227,0.7964912280701755,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.7638888888888888,0.7659574468085106,110,34,33,108,0.9137931034482759,0.7312775330396476,0.7268722466960352,0.7410714285714286,0.7130434782608696,0,1,0,0.26153846153846155,0,1
all_range,0.95,raw,raw_plus_review,extra,all_train,4,0.014035087719298246,281,0.9859649122807017,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.7638888888888888,0.7659574468085106,110,34,33,108,0.5,0.7722419928825622,0.7686832740213523,0.7753623188405797,0.7622377622377622,0,1,0,0.26153846153846155,0,1
hybrid_max_allrange_fn,0.95,raw,raw_plus_review,extra,all_train,0,0.0,285,1.0,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.7638888888888888,0.7659574468085106,110,34,33,108,,0.7684210526315789,0.7649122807017544,0.7659574468085106,0.7638888888888888,0,1,0,0.26153846153846155,0,1
hybrid_mean_all_std_abs_fn,0.95,raw,raw_plus_review,extra,all_train,20,0.07017543859649122,265,0.9298245614035088,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.7638888888888888,0.7659574468085106,110,34,33,108,0.9,0.7584905660377359,0.7547169811320755,0.736,0.7714285714285715,0,1,0,0.26153846153846155,0,1
