accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,fold_id,threshold,inner_accuracy,inner_balanced_accuracy,inner_auc,inner_f1,inner_sensitivity,inner_specificity,inner_tn,inner_fp,inner_fn,inner_tp,feature_set,model,threshold_mode
0.8947368421052632,0.8947044334975369,0.9273399014778325,0.8928571428571429,0.8928571428571429,0.896551724137931,26,3,3,25,5,0.475,0.8157894736842105,0.815544440169296,0.8053097345132743,0.8090909090909091,0.7876106194690266,0.8434782608695652,97,18,24,89,candidates_only,logreg_c003,f1
0.8245614035087719,0.8226600985221675,0.873152709359606,0.84375,0.9310344827586207,0.7142857142857143,20,8,2,27,1,0.31,0.793859649122807,0.7941810344827587,0.8205818965517242,0.7947598253275109,0.8125,0.7758620689655172,90,26,21,91,candidates_only,logreg_c003,bacc_sens80
0.7719298245614035,0.7690886699507389,0.7746305418719213,0.723404255319149,0.6071428571428571,0.9310344827586207,27,2,11,17,2,0.39,0.8464912280701754,0.8465948441708349,0.8500192381685263,0.8471615720524017,0.8584070796460177,0.8347826086956521,96,19,16,97,candidates_only,logreg_c003,bacc_sens80
0.8245614035087719,0.8238916256157636,0.8485221674876848,0.8148148148148148,0.7857142857142857,0.8620689655172413,25,4,6,22,3,0.42500000000000004,0.8333333333333334,0.8331666025394382,0.8263947672181606,0.8288288288288288,0.8141592920353983,0.8521739130434782,98,17,21,92,candidates_only,logreg_c003,bacc_sens80
0.8245614035087719,0.8245073891625616,0.8165024630541872,0.8214285714285714,0.8214285714285714,0.8275862068965517,24,5,5,23,4,0.46499999999999997,0.8333333333333334,0.8330896498653328,0.8309349749903809,0.8272727272727273,0.8053097345132744,0.8608695652173913,99,16,22,91,candidates_only,logreg_c003,bacc_sens80
0.8947368421052632,0.8947044334975369,0.9273399014778325,0.8928571428571429,0.8928571428571429,0.896551724137931,26,3,3,25,5,0.475,0.8157894736842105,0.815544440169296,0.8053097345132743,0.8090909090909091,0.7876106194690266,0.8434782608695652,97,18,24,89,candidates_only,logreg_c003,bacc_sens80
0.8245614035087719,0.8226600985221675,0.873152709359606,0.84375,0.9310344827586207,0.7142857142857143,20,8,2,27,1,0.31,0.793859649122807,0.7941810344827587,0.8205818965517242,0.7947598253275109,0.8125,0.7758620689655172,90,26,21,91,candidates_only,logreg_c003,acc_sens80
0.7719298245614035,0.7690886699507389,0.7746305418719213,0.723404255319149,0.6071428571428571,0.9310344827586207,27,2,11,17,2,0.39,0.8464912280701754,0.8465948441708349,0.8500192381685263,0.8471615720524017,0.8584070796460177,0.8347826086956521,96,19,16,97,candidates_only,logreg_c003,acc_sens80
0.8245614035087719,0.8238916256157636,0.8485221674876848,0.8148148148148148,0.7857142857142857,0.8620689655172413,25,4,6,22,3,0.42500000000000004,0.8333333333333334,0.8331666025394382,0.8263947672181606,0.8288288288288288,0.8141592920353983,0.8521739130434782,98,17,21,92,candidates_only,logreg_c003,acc_sens80
0.8245614035087719,0.8245073891625616,0.8165024630541872,0.8214285714285714,0.8214285714285714,0.8275862068965517,24,5,5,23,4,0.46499999999999997,0.8333333333333334,0.8330896498653328,0.8309349749903809,0.8272727272727273,0.8053097345132744,0.8608695652173913,99,16,22,91,candidates_only,logreg_c003,acc_sens80
0.8947368421052632,0.8947044334975369,0.9273399014778325,0.8928571428571429,0.8928571428571429,0.896551724137931,26,3,3,25,5,0.475,0.8157894736842105,0.815544440169296,0.8053097345132743,0.8090909090909091,0.7876106194690266,0.8434782608695652,97,18,24,89,candidates_only,logreg_c003,acc_sens80
0.8421052631578947,0.8405172413793103,0.8645320197044334,0.8571428571428571,0.9310344827586207,0.75,21,7,2,27,1,0.42500000000000004,0.8245614035087719,0.8240455665024631,0.828740763546798,0.8165137614678899,0.7946428571428571,0.853448275862069,99,17,23,89,candidates_only,logreg_c01,bacc
0.7543859649122807,0.7524630541871922,0.7931034482758621,0.72,0.6428571428571429,0.8620689655172413,25,4,10,18,2,0.345,0.8421052631578947,0.8423239707579839,0.8543285879184301,0.8448275862068966,0.8672566371681416,0.8173913043478261,94,21,15,98,candidates_only,logreg_c01,bacc
0.8070175438596491,0.8066502463054187,0.8583743842364533,0.8,0.7857142857142857,0.8275862068965517,24,5,6,22,3,0.38273697193089873,0.8333333333333334,0.8333205078876491,0.8210080800307811,0.831858407079646,0.831858407079646,0.8347826086956521,96,19,19,94,candidates_only,logreg_c01,bacc
0.7719298245614035,0.7727832512315271,0.8349753694581281,0.7796610169491526,0.8214285714285714,0.7241379310344828,21,8,5,23,4,0.405,0.8333333333333334,0.8332435552135437,0.8310119276644863,0.8303571428571429,0.8230088495575221,0.8434782608695652,97,18,20,93,candidates_only,logreg_c01,bacc
0.8947368421052632,0.8947044334975369,0.9384236453201972,0.8928571428571429,0.8928571428571429,0.896551724137931,26,3,3,25,5,0.495,0.8114035087719298,0.8111196614082339,0.8164678722585608,0.8036529680365296,0.7787610619469026,0.8434782608695652,97,18,25,88,candidates_only,logreg_c01,bacc
0.8421052631578947,0.8405172413793103,0.8645320197044334,0.8571428571428571,0.9310344827586207,0.75,21,7,2,27,1,0.42500000000000004,0.8245614035087719,0.8240455665024631,0.828740763546798,0.8165137614678899,0.7946428571428571,0.853448275862069,99,17,23,89,candidates_only,logreg_c01,acc
0.7543859649122807,0.7524630541871922,0.7931034482758621,0.72,0.6428571428571429,0.8620689655172413,25,4,10,18,2,0.345,0.8421052631578947,0.8423239707579839,0.8543285879184301,0.8448275862068966,0.8672566371681416,0.8173913043478261,94,21,15,98,candidates_only,logreg_c01,acc
0.8070175438596491,0.8066502463054187,0.8583743842364533,0.8,0.7857142857142857,0.8275862068965517,24,5,6,22,3,0.38273697193089873,0.8333333333333334,0.8333205078876491,0.8210080800307811,0.831858407079646,0.831858407079646,0.8347826086956521,96,19,19,94,candidates_only,logreg_c01,acc
0.7719298245614035,0.7727832512315271,0.8349753694581281,0.7796610169491526,0.8214285714285714,0.7241379310344828,21,8,5,23,4,0.405,0.8333333333333334,0.8332435552135437,0.8310119276644863,0.8303571428571429,0.8230088495575221,0.8434782608695652,97,18,20,93,candidates_only,logreg_c01,acc
