accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,model,threshold_mode,feature_set
0.8210526315789474,0.8209958628841607,0.8319050433412136,0.8185053380782918,0.8156028368794326,0.8263888888888888,119,25,26,115,gb_d2_lr03,acc,candidates_only
0.8210526315789474,0.8209958628841607,0.8319050433412136,0.8185053380782918,0.8156028368794326,0.8263888888888888,119,25,26,115,gb_d2_lr03,f1,candidates_only
0.8210526315789474,0.8209958628841607,0.8319050433412136,0.8185053380782918,0.8156028368794326,0.8263888888888888,119,25,26,115,gb_d2_lr03,bacc_sens80,candidates_only
0.8210526315789474,0.8209958628841607,0.8319050433412136,0.8185053380782918,0.8156028368794326,0.8263888888888888,119,25,26,115,gb_d2_lr03,acc_sens80,candidates_only
0.8210526315789474,0.8209219858156028,0.8447596532702917,0.8172043010752689,0.8085106382978723,0.8333333333333334,120,24,27,114,gb_d1_lr05,bacc_sens80,candidates_plus_raw_outputs
0.8210526315789474,0.8209219858156028,0.8447596532702917,0.8172043010752689,0.8085106382978723,0.8333333333333334,120,24,27,114,gb_d1_lr05,acc_sens80,candidates_plus_raw_outputs
0.8210526315789474,0.820774231678487,0.8252561071710007,0.8145454545454546,0.7943262411347518,0.8472222222222222,122,22,29,112,rf_d3_l8,bacc,candidates_plus_raw_outputs
0.8210526315789474,0.820774231678487,0.8252561071710007,0.8145454545454546,0.7943262411347518,0.8472222222222222,122,22,29,112,rf_d3_l8,acc,candidates_plus_raw_outputs
0.8210526315789474,0.820774231678487,0.8213898739164696,0.8145454545454546,0.7943262411347518,0.8472222222222222,122,22,29,112,extra_d2_l10,bacc,candidates_plus_raw_outputs
0.8210526315789474,0.820774231678487,0.8213898739164696,0.8145454545454546,0.7943262411347518,0.8472222222222222,122,22,29,112,extra_d2_l10,acc,candidates_plus_raw_outputs
0.8210526315789474,0.820774231678487,0.8213898739164696,0.8145454545454546,0.7943262411347518,0.8472222222222222,122,22,29,112,extra_d2_l10,f1,candidates_plus_raw_outputs
0.8210526315789474,0.820774231678487,0.8209219858156028,0.8145454545454546,0.7943262411347518,0.8472222222222222,122,22,29,112,extra_d3_l8,bacc,candidates_plus_raw_outputs
0.8210526315789474,0.820774231678487,0.8209219858156028,0.8145454545454546,0.7943262411347518,0.8472222222222222,122,22,29,112,extra_d3_l8,acc,candidates_plus_raw_outputs
0.8210526315789474,0.820774231678487,0.8209219858156028,0.8145454545454546,0.7943262411347518,0.8472222222222222,122,22,29,112,extra_d3_l8,f1,candidates_plus_raw_outputs
0.8175438596491228,0.8174497635933806,0.8423709613869188,0.8142857142857143,0.8085106382978723,0.8263888888888888,119,25,27,114,gb_d1_lr03,bacc,candidates_plus_raw_outputs
0.8175438596491228,0.8174497635933806,0.8423709613869188,0.8142857142857143,0.8085106382978723,0.8263888888888888,119,25,27,114,gb_d1_lr03,acc,candidates_plus_raw_outputs
0.8175438596491228,0.8174497635933806,0.8423709613869188,0.8142857142857143,0.8085106382978723,0.8263888888888888,119,25,27,114,gb_d1_lr03,bacc_sens80,candidates_plus_raw_outputs
0.8175438596491228,0.8174497635933806,0.8423709613869188,0.8142857142857143,0.8085106382978723,0.8263888888888888,119,25,27,114,gb_d1_lr03,acc_sens80,candidates_plus_raw_outputs
0.8175438596491228,0.8173758865248227,0.8252561071710007,0.8129496402877698,0.8014184397163121,0.8333333333333334,120,24,28,113,rf_d3_l8,bacc_sens80,candidates_plus_raw_outputs
0.8175438596491228,0.8173758865248227,0.8252561071710007,0.8129496402877698,0.8014184397163121,0.8333333333333334,120,24,28,113,rf_d3_l8,acc_sens80,candidates_plus_raw_outputs
0.8140350877192982,0.8140514184397163,0.8345646178092987,0.8127208480565371,0.8156028368794326,0.8125,117,27,26,115,logreg_c1,bacc,candidates_only
0.8140350877192982,0.8140514184397163,0.8345646178092987,0.8127208480565371,0.8156028368794326,0.8125,117,27,26,115,logreg_c1,acc,candidates_only
0.8140350877192982,0.8140514184397163,0.8345646178092987,0.8127208480565371,0.8156028368794326,0.8125,117,27,26,115,logreg_c1,f1,candidates_only
0.8140350877192982,0.8140514184397163,0.8345646178092987,0.8127208480565371,0.8156028368794326,0.8125,117,27,26,115,logreg_c1,bacc_sens80,candidates_only
0.8140350877192982,0.8140514184397163,0.8345646178092987,0.8127208480565371,0.8156028368794326,0.8125,117,27,26,115,logreg_c1,acc_sens80,candidates_only
0.8140350877192982,0.8140514184397163,0.83451536643026,0.8127208480565371,0.8156028368794326,0.8125,117,27,26,115,logreg_c01,bacc,candidates_only
0.8140350877192982,0.8140514184397163,0.83451536643026,0.8127208480565371,0.8156028368794326,0.8125,117,27,26,115,logreg_c01,acc,candidates_only
0.8140350877192982,0.8140514184397163,0.83451536643026,0.8127208480565371,0.8156028368794326,0.8125,117,27,26,115,logreg_c01,f1,candidates_only
0.8140350877192982,0.8140514184397163,0.8274724192277384,0.8127208480565371,0.8156028368794326,0.8125,117,27,26,115,hgb_leaf3,bacc,candidates_only
0.8140350877192982,0.8140514184397163,0.8274724192277384,0.8127208480565371,0.8156028368794326,0.8125,117,27,26,115,hgb_leaf3,acc,candidates_only
0.8140350877192982,0.8140514184397163,0.8274724192277384,0.8127208480565371,0.8156028368794326,0.8125,117,27,26,115,hgb_leaf3,f1,candidates_only
0.8140350877192982,0.8140514184397163,0.8274724192277384,0.8127208480565371,0.8156028368794326,0.8125,117,27,26,115,hgb_leaf3,bacc_sens80,candidates_only
0.8140350877192982,0.8140514184397163,0.8274724192277384,0.8127208480565371,0.8156028368794326,0.8125,117,27,26,115,hgb_leaf3,acc_sens80,candidates_only
0.8105263157894737,0.810653073286052,0.83451536643026,0.8111888111888111,0.8226950354609929,0.7986111111111112,115,29,25,116,logreg_c01,bacc_sens80,candidates_only
0.8105263157894737,0.810653073286052,0.83451536643026,0.8111888111888111,0.8226950354609929,0.7986111111111112,115,29,25,116,logreg_c01,acc_sens80,candidates_only
0.8105263157894737,0.8105791962174941,0.8279403073286052,0.8098591549295775,0.8156028368794326,0.8055555555555556,116,28,26,115,hgb_leaf5,bacc_sens80,candidates_only
