n,threshold,accuracy,balanced_accuracy,auc,f1,high_recall,low_specificity,tn,fp,fn,tp,domain,model_tag,feature_set,base_model,threshold_source,n_features
162,0.5,0.654320987654321,0.6546982429335371,0.6718105423987776,0.6626506024096386,0.6470588235294118,0.6623376623376623,51,26,30,55,new_external_160,qkvb_roi__logreg_balanced_l2,qkvb_roi,logreg_balanced_l2,fixed_0.5,190
162,0.5,0.6234567901234568,0.631398013750955,0.7067990832696716,0.5673758865248227,0.47058823529411764,0.7922077922077922,61,16,45,40,new_external_160,qkvb_roi__random_forest_balanced,qkvb_roi,random_forest_balanced,fixed_0.5,190
162,0.5,0.6296296296296297,0.6293353705118411,0.6663101604278073,0.6428571428571429,0.6352941176470588,0.6233766233766234,48,29,31,54,new_external_160,qkvb_roi__logreg_balanced_l1,qkvb_roi,logreg_balanced_l1,fixed_0.5,190
162,0.43560188866171035,0.6234567901234568,0.6210084033613446,0.6718105423987776,0.6514285714285715,0.6705882352941176,0.5714285714285714,44,33,28,57,new_external_160,qkvb_roi__logreg_balanced_l2,qkvb_roi,logreg_balanced_l2,old_third_meta_oof_selected,190
162,0.44443579423655155,0.6234567901234568,0.6203972498090145,0.6663101604278073,0.655367231638418,0.6823529411764706,0.5584415584415584,43,34,27,58,new_external_160,qkvb_roi__logreg_balanced_l1,qkvb_roi,logreg_balanced_l1,old_third_meta_oof_selected,190
162,0.5,0.49382716049382713,0.5170359052711994,0.5185637891520245,0.08888888888888889,0.047058823529411764,0.987012987012987,76,1,81,4,new_external_160,roi_only__random_forest_balanced,roi_only,random_forest_balanced,fixed_0.5,175
162,0.45036954699827436,0.49382716049382713,0.5109243697478991,0.5402597402597402,0.2545454545454545,0.16470588235294117,0.8571428571428571,66,11,71,14,new_external_160,roi_only__extra_trees_balanced,roi_only,extra_trees_balanced,old_third_meta_oof_selected,175
162,0.4148305775250635,0.5,0.5106951871657754,0.5185637891520245,0.3816793893129771,0.29411764705882354,0.7272727272727273,56,21,60,25,new_external_160,roi_only__random_forest_balanced,roi_only,random_forest_balanced,old_third_meta_oof_selected,175
162,0.5,0.48148148148148145,0.5046600458365165,0.5402597402597402,0.06666666666666667,0.03529411764705882,0.974025974025974,75,2,82,3,new_external_160,roi_only__extra_trees_balanced,roi_only,extra_trees_balanced,fixed_0.5,175
591,0.45200356990885804,0.7106598984771574,0.7314413140963151,0.7762660850068239,0.680373831775701,0.8161434977578476,0.6467391304347826,238,130,41,182,old_third_meta_oof,qkvb_only__extra_trees_balanced,qkvb_only,extra_trees_balanced,old_third_meta_oof_selected,15
591,0.39581059832336696,0.7021996615905245,0.7308320335348021,0.7692471729381947,0.6823104693140795,0.8475336322869955,0.6141304347826086,226,142,34,189,old_third_meta_oof,qkvb_only__random_forest_balanced,qkvb_only,random_forest_balanced,old_third_meta_oof_selected,15
591,0.46147240449904026,0.7174280879864636,0.7306918990056541,0.7838150711639695,0.6769825918762089,0.7847533632286996,0.6766304347826086,249,119,48,175,old_third_meta_oof,qkvb_only__logreg_balanced_l2,qkvb_only,logreg_balanced_l2,old_third_meta_oof_selected,15
591,0.44443579423655155,0.7072758037225042,0.7287239227919673,0.7815241762526808,0.6778398510242085,0.8161434977578476,0.6413043478260869,236,132,41,182,old_third_meta_oof,qkvb_roi__logreg_balanced_l1,qkvb_roi,logreg_balanced_l1,old_third_meta_oof_selected,190
