candidate,objective,selection_split,holdout_used_for_selection,adapt_threshold,adapt_accuracy,adapt_balanced_accuracy,adapt_f1,adapt_tn,adapt_fp,adapt_fn,adapt_tp,adapt_sensitivity_high,adapt_specificity_low,adapt_auc,holdout_threshold,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_sensitivity_high,holdout_specificity_low,holdout_auc
single__04_whole_crop_64style__route_score,high_sens75,third_adapt72_only,0,0.42499999999999993,0.6388888888888888,0.5941558441558441,0.7291666666666666,11,17,9,35,0.7954545454545454,0.39285714285714285,0.6022727272727273,0.42499999999999993,0.405982905982906,0.5075187969924813,0.26455026455026454,70,126,13,25,0.6578947368421053,0.35714285714285715,0.4989258861439313
meta__logreg_plain_c0.3,accuracy,third_adapt72_only,0,0.48999999999999994,0.8333333333333334,0.8181818181818181,0.8666666666666667,21,7,5,39,0.8863636363636364,0.75,0.898538961038961,0.48999999999999994,0.4017094017094017,0.5049677765843179,0.2631578947368421,69,127,13,25,0.6578947368421053,0.3520408163265306,0.5338345864661654
meta__logreg_plain_c0.3,high_sens85,third_adapt72_only,0,0.48999999999999994,0.8333333333333334,0.8181818181818181,0.8666666666666667,21,7,5,39,0.8863636363636364,0.75,0.898538961038961,0.48999999999999994,0.4017094017094017,0.5049677765843179,0.2631578947368421,69,127,13,25,0.6578947368421053,0.3520408163265306,0.5338345864661654
meta__logreg_balanced_c0.3,accuracy,third_adapt72_only,0,0.37999999999999995,0.8333333333333334,0.8116883116883117,0.8695652173913043,20,8,4,40,0.9090909090909091,0.7142857142857143,0.8961038961038961,0.37999999999999995,0.3803418803418803,0.5028195488721805,0.2639593908629442,63,133,12,26,0.6842105263157895,0.32142857142857145,0.5327604726100966
meta__logreg_balanced_c0.3,high_sens85,third_adapt72_only,0,0.37999999999999995,0.8333333333333334,0.8116883116883117,0.8695652173913043,20,8,4,40,0.9090909090909091,0.7142857142857143,0.8961038961038961,0.37999999999999995,0.3803418803418803,0.5028195488721805,0.2639593908629442,63,133,12,26,0.6842105263157895,0.32142857142857145,0.5327604726100966
meta__logreg_balanced_c0.3,balanced_accuracy,third_adapt72_only,0,0.48999999999999994,0.8194444444444444,0.8262987012987013,0.8433734939759037,24,4,9,35,0.7954545454545454,0.8571428571428571,0.8961038961038961,0.48999999999999994,0.4829059829059829,0.5004027926960257,0.2484472049689441,93,103,18,20,0.5263157894736842,0.4744897959183674,0.5327604726100966
meta__logreg_balanced_c0.3,high_sens75,third_adapt72_only,0,0.48999999999999994,0.8194444444444444,0.8262987012987013,0.8433734939759037,24,4,9,35,0.7954545454545454,0.8571428571428571,0.8961038961038961,0.48999999999999994,0.4829059829059829,0.5004027926960257,0.2484472049689441,93,103,18,20,0.5263157894736842,0.4744897959183674,0.5327604726100966
single__04_whole_crop_64style__route_score,balanced_accuracy,third_adapt72_only,0,0.43499999999999994,0.6388888888888888,0.6266233766233766,0.6976744186046512,16,12,14,30,0.6818181818181818,0.5714285714285714,0.6022727272727273,0.43499999999999994,0.4829059829059829,0.5004027926960257,0.2484472049689441,93,103,18,20,0.5263157894736842,0.4744897959183674,0.4989258861439313
single__04_whole_crop_64style__route_score,accuracy,third_adapt72_only,0,0.43499999999999994,0.6388888888888888,0.6266233766233766,0.6976744186046512,16,12,14,30,0.6818181818181818,0.5714285714285714,0.6022727272727273,0.43499999999999994,0.4829059829059829,0.5004027926960257,0.2484472049689441,93,103,18,20,0.5263157894736842,0.4744897959183674,0.4989258861439313
single__04_whole_crop_64style__route_score,high_sens85,third_adapt72_only,0,0.41999999999999993,0.6388888888888888,0.5876623376623377,0.7346938775510204,10,18,8,36,0.8181818181818182,0.35714285714285715,0.6022727272727273,0.41999999999999993,0.37606837606837606,0.5002685284640171,0.26262626262626265,62,134,12,26,0.6842105263157895,0.3163265306122449,0.4989258861439313
single__11_flip_whole_crop_64style__reviewer_prob_high,accuracy,third_adapt72_only,0,0.05,0.6111111111111112,0.5,0.7586206896551724,0,28,0,44,1.0,0.0,0.49188311688311687,0.05,0.1623931623931624,0.5,0.27941176470588236,0,196,0,38,1.0,0.0,0.28356605800214824
single__11_flip_whole_crop_64style__reviewer_prob_high,high_sens75,third_adapt72_only,0,0.05,0.6111111111111112,0.5,0.7586206896551724,0,28,0,44,1.0,0.0,0.49188311688311687,0.05,0.1623931623931624,0.5,0.27941176470588236,0,196,0,38,1.0,0.0,0.28356605800214824
single__11_flip_whole_crop_64style__reviewer_prob_high,high_sens85,third_adapt72_only,0,0.05,0.6111111111111112,0.5,0.7586206896551724,0,28,0,44,1.0,0.0,0.49188311688311687,0.05,0.1623931623931624,0.5,0.27941176470588236,0,196,0,38,1.0,0.0,0.28356605800214824
single__12_tta_orig_flip_whole_crop_64style__final_prob_high,accuracy,third_adapt72_only,0,0.09,0.6388888888888888,0.5551948051948051,0.7592592592592593,5,23,3,41,0.9318181818181818,0.17857142857142858,0.5462662337662337,0.09,0.23504273504273504,0.49033297529538133,0.2693877551020408,22,174,5,33,0.868421052631579,0.11224489795918367,0.6243286788399569
single__12_tta_orig_flip_whole_crop_64style__final_prob_high,high_sens75,third_adapt72_only,0,0.09,0.6388888888888888,0.5551948051948051,0.7592592592592593,5,23,3,41,0.9318181818181818,0.17857142857142858,0.5462662337662337,0.09,0.23504273504273504,0.49033297529538133,0.2693877551020408,22,174,5,33,0.868421052631579,0.11224489795918367,0.6243286788399569
single__12_tta_orig_flip_whole_crop_64style__final_prob_high,high_sens85,third_adapt72_only,0,0.09,0.6388888888888888,0.5551948051948051,0.7592592592592593,5,23,3,41,0.9318181818181818,0.17857142857142858,0.5462662337662337,0.09,0.23504273504273504,0.49033297529538133,0.2693877551020408,22,174,5,33,0.868421052631579,0.11224489795918367,0.6243286788399569
meta__logreg_plain_c1,balanced_accuracy,third_adapt72_only,0,0.38499999999999995,0.9027777777777778,0.8814935064935066,0.9247311827956989,22,6,1,43,0.9772727272727273,0.7857142857142857,0.9310064935064934,0.38499999999999995,0.358974358974359,0.49006444683136413,0.25742574257425743,58,138,12,26,0.6842105263157895,0.29591836734693877,0.521482277121375
meta__logreg_plain_c1,accuracy,third_adapt72_only,0,0.38499999999999995,0.9027777777777778,0.8814935064935066,0.9247311827956989,22,6,1,43,0.9772727272727273,0.7857142857142857,0.9310064935064934,0.38499999999999995,0.358974358974359,0.49006444683136413,0.25742574257425743,58,138,12,26,0.6842105263157895,0.29591836734693877,0.521482277121375
meta__logreg_plain_c1,high_sens75,third_adapt72_only,0,0.38499999999999995,0.9027777777777778,0.8814935064935066,0.9247311827956989,22,6,1,43,0.9772727272727273,0.7857142857142857,0.9310064935064934,0.38499999999999995,0.358974358974359,0.49006444683136413,0.25742574257425743,58,138,12,26,0.6842105263157895,0.29591836734693877,0.521482277121375
meta__logreg_plain_c1,high_sens85,third_adapt72_only,0,0.38499999999999995,0.9027777777777778,0.8814935064935066,0.9247311827956989,22,6,1,43,0.9772727272727273,0.7857142857142857,0.9310064935064934,0.38499999999999995,0.358974358974359,0.49006444683136413,0.25742574257425743,58,138,12,26,0.6842105263157895,0.29591836734693877,0.521482277121375
single__11_flip_whole_crop_64style__route_score,accuracy,third_adapt72_only,0,0.24999999999999994,0.6111111111111112,0.512987012987013,0.75,2,26,2,42,0.9545454545454546,0.07142857142857142,0.515422077922078,0.24999999999999994,0.19658119658119658,0.4885875402792696,0.2713178294573643,11,185,3,35,0.9210526315789473,0.05612244897959184,0.4585123523093448
