score,selection_mode,target_accept_acc,accept_n,accept_frac,review_n,review_frac,review_error_precision,error_recall_in_review,fn_recall_in_review,hardcore_recall_in_review,accept_accuracy,accept_balanced_accuracy,accept_specificity_low,accept_sensitivity_high,accept_tn,accept_fp,accept_fn,accept_tp,review_base_n,review_base_accuracy,review_base_balanced_accuracy,review_base_specificity_low,review_base_sensitivity_high,review_base_tn,review_base_fp,review_base_fn,review_base_tp,final_if_review_corrected_n,final_if_review_corrected_accuracy,final_if_review_corrected_balanced_accuracy,final_if_review_corrected_specificity_low,final_if_review_corrected_sensitivity_high,final_if_review_corrected_tn,final_if_review_corrected_fp,final_if_review_corrected_fn,final_if_review_corrected_tp
predlow_disagree_mean,raw,0.9,0,0.0,285,1.0,0.23157894736842105,1.0,1.0,1.0,,,,,0,0,0,0,285,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,285,1.0,1.0,1.0,1.0,144,0,0,141
predlow_vote_frac,raw,0.9,0,0.0,285,1.0,0.23157894736842105,1.0,1.0,1.0,,,,,0,0,0,0,285,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,285,1.0,1.0,1.0,1.0,144,0,0,141
learn_hard_core_gb,raw,0.9,0,0.0,285,1.0,0.23157894736842105,1.0,1.0,1.0,,,,,0,0,0,0,285,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,285,1.0,1.0,1.0,1.0,144,0,0,141
learn_upper_fn_logreg,raw,0.9,0,0.0,285,1.0,0.23157894736842105,1.0,1.0,1.0,,,,,0,0,0,0,285,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,285,1.0,1.0,1.0,1.0,144,0,0,141
upper_low_conf,wilson90,0.9,20,0.07017543859649122,265,0.9298245614035088,0.2339622641509434,0.9393939393939394,0.90625,0.9384615384615385,0.8,0.8,0.9,0.7,9,1,3,7,265,0.7660377358490567,0.7661786487410276,0.753731343283582,0.7786259541984732,101,33,29,102,285,0.9859649122807017,0.9858894799054374,0.9930555555555556,0.9787234042553191,143,1,3,138
all_std,wilson90,0.9,0,0.0,285,1.0,0.23157894736842105,1.0,1.0,1.0,,,,,0,0,0,0,285,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,285,1.0,1.0,1.0,1.0,144,0,0,141
all_range,wilson90,0.9,0,0.0,285,1.0,0.23157894736842105,1.0,1.0,1.0,,,,,0,0,0,0,285,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,285,1.0,1.0,1.0,1.0,144,0,0,141
all_vote_disagree,wilson90,0.9,0,0.0,285,1.0,0.23157894736842105,1.0,1.0,1.0,,,,,0,0,0,0,285,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,285,1.0,1.0,1.0,1.0,144,0,0,141
mean_absdiff_to_upper,wilson90,0.9,0,0.0,285,1.0,0.23157894736842105,1.0,1.0,1.0,,,,,0,0,0,0,285,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,285,1.0,1.0,1.0,1.0,144,0,0,141
max_absdiff_to_upper,wilson90,0.9,0,0.0,285,1.0,0.23157894736842105,1.0,1.0,1.0,,,,,0,0,0,0,285,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,285,1.0,1.0,1.0,1.0,144,0,0,141
