score,target,accept_n,accept_frac,review_frac,accept_acc,accept_bacc,accept_sens,accept_spec,tn,fp,fn,tp,review_error_precision,error_recall,fn_recall,hard_recall
predlow_ensemble_mean,0.9,13,0.0456140350877193,0.9543859649122807,0.5384615384615384,0.5,0.0,1.0,7,0,6,0,0.22058823529411764,0.9090909090909091,0.8125,0.9076923076923077
predlow_range,0.9,8,0.028070175438596492,0.9719298245614035,0.375,0.5,0.0,1.0,3,0,5,0,0.22021660649819494,0.9242424242424242,0.84375,0.9230769230769231
learn_upper_wrong_gb,0.95,11,0.03859649122807018,0.9614035087719298,1.0,,1.0,,0,0,0,11,0.24087591240875914,1.0,1.0,1.0
learn_upper_wrong_extra,0.95,23,0.08070175438596491,0.9192982456140351,0.9565217391304348,0.5,1.0,0.0,0,1,0,22,0.2480916030534351,0.9848484848484849,1.0,0.9846153846153847
mean_absdiff_to_upper,0.95,20,0.07017543859649122,0.9298245614035088,0.95,0.5,1.0,0.0,0,1,0,19,0.24528301886792453,0.9848484848484849,1.0,0.9846153846153847
hybrid_overall_then_fn,0.95,17,0.05964912280701754,0.9403508771929825,0.9411764705882353,0.9615384615384616,0.9230769230769231,1.0,4,0,1,12,0.24253731343283583,0.9848484848484849,0.96875,0.9846153846153847
learn_hard_core_gb,0.95,13,0.0456140350877193,0.9543859649122807,0.9230769230769231,0.5,1.0,0.0,0,1,0,12,0.23897058823529413,0.9848484848484849,1.0,0.9846153846153847
hybrid_mean_all_std_abs_fn,0.95,24,0.08421052631578947,0.9157894736842105,0.9166666666666666,0.8333333333333333,1.0,0.6666666666666666,4,2,0,18,0.24521072796934865,0.9696969696969697,1.0,0.9692307692307692
learn_hard_core_rf,0.95,22,0.07719298245614035,0.9228070175438596,0.9090909090909091,0.5,1.0,0.0,0,2,0,20,0.24334600760456274,0.9696969696969697,1.0,0.9692307692307692
hybrid_fn_then_overall,0.95,22,0.07719298245614035,0.9228070175438596,0.9090909090909091,0.5,0.0,1.0,20,0,2,0,0.24334600760456274,0.9696969696969697,0.9375,0.9692307692307692
learn_upper_wrong_rf,0.95,32,0.11228070175438597,0.887719298245614,0.90625,0.5,1.0,0.0,0,3,0,29,0.2490118577075099,0.9545454545454546,1.0,0.9538461538461539
hybrid_rank_allrange_075_fn_025,0.95,21,0.07368421052631578,0.9263157894736842,0.9047619047619048,0.8990384615384616,0.9230769230769231,0.875,7,1,1,12,0.24242424242424243,0.9696969696969697,0.96875,0.9692307692307692
upper_low_conf,0.95,58,0.20350877192982456,0.7964912280701755,0.896551724137931,0.8944444444444444,0.9,0.8888888888888888,16,2,4,36,0.2643171806167401,0.9090909090909091,0.875,0.8923076923076924
all_std,0.95,25,0.08771929824561403,0.9122807017543859,0.88,0.6439393939393939,0.9545454545454546,0.3333333333333333,1,2,1,21,0.2423076923076923,0.9545454545454546,0.96875,0.9538461538461539
hybrid_rank_allrange_050_fn_050,0.95,20,0.07017543859649122,0.9298245614035088,0.85,0.8333333333333333,0.9166666666666666,0.75,6,2,1,11,0.23773584905660378,0.9545454545454546,0.96875,0.9538461538461539
learn_hard_core_extra,0.95,12,0.042105263157894736,0.9578947368421052,0.8333333333333334,0.5,1.0,0.0,0,2,0,10,0.23443223443223443,0.9696969696969697,1.0,0.9692307692307692
all_vote_disagree,0.95,60,0.21052631578947367,0.7894736842105263,0.8166666666666667,0.5,0.0,1.0,49,0,11,0,0.24444444444444444,0.8333333333333334,0.65625,0.8307692307692308
predlow_vote_frac,0.95,60,0.21052631578947367,0.7894736842105263,0.8166666666666667,0.5,0.0,1.0,49,0,11,0,0.24444444444444444,0.8333333333333334,0.65625,0.8307692307692308
hybrid_max_allrange_fn,0.95,27,0.09473684210526316,0.9052631578947369,0.8148148148148148,0.8011363636363636,0.7272727272727273,0.875,14,2,3,8,0.2364341085271318,0.9242424242424242,0.90625,0.9230769230769231
hybrid_rank_allrange_025_fn_075,0.95,42,0.14736842105263157,0.8526315789473684,0.8095238095238095,0.8221153846153846,0.875,0.7692307692307693,20,6,2,14,0.23868312757201646,0.8787878787878788,0.9375,0.8923076923076924
