profile,model_kind,repeat_adapt,threshold_objective,threshold,task_l6_label,n,correct,accuracy
adapt150_high_focus,logreg_0.001,2,accuracy,0.5499999999999999,B1,6,4,0.6666666666666666
adapt150_high_focus,logreg_0.001,2,accuracy,0.5499999999999999,B2,7,4,0.5714285714285714
adapt150_high_focus,logreg_0.001,2,accuracy,0.5499999999999999,TC,11,7,0.6363636363636364
adapt150_high_focus,logreg_0.001,4,balanced_accuracy,0.5399999999999999,AB,132,105,0.7954545454545454
adapt150_high_focus,logreg_0.001,4,balanced_accuracy,0.5399999999999999,B1,6,3,0.5
adapt150_high_focus,logreg_0.001,4,balanced_accuracy,0.5399999999999999,B2,7,5,0.7142857142857143
adapt150_high_focus,logreg_0.001,4,balanced_accuracy,0.5399999999999999,TC,11,9,0.8181818181818182
adapt150_high_focus,logreg_0.001,4,accuracy,0.5399999999999999,AB,132,105,0.7954545454545454
adapt150_high_focus,logreg_0.001,4,accuracy,0.5399999999999999,B1,6,3,0.5
adapt150_high_focus,logreg_0.001,4,accuracy,0.5399999999999999,B2,7,5,0.7142857142857143
adapt150_high_focus,logreg_0.001,4,accuracy,0.5399999999999999,TC,11,9,0.8181818181818182
adapt150_high_focus,logreg_0.003,1,balanced_accuracy,0.5599999999999999,AB,132,111,0.8409090909090909
adapt150_high_focus,logreg_0.003,1,balanced_accuracy,0.5599999999999999,B1,6,4,0.6666666666666666
adapt150_high_focus,logreg_0.003,1,balanced_accuracy,0.5599999999999999,B2,7,3,0.42857142857142855
adapt150_high_focus,logreg_0.003,1,balanced_accuracy,0.5599999999999999,TC,11,7,0.6363636363636364
adapt150_high_focus,logreg_0.003,1,accuracy,0.6499999999999999,AB,132,119,0.9015151515151515
adapt150_high_focus,logreg_0.003,1,accuracy,0.6499999999999999,B1,6,4,0.6666666666666666
adapt150_high_focus,logreg_0.003,1,accuracy,0.6499999999999999,B2,7,2,0.2857142857142857
adapt150_high_focus,logreg_0.003,1,accuracy,0.6499999999999999,TC,11,6,0.5454545454545454
adapt150_high_focus,logreg_0.003,2,balanced_accuracy,0.71,AB,132,120,0.9090909090909091
adapt150_high_focus,logreg_0.003,2,balanced_accuracy,0.71,B1,6,5,0.8333333333333334
adapt150_high_focus,logreg_0.003,2,balanced_accuracy,0.71,B2,7,2,0.2857142857142857
adapt150_high_focus,logreg_0.003,2,balanced_accuracy,0.71,TC,11,6,0.5454545454545454
adapt150_high_focus,logreg_0.003,2,accuracy,0.71,AB,132,120,0.9090909090909091
adapt150_high_focus,logreg_0.003,2,accuracy,0.71,B1,6,5,0.8333333333333334
