candidate,variant,model_kind,repeat_adapt,threshold_objective,threshold,train_accuracy,train_balanced_accuracy,train_f1,train_tn,train_fp,train_fn,train_tp,train_auc,old_oof_accuracy,old_oof_balanced_accuracy,old_oof_f1,old_oof_tn,old_oof_fp,old_oof_fn,old_oof_tp,old_oof_auc,adapt_oof_accuracy,adapt_oof_balanced_accuracy,adapt_oof_f1,adapt_oof_tn,adapt_oof_fp,adapt_oof_fn,adapt_oof_tp,adapt_oof_auc,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_auc,selection_score,error
raw__extratrees_5__r4,raw,extratrees_5,4.0,balanced_accuracy,0.5199999999999999,0.6106442577030813,0.6130892520427405,0.592375366568915,117.0,55.0,84.0,101.0,0.6483343808925205,0.6035087719298246,0.6024674940898345,0.5568627450980392,101.0,43.0,70.0,71.0,0.6379038613081166,0.6388888888888888,0.6266233766233766,0.6976744186046512,16.0,12.0,14.0,30.0,0.6631493506493507,0.7264957264957265,0.6776315789473684,0.41818181818181815,147.0,49.0,15.0,23.0,0.781015037593985,0.7062136429314545,
raw__extratrees_5__r4,raw,extratrees_5,4.0,accuracy,0.5199999999999999,0.6106442577030813,0.6130892520427405,0.592375366568915,117.0,55.0,84.0,101.0,0.6483343808925205,0.6035087719298246,0.6024674940898345,0.5568627450980392,101.0,43.0,70.0,71.0,0.6379038613081166,0.6388888888888888,0.6266233766233766,0.6976744186046512,16.0,12.0,14.0,30.0,0.6631493506493507,0.7264957264957265,0.6776315789473684,0.41818181818181815,147.0,49.0,15.0,23.0,0.781015037593985,0.7062136429314545,
raw__rf_5__r1,raw,rf_5,1.0,balanced_accuracy,0.5299999999999999,0.6554621848739496,0.6579666876178504,0.6392961876832844,125.0,47.0,76.0,109.0,0.7009742300439975,0.6771929824561403,0.676418439716312,0.648854961832061,108.0,36.0,56.0,85.0,0.707348305752561,0.5694444444444444,0.5762987012987013,0.6075949367088608,17.0,11.0,20.0,24.0,0.650974025974026,0.8162393162393162,0.7099892588614394,0.49411764705882355,170.0,26.0,17.0,21.0,0.7749731471535983,0.6837269260350656,
raw__rf_5__r1,raw,rf_5,1.0,accuracy,0.5299999999999999,0.6554621848739496,0.6579666876178504,0.6392961876832844,125.0,47.0,76.0,109.0,0.7009742300439975,0.6771929824561403,0.676418439716312,0.648854961832061,108.0,36.0,56.0,85.0,0.707348305752561,0.5694444444444444,0.5762987012987013,0.6075949367088608,17.0,11.0,20.0,24.0,0.650974025974026,0.8162393162393162,0.7099892588614394,0.49411764705882355,170.0,26.0,17.0,21.0,0.7749731471535983,0.6837269260350656,
raw__rf_5__r2,raw,rf_5,2.0,balanced_accuracy,0.5399999999999999,0.6778711484593838,0.6806096794468888,0.6607669616519174,130.0,42.0,73.0,112.0,0.7087052168447517,0.6807017543859649,0.6797429078014184,0.6459143968871596,111.0,33.0,58.0,83.0,0.7082840819542946,0.6666666666666666,0.6688311688311688,0.7073170731707317,19.0,9.0,15.0,29.0,0.6891233766233766,0.7905982905982906,0.6734693877551021,0.4367816091954023,166.0,30.0,19.0,19.0,0.7740332975295381,0.7838376636981288,
raw__rf_5__r2,raw,rf_5,2.0,accuracy,0.5399999999999999,0.6778711484593838,0.6806096794468888,0.6607669616519174,130.0,42.0,73.0,112.0,0.7087052168447517,0.6807017543859649,0.6797429078014184,0.6459143968871596,111.0,33.0,58.0,83.0,0.7082840819542946,0.6666666666666666,0.6688311688311688,0.7073170731707317,19.0,9.0,15.0,29.0,0.6891233766233766,0.7905982905982906,0.6734693877551021,0.4367816091954023,166.0,30.0,19.0,19.0,0.7740332975295381,0.7838376636981288,
raw__rf_5__r4,raw,rf_5,4.0,balanced_accuracy,0.5099999999999999,0.6722689075630253,0.6711187932118166,0.6896551724137931,110.0,62.0,55.0,130.0,0.7090823381521056,0.6596491228070176,0.6597222222222222,0.6596491228070176,94.0,50.0,47.0,94.0,0.7048364854215918,0.7222222222222222,0.6948051948051948,0.782608695652174,16.0,12.0,8.0,36.0,0.6891233766233765,0.6666666666666666,0.6949516648764769,0.417910447761194,128.0,68.0,10.0,28.0,0.7925617615467239,0.7732389335479911,
raw__rf_5__r4,raw,rf_5,4.0,accuracy,0.5099999999999999,0.6722689075630253,0.6711187932118166,0.6896551724137931,110.0,62.0,55.0,130.0,0.7090823381521056,0.6596491228070176,0.6597222222222222,0.6596491228070176,94.0,50.0,47.0,94.0,0.7048364854215918,0.7222222222222222,0.6948051948051948,0.782608695652174,16.0,12.0,8.0,36.0,0.6891233766233765,0.6666666666666666,0.6949516648764769,0.417910447761194,128.0,68.0,10.0,28.0,0.7925617615467239,0.7732389335479911,
pca32__logreg_0.0003__r1,pca32,logreg_0.0003,1.0,balanced_accuracy,0.49999999999999994,0.6554621848739496,0.6551068510370837,0.6666666666666666,111.0,61.0,62.0,123.0,0.708139534883721,0.6736842105263158,0.673684988179669,0.6713780918727915,97.0,47.0,46.0,95.0,0.717789598108747,0.5833333333333334,0.5681818181818181,0.6511627906976745,14.0,14.0,16.0,28.0,0.640422077922078,0.7393162393162394,0.6746777658431794,0.41904761904761906,151.0,45.0,16.0,22.0,0.7583243823845327,0.6759613069729348,
pca32__logreg_0.0003__r1,pca32,logreg_0.0003,1.0,accuracy,0.49999999999999994,0.6554621848739496,0.6551068510370837,0.6666666666666666,111.0,61.0,62.0,123.0,0.708139534883721,0.6736842105263158,0.673684988179669,0.6713780918727915,97.0,47.0,46.0,95.0,0.717789598108747,0.5833333333333334,0.5681818181818181,0.6511627906976745,14.0,14.0,16.0,28.0,0.640422077922078,0.7393162393162394,0.6746777658431794,0.41904761904761906,151.0,45.0,16.0,22.0,0.7583243823845327,0.6759613069729348,
