split,policy,n,control_n,control_rate,auto_n,auto_rate,remaining_error_n,auto_wrong_n,auto_fn_n,auto_fp_n,captured_wrong_n,captured_fn_n,captured_fp_n,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,extra_control_n,extra_control_rate,extra_captured_wrong_n,extra_captured_fn_n,extra_captured_fp_n,candidate,rate
pseudo_third_to_old,v75_plus_pred_high_quality_plus_image_maha_mean_r150,285,227,0.7964912280701755,58,0.20350877192982456,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,14.0,0.04912280701754386,0.0,0.0,0.0,pred_high_quality_plus_image_maha_mean,0.15
pseudo_third_to_old,v75_plus_pred_high_quality_plus_image_maha_mean_r175,285,231,0.8105263157894737,54,0.18947368421052632,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,18.0,0.06315789473684211,0.0,0.0,0.0,pred_high_quality_plus_image_maha_mean,0.175
pseudo_third_to_old,v75_plus_pred_high_quality_plus_image_maha_mean_r200,285,234,0.8210526315789474,51,0.17894736842105263,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,21.0,0.07368421052631578,0.0,0.0,0.0,pred_high_quality_plus_image_maha_mean,0.2
pseudo_third_to_old,v75_plus_pred_high_quality_or_image_maha_r025,285,217,0.7614035087719299,68,0.23859649122807017,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,4.0,0.014035087719298246,0.0,0.0,0.0,pred_high_quality_or_image_maha,0.025
pseudo_third_to_old,v75_plus_pred_high_quality_or_image_maha_r050,285,220,0.7719298245614035,65,0.22807017543859648,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,7.0,0.02456140350877193,0.0,0.0,0.0,pred_high_quality_or_image_maha,0.05
pseudo_third_to_old,v75_plus_pred_high_quality_or_image_maha_r075,285,220,0.7719298245614035,65,0.22807017543859648,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,7.0,0.02456140350877193,0.0,0.0,0.0,pred_high_quality_or_image_maha,0.075
pseudo_third_to_old,v75_plus_pred_high_quality_or_image_maha_r100,285,224,0.7859649122807018,61,0.21403508771929824,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,11.0,0.03859649122807018,0.0,0.0,0.0,pred_high_quality_or_image_maha,0.1
pseudo_third_to_old,v75_plus_pred_high_quality_or_image_maha_r125,285,227,0.7964912280701755,58,0.20350877192982456,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,14.0,0.04912280701754386,0.0,0.0,0.0,pred_high_quality_or_image_maha,0.125
pseudo_third_to_old,v75_plus_pred_high_quality_or_image_maha_r150,285,227,0.7964912280701755,58,0.20350877192982456,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,14.0,0.04912280701754386,0.0,0.0,0.0,pred_high_quality_or_image_maha,0.15
pseudo_third_to_old,v75_plus_pred_high_quality_or_image_maha_r175,285,231,0.8105263157894737,54,0.18947368421052632,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,18.0,0.06315789473684211,0.0,0.0,0.0,pred_high_quality_or_image_maha,0.175
pseudo_third_to_old,v75_plus_pred_high_quality_or_image_maha_r200,285,234,0.8210526315789474,51,0.17894736842105263,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,21.0,0.07368421052631578,0.0,0.0,0.0,pred_high_quality_or_image_maha,0.2
pseudo_third_to_old,v75_plus_pred_high_quality_and_image_maha_r025,285,215,0.7543859649122807,70,0.24561403508771928,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,2.0,0.007017543859649123,0.0,0.0,0.0,pred_high_quality_and_image_maha,0.025
pseudo_third_to_old,v75_plus_pred_high_quality_and_image_maha_r050,285,219,0.7684210526315789,66,0.23157894736842105,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,6.0,0.021052631578947368,0.0,0.0,0.0,pred_high_quality_and_image_maha,0.05
pseudo_third_to_old,v75_plus_pred_high_quality_and_image_maha_r075,285,221,0.775438596491228,64,0.22456140350877193,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,8.0,0.028070175438596492,0.0,0.0,0.0,pred_high_quality_and_image_maha,0.075
pseudo_third_to_old,v75_plus_pred_high_quality_and_image_maha_r100,285,222,0.7789473684210526,63,0.22105263157894736,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,9.0,0.031578947368421054,0.0,0.0,0.0,pred_high_quality_and_image_maha,0.1
pseudo_third_to_old,v75_plus_pred_high_quality_and_image_maha_r125,285,224,0.7859649122807018,61,0.21403508771929824,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,11.0,0.03859649122807018,0.0,0.0,0.0,pred_high_quality_and_image_maha,0.125
pseudo_third_to_old,v75_plus_pred_high_quality_and_image_maha_r150,285,228,0.8,57,0.2,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,15.0,0.05263157894736842,0.0,0.0,0.0,pred_high_quality_and_image_maha,0.15
pseudo_third_to_old,v75_plus_pred_high_quality_and_image_maha_r175,285,230,0.8070175438596491,55,0.19298245614035087,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,17.0,0.05964912280701754,0.0,0.0,0.0,pred_high_quality_and_image_maha,0.175
pseudo_third_to_old,v75_plus_pred_high_quality_and_image_maha_r200,285,234,0.8210526315789474,51,0.17894736842105263,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,21.0,0.07368421052631578,0.0,0.0,0.0,pred_high_quality_and_image_maha,0.2
pseudo_third_to_old,v75_plus_pred_high_quality_x_image_maha_r025,285,217,0.7614035087719299,68,0.23859649122807017,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,4.0,0.014035087719298246,0.0,0.0,0.0,pred_high_quality_x_image_maha,0.025
pseudo_third_to_old,v75_plus_pred_high_quality_x_image_maha_r050,285,219,0.7684210526315789,66,0.23157894736842105,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,6.0,0.021052631578947368,0.0,0.0,0.0,pred_high_quality_x_image_maha,0.05
pseudo_third_to_old,v75_plus_pred_high_quality_x_image_maha_r075,285,221,0.775438596491228,64,0.22456140350877193,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,8.0,0.028070175438596492,0.0,0.0,0.0,pred_high_quality_x_image_maha,0.075
pseudo_third_to_old,v75_plus_pred_high_quality_x_image_maha_r100,285,222,0.7789473684210526,63,0.22105263157894736,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,9.0,0.031578947368421054,0.0,0.0,0.0,pred_high_quality_x_image_maha,0.1
