accuracy,balanced_accuracy,auc,ap,f1,precision,recall,tn,fp,fn,tp,threshold,top10_precision,top10_recall,top20_precision,top20_recall,top30_precision,top30_recall,top38_precision,top38_recall,top65_precision,top65_recall,top80_precision,top80_recall,top100_precision,top100_recall,run_name,target,feature_set,classifier,positives,top47_precision,top47_recall,top27_precision,top27_recall
0.9298245614035088,0.9612403100775193,0.9527706000574218,0.5300333044390015,0.7297297297297297,0.574468085106383,1.0,238,20,0,27,0.49999999999999994,0.3,0.1111111111111111,0.45,0.3333333333333333,0.5666666666666667,0.6296296296296297,0.5789473684210527,0.8148148148148148,,,0.3375,1.0,0.27,1.0,best41_fn__gross_text_hand__logreg_c1,best41_fn,gross_text_hand,logreg_c1,27,,,0.5185185185185185,0.5185185185185185
0.9298245614035088,0.9612403100775193,0.9510479471719782,0.5129181736983172,0.7297297297297297,0.574468085106383,1.0,238,20,0,27,0.49999999999999994,0.2,0.07407407407407407,0.5,0.37037037037037035,0.5666666666666667,0.6296296296296297,0.5526315789473685,0.7777777777777778,,,0.3375,1.0,0.27,1.0,best41_fn__gross_hand__extra,best41_fn,gross_hand,extra,27,,,0.5555555555555556,0.5555555555555556
0.7964912280701755,0.7715331610680447,0.8399368360608671,0.3990570690612959,0.40816326530612246,0.28169014084507044,0.7407407407407407,207,51,7,20,0.4699999999999999,0.4,0.14814814814814814,0.35,0.25925925925925924,0.43333333333333335,0.48148148148148145,0.42105263157894735,0.5925925925925926,,,0.275,0.8148148148148148,0.23,0.8518518518518519,best41_fn__gross_text_hand__extra,best41_fn,gross_text_hand,extra,27,,,0.4074074074074074,0.4074074074074074
0.8210526315789474,0.785099052540913,0.8402239448751077,0.3608591164312386,0.43956043956043955,0.3125,0.7407407407407407,214,44,7,20,0.42999999999999994,0.4,0.14814814814814814,0.45,0.3333333333333333,0.5333333333333333,0.5925925925925926,0.42105263157894735,0.5925925925925926,,,0.25,0.7407407407407407,0.21,0.7777777777777778,best41_fn__model_visible__logreg,best41_fn,model_visible,logreg,27,,,0.5185185185185185,0.5185185185185185
0.8491228070175438,0.7508613264427217,0.816824576514499,0.3246618099242482,0.44155844155844154,0.34,0.6296296296296297,225,33,10,17,0.4699999999999999,0.4,0.14814814814814814,0.5,0.37037037037037035,0.43333333333333335,0.48148148148148145,0.39473684210526316,0.5555555555555556,,,0.2375,0.7037037037037037,0.21,0.7777777777777778,best41_fn__model_visible__logreg_c1,best41_fn,model_visible,logreg_c1,27,,,0.48148148148148145,0.48148148148148145
0.8666666666666667,0.5284237726098191,0.48952052828021814,0.10855622836297743,0.13636363636363635,0.17647058823529413,0.1111111111111111,244,14,24,3,0.5099999999999999,0.1,0.037037037037037035,0.15,0.1111111111111111,0.13333333333333333,0.14814814814814814,0.13157894736842105,0.18518518518518517,,,0.0875,0.25925925925925924,0.08,0.2962962962962963,best41_fn__gross_text__extra,best41_fn,gross_text,extra,27,,,0.1111111111111111,0.1111111111111111
0.10526315789473684,0.5058139534883721,0.42204995693367786,0.08153710510579523,0.17475728155339806,0.09574468085106383,1.0,3,255,0,27,0.24,0.0,0.0,0.05,0.037037037037037035,0.06666666666666667,0.07407407407407407,0.05263157894736842,0.07407407407407407,,,0.0625,0.18518518518518517,0.06,0.2222222222222222,best41_fn__gross_text__logreg_c1,best41_fn,gross_text,logreg_c1,27,,,0.037037037037037035,0.037037037037037035
0.10526315789473684,0.5058139534883721,0.40783807062876826,0.07934000617293471,0.17475728155339806,0.09574468085106383,1.0,3,255,0,27,0.37999999999999995,0.0,0.0,0.05,0.037037037037037035,0.06666666666666667,0.07407407407407407,0.05263157894736842,0.07407407407407407,,,0.0625,0.18518518518518517,0.06,0.2222222222222222,best41_fn__gross_text__logreg,best41_fn,gross_text,logreg,27,,,0.037037037037037035,0.037037037037037035
0.9789473684210527,0.9886792452830189,0.9979245283018868,0.9771343073402572,0.8695652173913043,0.7692307692307693,1.0,259,6,0,20,0.49999999999999994,1.0,0.5,0.9,0.9,0.6666666666666666,1.0,0.5263157894736842,1.0,,,0.25,1.0,0.2,1.0,best41_fp__gross_hand_model__logreg_c1,best41_fp,gross_hand_model,logreg_c1,20,,,,
0.9789473684210527,0.9886792452830189,0.9971698113207548,0.9693186813186816,0.8695652173913043,0.7692307692307693,1.0,259,6,0,20,0.49999999999999994,1.0,0.5,0.85,0.85,0.6666666666666666,1.0,0.5263157894736842,1.0,,,0.25,1.0,0.2,1.0,best41_fp__gross_text_hand_model__logreg_c1,best41_fp,gross_text_hand_model,logreg_c1,20,,,,
