scenario,eval_domain,n,flip_n,flip_rate,base_errors,final_errors,net_errors_reduced,rescued_n,hurt_n,rescued_fn,rescued_fp,hurt_to_fn,hurt_to_fp,base_n,base_accuracy,base_balanced_accuracy,base_f1,base_sensitivity_high,base_specificity_low,base_tn,base_fp,base_fn,base_tp,base_auc,final_n,final_accuracy,final_balanced_accuracy,final_f1,final_sensitivity_high,final_specificity_low,final_tn,final_fp,final_fn,final_tp,final_auc,delta_bacc
false_gate_third_only,third_batch,306,60,0.19607843137254902,65,83,-18,21,39,3,18,20,19,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,306,0.7287581699346405,0.6485191637630662,0.484472049689441,0.47560975609756095,0.8214285714285714,184,40,43,39,0.818270905923345,-0.10589067944250874
false_gate_third_only,strict_external,105,0,0.0,51,51,0,0,0,0,0,0,0,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,0.0
false_gate_third_only,all_three_domains,696,60,0.08620689655172414,177,195,-18,21,39,3,18,20,19,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,696,0.7198275862068966,0.7168753260302556,0.6608695652173913,0.7037037037037037,0.7300469483568075,311,115,80,190,0.8353069031472786,-0.03265519040166931
false_gate_old_and_third,old_data,285,59,0.20701754385964913,61,78,-17,21,38,0,21,27,11,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,285,0.7263157894736842,0.7254728132387707,0.7,0.6453900709219859,0.8055555555555556,116,28,50,91,0.8737687155240348,-0.0610224586288417
false_gate_old_and_third,third_batch,306,60,0.19607843137254902,65,83,-18,21,39,3,18,20,19,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,306,0.7287581699346405,0.6485191637630662,0.484472049689441,0.47560975609756095,0.8214285714285714,184,40,43,39,0.818270905923345,-0.10589067944250874
false_gate_old_and_third,strict_external,105,0,0.0,51,51,0,0,0,0,0,0,0,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,0.0
false_gate_old_and_third,all_three_domains,696,119,0.17097701149425287,177,212,-35,42,77,3,39,47,30,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,696,0.6954022988505747,0.6786124152321336,0.6059479553903345,0.6037037037037037,0.7535211267605634,321,105,107,163,0.8353069031472786,-0.07091810119979136
no_gate_apply_all_domains,old_data,285,59,0.20701754385964913,61,78,-17,21,38,0,21,27,11,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,285,0.7263157894736842,0.7254728132387707,0.7,0.6453900709219859,0.8055555555555556,116,28,50,91,0.8737687155240348,-0.0610224586288417
no_gate_apply_all_domains,third_batch,306,60,0.19607843137254902,65,83,-18,21,39,3,18,20,19,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,306,0.7287581699346405,0.6485191637630662,0.484472049689441,0.47560975609756095,0.8214285714285714,184,40,43,39,0.818270905923345,-0.10589067944250874
no_gate_apply_all_domains,strict_external,105,35,0.3333333333333333,51,24,27,31,4,6,25,3,1,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.7714285714285715,0.7709097578870139,0.75,0.7659574468085106,0.7758620689655172,45,13,11,36,0.6661775495231108,0.23881144534115917
no_gate_apply_all_domains,all_three_domains,696,154,0.22126436781609196,177,185,-8,73,81,9,64,50,31,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,696,0.7341954022988506,0.7123369848721961,0.6421663442940039,0.6148148148148148,0.8098591549295775,345,81,104,166,0.8353069031472786,-0.03719353155972882
missed_external_gate,old_data,285,0,0.0,61,61,0,0,0,0,0,0,0,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,0.0
missed_external_gate,third_batch,306,0,0.0,65,65,0,0,0,0,0,0,0,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,0.0
missed_external_gate,strict_external,105,0,0.0,51,51,0,0,0,0,0,0,0,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,0.0
missed_external_gate,all_three_domains,696,0,0.0,177,177,0,0,0,0,0,0,0,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,0.0
