policy,score_name,extra_rate,split,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,control_n,control_rate,extra_captured_wrong_n,captured_wrong_n,captured_fn_n,captured_fp_n,remaining_error_n
v50_plus_rank_ood,image_common5_mahalanobis,0.025,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,433,0.7326565143824028,0,84,32,52,7
v50_plus_rank_ood,image_common5_mahalanobis,0.025,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,82,0.7592592592592593,0,29,14,15,3
v50_plus_rank_ood,image_common5_mahalanobis,0.05,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,443,0.7495769881556683,0,84,32,52,7
v50_plus_rank_ood,image_common5_mahalanobis,0.05,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,84,0.7777777777777778,0,29,14,15,3
v50_plus_rank_ood,image_common5_mahalanobis,0.075,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,448,0.7580372250423012,0,84,32,52,7
v50_plus_rank_ood,image_common5_mahalanobis,0.075,external,0.9814814814814815,0.9836065573770492,1.0,0.9672131147540983,0.9591836734693877,0.9791666666666666,59,2,0,47,87,0.8055555555555556,1,30,15,15,2
v50_plus_rank_ood,image_common5_mahalanobis,0.1,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,451,0.7631133671742809,0,84,32,52,7
v50_plus_rank_ood,image_common5_mahalanobis,0.1,external,0.9814814814814815,0.9836065573770492,1.0,0.9672131147540983,0.9591836734693877,0.9791666666666666,59,2,0,47,90,0.8333333333333334,1,30,15,15,2
v50_plus_rank_ood,image_common5_mahalanobis,0.125,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,455,0.7698815566835872,0,84,32,52,7
v50_plus_rank_ood,image_common5_mahalanobis,0.125,external,0.9814814814814815,0.9836065573770492,1.0,0.9672131147540983,0.9591836734693877,0.9791666666666666,59,2,0,47,93,0.8611111111111112,1,30,15,15,2
v50_plus_rank_ood,image_common5_mahalanobis,0.15,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,458,0.7749576988155669,0,84,32,52,7
v50_plus_rank_ood,image_common5_mahalanobis,0.15,external,0.9814814814814815,0.9836065573770492,1.0,0.9672131147540983,0.9591836734693877,0.9791666666666666,59,2,0,47,95,0.8796296296296297,1,30,15,15,2
v50_plus_rank_ood,image_common5_mahalanobis,0.2,development,0.9898477157360406,0.9891974556443751,0.9865470852017937,0.9918478260869565,0.9865470852017937,0.9865470852017937,365,3,3,220,470,0.7952622673434856,1,85,33,52,6
v50_plus_rank_ood,image_common5_mahalanobis,0.2,external,0.9907407407407407,0.9918032786885246,1.0,0.9836065573770492,0.9791666666666666,0.9894736842105264,60,1,0,47,101,0.9351851851851852,2,31,15,16,1
v50_plus_rank_ood,image_common5_mahalanobis,0.25,development,0.9915397631133672,0.9914396081107428,0.9910313901345291,0.9918478260869565,0.9866071428571429,0.9888143176733781,365,3,2,221,483,0.817258883248731,2,86,34,52,5
v50_plus_rank_ood,image_common5_mahalanobis,0.25,external,0.9907407407407407,0.9918032786885246,1.0,0.9836065573770492,0.9791666666666666,0.9894736842105264,60,1,0,47,102,0.9444444444444444,2,31,15,16,1
v50_plus_rank_ood,image_plus_model_isolation_forest,0.025,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,429,0.7258883248730964,0,84,32,52,7
