selector,target_auto_error,n_splits,no_auto_rate,cal_auto_rate_median,cal_auto_rate_ci025,cal_auto_rate_ci975,cal_error_rate_median,cal_error_rate_ci025,cal_error_rate_ci975,cal_error_upper95_median,cal_error_upper95_ci025,cal_error_upper95_ci975,dev_test_auto_rate_median,dev_test_auto_rate_ci025,dev_test_auto_rate_ci975,dev_test_auto_error_rate_median,dev_test_auto_error_rate_ci025,dev_test_auto_error_rate_ci975,dev_test_workflow_balanced_accuracy_median,dev_test_workflow_balanced_accuracy_ci025,dev_test_workflow_balanced_accuracy_ci975,external_auto_rate_median,external_auto_rate_ci025,external_auto_rate_ci975,external_auto_error_rate_median,external_auto_error_rate_ci025,external_auto_error_rate_ci975,external_workflow_balanced_accuracy_median,external_workflow_balanced_accuracy_ci025,external_workflow_balanced_accuracy_ci975,external_workflow_sensitivity_median,external_workflow_sensitivity_ci025,external_workflow_sensitivity_ci975,external_workflow_specificity_median,external_workflow_specificity_ci025,external_workflow_specificity_ci975,external_workflow_fn_median,external_workflow_fn_ci025,external_workflow_fn_ci975,external_workflow_fp_median,external_workflow_fp_ci025,external_workflow_fp_ci975
safe_by_fn_risk,0.1,500,0.218,0.10810810810810811,0.0,0.22972972972972974,0.0,0.0,0.03225806451612903,0.09503385285530411,0.07789792151881823,1.0,0.1016949152542373,0.0,0.23389830508474577,0.03225806451612903,0.0,0.13125539257981017,1.0,0.9782608695652174,1.0,1.0,0.0,1.0,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.7010812696198117,0.7010812696198117,1.0,0.6808510638297872,0.6808510638297872,1.0,0.7213114754098361,0.7213114754098361,1.0,15.0,0.0,15.0,17.0,0.0,17.0
safe_by_fn_risk,0.15,500,0.0,0.22972972972972974,0.08783783783783784,0.2956925675675675,0.0684931506849315,0.0,0.08139534883720931,0.14266470647077978,0.11292814500684321,0.14987835941745883,0.22372881355932203,0.10508474576271186,0.30847457627118646,0.078125,0.0,0.1788264669163545,0.9864130434782609,0.9565217391304348,1.0,1.0,1.0,1.0,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.7010812696198117,0.7010812696198117,0.7010812696198117,0.6808510638297872,0.6808510638297872,0.6808510638297872,0.7213114754098361,0.7213114754098361,0.7213114754098361,15.0,15.0,15.0,17.0,17.0,17.0
safe_by_p2_core_confidence,0.05,500,0.98,0.0,0.0,0.0,0.009020723283218204,0.0,0.010726950354609929,1.0,1.0,1.0,0.0,0.0,0.0,0.09327430879155017,0.08695652173913043,0.11252470355731226,1.0,1.0,1.0,0.0,0.0,0.0,0.4409722222222222,0.4,0.46153846153846156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
safe_by_p2_core_confidence,0.1,500,0.142,0.3547297297297297,0.0,0.5202702702702703,0.04672897196261682,0.0,0.05660377358490566,0.09661804557892087,0.07215752450551455,1.0,0.34915254237288135,0.0,0.5152542372881356,0.057692307692307696,0.0,0.1191322761745297,0.978334312573443,0.9332158245201724,1.0,0.19444444444444445,0.0,0.37037037037037035,0.42857142857142855,0.3,0.5454545454545454,0.9237879316358563,0.8943146145797001,1.0,0.9787234042553191,0.9361702127659575,1.0,0.8688524590163934,0.8524590163934426,1.0,1.0,0.0,3.0,8.0,0.0,9.0
safe_by_p2_core_confidence,0.15,500,0.0,0.5777027027027027,0.40878378378378377,0.8227195945945945,0.10119047619047619,0.09090909090909091,0.11016949152542373,0.14788354923216773,0.14419550551151608,0.14983014307698858,0.5830508474576271,0.42533898305084744,0.8153389830508474,0.10434504146160588,0.04096956258818787,0.17263729246487866,0.935002937720329,0.8559305229142186,0.9819899383078731,0.49074074074074076,0.24074074074074073,0.7037037037037037,0.28846153846153844,0.2681746031746032,0.38461538461538464,0.8672828740844087,0.7943843739100105,0.9131496337635159,0.9148936170212766,0.851063829787234,0.9574468085106383,0.819672131147541,0.7377049180327869,0.8688524590163934,4.0,2.0,7.0,11.0,8.0,16.0
safe_by_p2_main_confidence,0.05,500,0.938,0.0,0.0,0.22635135135135134,0.0,0.0,0.002688172043010753,1.0,0.0440351732541295,1.0,0.0,0.0,0.23389830508474577,0.06666666666666667,0.057971014492753624,0.09090909090909091,1.0,0.9864130434782609,1.0,0.0,0.0,0.1111111111111111,0.4,0.3333333333333333,0.5467032967032966,1.0,0.9459365190094176,1.0,1.0,0.9574468085106383,1.0,1.0,0.9344262295081968,1.0,0.0,0.0,2.0,0.0,0.0,4.0
safe_by_p2_main_confidence,0.1,500,0.094,0.30067567567567566,0.0,0.44771959459459454,0.041666666666666664,0.0,0.052910685805422644,0.09572233427809097,0.07984650951989439,1.0,0.29152542372881357,0.0,0.4440677966101695,0.054945054945054944,0.0,0.12235550708833151,0.9891304347826086,0.9507105611045829,1.0,0.12037037037037036,0.0,0.2553240740740734,0.5384615384615384,0.0,0.5882352941176471,0.9377397976979421,0.8943146145797001,1.0,0.9574468085106383,0.9361702127659575,1.0,0.9180327868852459,0.8524590163934426,1.0,2.0,0.0,3.0,5.0,0.0,9.0
safe_by_p2_main_confidence,0.15,500,0.0,0.8766891891891893,0.3056587837837838,0.9781249999999999,0.11026615969581749,0.08,0.11383820100625844,0.14838746450039017,0.14200340745463946,0.149864678924448,0.8745762711864407,0.31186440677966104,0.9712711864406779,0.11264513306142859,0.03125,0.16315935283687943,0.9002154328241285,0.8347103897375636,0.9918478260869565,0.7870370370370371,0.12962962962962962,0.9215277777777775,0.3372093023255814,0.30143939393939395,0.5882352941176471,0.7256714335542378,0.7174747122427625,0.9295430763864667,0.6808510638297872,0.6808510638297872,0.9574468085106383,0.7704918032786885,0.7540983606557377,0.9016393442622951,15.0,2.0,15.0,14.0,6.0,15.0
safe_by_score_margin_agree,0.05,500,0.922,0.0,0.0,0.2686655405405405,0.0,0.0,0.01117046777617969,1.0,0.04437517261818429,1.0,0.0,0.0,0.2576271186440678,0.057971014492753624,0.046153846153846156,0.10455212152959663,1.0,0.9751126126126126,1.0,0.0,0.0,0.17152777777777756,0.3333333333333333,0.29411764705882354,0.391304347826087,1.0,0.9391916637600279,1.0,1.0,0.9361702127659575,1.0,1.0,0.9422131147540984,1.0,0.0,0.0,3.0,0.0,0.0,3.5249999999999773
safe_by_score_margin_agree,0.1,500,0.096,0.3581081081081081,0.0,0.6774493243243243,0.04854368932038835,0.0,0.06282722513089005,0.097579930896185,0.0891962501588798,1.0,0.3593220338983051,0.0,0.6763559322033897,0.06698717948717949,0.0,0.1210913482652613,0.972972972972973,0.9044016842929887,1.0,0.23148148148148148,0.0,0.5555555555555556,0.35043859649122805,0.29411764705882354,0.4166666666666667,0.9082664806417858,0.8010115102895012,1.0,0.9148936170212766,0.7659574468085106,1.0,0.9016393442622951,0.8360655737704918,1.0,4.0,0.0,11.0,6.0,0.0,10.0
