group_by,group_value,n,n_low,n_high,accuracy,balanced_accuracy,sensitivity,specificity,review_or_control_n,review_or_control_rate,tn,fp,fn,tp,error_n,policy
task_l7_label,high_risk_group,47,0,47,1.0,,1.0,,42,0.8936170212765957,0,0,0,47,0,v52_quality_le88
task_l7_label,low_risk_group,61,61,0,1.0,,,1.0,54,0.8852459016393442,61,0,0,0,0,v52_quality_le88
task_l6_label,A,8,8,0,1.0,,,1.0,8,1.0,8,0,0,0,0,v52_quality_le88
task_l6_label,AB,39,39,0,1.0,,,1.0,34,0.8717948717948718,39,0,0,0,0,v52_quality_le88
task_l6_label,B1,11,11,0,1.0,,,1.0,10,0.9090909090909091,11,0,0,0,0,v52_quality_le88
task_l6_label,B1_B2_mixed,1,0,1,1.0,,1.0,,0,0.0,0,0,0,1,0,v52_quality_le88
task_l6_label,B2,28,0,28,1.0,,1.0,,25,0.8928571428571429,0,0,0,28,0,v52_quality_le88
task_l6_label,B2_B3_mixed,3,0,3,1.0,,1.0,,3,1.0,0,0,0,3,0,v52_quality_le88
task_l6_label,B3,10,0,10,1.0,,1.0,,9,0.9,0,0,0,10,0,v52_quality_le88
task_l6_label,MNT_assumed_low,3,3,0,1.0,,,1.0,2,0.6666666666666666,3,0,0,0,0,v52_quality_le88
task_l6_label,TC,5,0,5,1.0,,1.0,,5,1.0,0,0,0,5,0,v52_quality_le88
quality_status,borderline,66,36,30,1.0,1.0,1.0,1.0,57,0.8636363636363636,36,0,0,30,0,v52_quality_le88
quality_status,pass,40,24,16,1.0,1.0,1.0,1.0,37,0.925,24,0,0,16,0,v52_quality_le88
quality_status,reject,1,1,0,1.0,,,1.0,1,1.0,1,0,0,0,0,v52_quality_le88
quality_score_bucket,100,41,24,17,1.0,1.0,1.0,1.0,38,0.926829268292683,24,0,0,17,0,v52_quality_le88
quality_score_bucket,75-82,13,3,10,1.0,1.0,1.0,1.0,13,1.0,3,0,0,10,0,v52_quality_le88
quality_score_bucket,83-88,13,7,6,1.0,1.0,1.0,1.0,13,1.0,7,0,0,6,0,v52_quality_le88
quality_score_bucket,89-99,34,22,12,1.0,1.0,1.0,1.0,25,0.7352941176470589,22,0,0,12,0,v52_quality_le88
quality_score_bucket,<=74,7,5,2,1.0,1.0,1.0,1.0,7,1.0,5,0,0,2,0,v52_quality_le88
pred_group_p2,p2_pred_high,49,17,32,1.0,1.0,1.0,1.0,44,0.8979591836734694,17,0,0,32,0,v52_quality_le88
pred_group_p2,p2_pred_low,59,44,15,1.0,1.0,1.0,1.0,52,0.8813559322033898,44,0,0,15,0,v52_quality_le88
