rule_name,signal,mode,threshold,eval_domain,n,flip_n,flip_rate,base_errors,final_errors,net_errors_reduced,rescued_n,hurt_n,rescued_fn,rescued_fp,hurt_to_fn,hurt_to_fp,base_n,base_accuracy,base_balanced_accuracy,base_f1,base_sensitivity_high,base_specificity_low,base_tn,base_fp,base_fn,base_tp,base_auc,final_n,final_accuracy,final_balanced_accuracy,final_f1,final_sensitivity_high,final_specificity_low,final_tn,final_fp,final_fn,final_tp,final_auc
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.849860,single:v143_pca_any,pred_low_only,0.8498599278616802,third_batch,306,9,0.029411764705882353,65,72,-7,1,8,1,0,0,8,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,306,0.7647058823529411,0.7426502613240418,0.6129032258064516,0.6951219512195121,0.7901785714285714,177,47,25,57,0.818270905923345
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.849860,single:v143_pca_any,pred_low_only,0.8498599278616802,strict_external,105,0,0.0,51,51,0,0,0,0,0,0,0,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.849860,single:v143_pca_any,pred_low_only,0.8498599278616802,all_three_domains,696,18,0.02586206896551724,177,191,-14,2,16,2,0,0,16,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,696,0.7255747126436781,0.7344548774126238,0.6863711001642037,0.774074074074074,0.6948356807511737,296,130,61,209,0.8353069031472786
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.850306,single:v143_pca_any,pred_low_only,0.8503059787539331,old_data,285,9,0.031578947368421054,61,68,-7,1,8,1,0,0,8,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,285,0.7614035087719299,0.7622635933806147,0.7777777777777778,0.8439716312056738,0.6805555555555556,98,46,22,119,0.8737687155240348
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.850306,single:v143_pca_any,pred_low_only,0.8503059787539331,third_batch,306,8,0.026143790849673203,65,71,-6,1,7,1,0,0,7,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,306,0.7679738562091504,0.7448824041811846,0.6162162162162163,0.6951219512195121,0.7946428571428571,178,46,25,57,0.818270905923345
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.850306,single:v143_pca_any,pred_low_only,0.8503059787539331,strict_external,105,0,0.0,51,51,0,0,0,0,0,0,0,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.850306,single:v143_pca_any,pred_low_only,0.8503059787539331,all_three_domains,696,17,0.02442528735632184,177,190,-13,2,15,2,0,0,15,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,696,0.7270114942528736,0.7356285863328116,0.6875,0.774074074074074,0.6971830985915493,297,129,61,209,0.8353069031472786
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.889460,single:v143_pca_any,pred_low_only,0.8894598356751687,old_data,285,5,0.017543859649122806,61,64,-3,1,4,1,0,0,4,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,285,0.775438596491228,0.7761524822695036,0.7880794701986755,0.8439716312056738,0.7083333333333334,102,42,22,119,0.8737687155240348
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.889460,single:v143_pca_any,pred_low_only,0.8894598356751687,third_batch,306,7,0.02287581699346405,65,70,-5,1,6,1,0,0,6,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,306,0.7712418300653595,0.7471145470383276,0.6195652173913043,0.6951219512195121,0.7991071428571429,179,45,25,57,0.818270905923345
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.889460,single:v143_pca_any,pred_low_only,0.8894598356751687,strict_external,105,0,0.0,51,51,0,0,0,0,0,0,0,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108
