score,recall_target,model,train_scope,pass_n,pass_frac,pass_acc,hardlike_n,hard_recall,hard_precision,base_acc,base_bacc,final_acc,final_bacc,final_auc,final_sens,final_spec,final_tn,final_fp,final_fn,final_tp,hard_base_acc,hard_final_acc,rescued,hurt,rescued_hard,hurt_hard,feature_set
review_score_learn_hard_core_rf,0.7,gb,all_train,120,0.42105263157894735,0.8333333333333334,165,0.6923076923076923,0.2727272727272727,0.7684210526315789,0.7684692671394799,0.7789473684210526,0.7788120567375887,0.8278910559495667,0.7659574468085106,0.7916666666666666,114,30,33,108,0.27692307692307694,0.2923076923076923,11,8,5,4,raw_plus_review_gross
review_score_learn_hard_core_extra,0.7,gb,all_train,135,0.47368421052631576,0.8518518518518519,150,0.6923076923076923,0.3,0.7684210526315789,0.7684692671394799,0.7789473684210526,0.7787381796690307,0.8435037431048069,0.7588652482269503,0.7986111111111112,115,29,34,107,0.27692307692307694,0.3076923076923077,12,9,6,4,raw_plus_review_gross
review_score_upper_low_conf,0.7,gb,all_train,142,0.4982456140350877,0.852112676056338,143,0.7076923076923077,0.32167832167832167,0.7684210526315789,0.7684692671394799,0.7789473684210526,0.7787381796690307,0.8414351851851852,0.7588652482269503,0.7986111111111112,115,29,34,107,0.27692307692307694,0.3384615384615385,12,9,8,4,raw_plus_review_gross
review_score_hybrid_max_allrange_fn,0.6,gb,flag_train,159,0.5578947368421052,0.8616352201257862,126,0.6153846153846154,0.31746031746031744,0.7684210526315789,0.7684692671394799,0.7789473684210526,0.7785165484633569,0.8376674546887313,0.7375886524822695,0.8194444444444444,118,26,37,104,0.27692307692307694,0.4,18,15,13,5,raw_plus_review_gross
review_score_learn_hard_core_rf,0.6,gb,all_train,154,0.5403508771929825,0.8116883116883117,131,0.6,0.29770992366412213,0.7684210526315789,0.7684692671394799,0.775438596491228,0.7754137115839244,0.8228920409771474,0.7730496453900709,0.7777777777777778,112,32,32,109,0.27692307692307694,0.27692307692307694,9,7,4,4,raw_plus_review_gross
review_score_upper_low_conf,0.6,logreg,all_train,162,0.5684210526315789,0.8271604938271605,123,0.6461538461538462,0.34146341463414637,0.7684210526315789,0.7684692671394799,0.775438596491228,0.7753398345153664,0.83274231678487,0.7659574468085106,0.7847222222222222,113,31,33,108,0.27692307692307694,0.4153846153846154,16,14,12,3,raw_plus_review_gross
review_score_learn_hard_core_extra,0.9,gb,flag_train,30,0.10526315789473684,0.8333333333333334,255,0.9230769230769231,0.23529411764705882,0.7684210526315789,0.7684692671394799,0.775438596491228,0.7753398345153664,0.8145685579196217,0.7659574468085106,0.7847222222222222,113,31,33,108,0.27692307692307694,0.3384615384615385,12,10,7,3,raw_plus_review_gross
review_score_learn_hard_core_extra,0.8,gb,flag_train,79,0.2771929824561403,0.8481012658227848,206,0.8153846153846154,0.25728155339805825,0.7684210526315789,0.7684692671394799,0.775438596491228,0.7751920803782506,0.8191489361702129,0.75177304964539,0.7986111111111112,115,29,35,106,0.27692307692307694,0.4307692307692308,14,12,11,1,raw_plus_review_gross
review_score_learn_hard_core_rf,0.9,gb,flag_train,52,0.1824561403508772,0.8846153846153846,233,0.8923076923076924,0.24892703862660945,0.7684210526315789,0.7684692671394799,0.775438596491228,0.7750443262411347,0.826807525610717,0.7375886524822695,0.8125,117,27,37,104,0.27692307692307694,0.3384615384615385,14,12,7,3,raw_plus_review_gross
review_score_learn_hard_core_rf,0.7,gb,flag_train,120,0.42105263157894735,0.8333333333333334,165,0.6923076923076923,0.2727272727272727,0.7684210526315789,0.7684692671394799,0.775438596491228,0.7750443262411347,0.8225719070133964,0.7375886524822695,0.8125,117,27,37,104,0.27692307692307694,0.3384615384615385,15,13,6,2,raw_plus_review_gross
review_score_learn_hard_core_extra,0.7,logreg,all_train,135,0.47368421052631576,0.8518518518518519,150,0.6923076923076923,0.3,0.7684210526315789,0.7684692671394799,0.7719298245614035,0.77201536643026,0.8368301812450748,0.7801418439716312,0.7638888888888888,110,34,31,110,0.27692307692307694,0.4,18,17,12,4,raw_plus_review_gross
