model,objective,threshold,split,auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp
logistic_domain_weighted,bacc,0.6149999999999998,development_oof:old,0.9386820330969267,0.9192982456140351,0.9191784869976359,0.9078014184397163,0.9305555555555556,0.927536231884058,0.9175627240143368,134,10,13,128
logistic_domain_weighted,bacc,0.6149999999999998,development_oof:third,0.7908863240418118,0.8235294117647058,0.7480400696864111,0.5853658536585366,0.9107142857142857,0.7058823529411765,0.64,204,20,34,48
logistic_domain_weighted,domain_worst_bacc,0.36999999999999983,development_oof,0.8879167479040748,0.8443316412859561,0.8458459251316046,0.852017937219731,0.8396739130434783,0.7630522088353414,0.8050847457627119,309,59,33,190
logistic_domain_weighted,domain_worst_bacc,0.36999999999999983,external_strict_frozen,0.5894663411231251,0.6018518518518519,0.5987094523892571,0.574468085106383,0.6229508196721312,0.54,0.5567010309278351,38,23,20,27
logistic_domain_weighted,domain_worst_bacc,0.36999999999999983,development_oof:old,0.9386820330969267,0.9017543859649123,0.9020390070921986,0.9290780141843972,0.875,0.8791946308724832,0.9034482758620689,126,18,10,131
logistic_domain_weighted,domain_worst_bacc,0.36999999999999983,development_oof:third,0.7908863240418118,0.7908496732026143,0.7682382404181185,0.7195121951219512,0.8169642857142857,0.59,0.6483516483516483,183,41,23,59
logistic_domain_weighted,sensitivity90,0.2149999999999999,development_oof,0.8879167479040748,0.7157360406091371,0.752303080522519,0.9013452914798207,0.6032608695652174,0.579250720461095,0.7052631578947369,222,146,22,201
logistic_domain_weighted,sensitivity90,0.2149999999999999,external_strict_frozen,0.5894663411231251,0.5925925925925926,0.5953958841995117,0.6170212765957447,0.5737704918032787,0.5272727272727272,0.5686274509803921,35,26,18,29
logistic_domain_weighted,sensitivity90,0.2149999999999999,development_oof:old,0.9386820330969267,0.7649122807017544,0.7669178486997636,0.9574468085106383,0.5763888888888888,0.6887755102040817,0.8011869436201781,83,61,6,135
logistic_domain_weighted,sensitivity90,0.2149999999999999,development_oof:third,0.7908863240418118,0.6699346405228758,0.712706881533101,0.8048780487804879,0.6205357142857143,0.4370860927152318,0.5665236051502146,139,85,16,66
extra_trees_domain_weighted,bacc,0.5549999999999998,development_oof,0.8964344901540261,0.871404399323181,0.8578670306102554,0.8026905829596412,0.9130434782608695,0.8483412322274881,0.824884792626728,336,32,44,179
extra_trees_domain_weighted,bacc,0.5549999999999998,external_strict_frozen,0.6184164632019533,0.6296296296296297,0.6110917335193582,0.46808510638297873,0.7540983606557377,0.5945945945945946,0.5238095238095238,46,15,25,22
extra_trees_domain_weighted,bacc,0.5549999999999998,development_oof:old,0.9389775413711584,0.9228070175438596,0.9227245862884161,0.9148936170212766,0.9305555555555556,0.9280575539568345,0.9214285714285715,134,10,12,129
extra_trees_domain_weighted,bacc,0.5549999999999998,development_oof:third,0.8137521777003484,0.8235294117647058,0.755770905923345,0.6097560975609756,0.9017857142857143,0.6944444444444444,0.6493506493506495,202,22,32,50
