accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,config,use_text,use_numeric,ngram_range,min_df,objective
0.6771929824561403,0.6761968085106382,0.7241922773837668,0.640625,0.5815602836879432,0.7708333333333334,111,33,59,82,gross_text_only_ng25_mindf2__balanced_accuracy,True,False,"(2, 5)",2,balanced_accuracy
0.6771929824561403,0.6761968085106382,0.7241922773837668,0.640625,0.5815602836879432,0.7708333333333334,111,33,59,82,gross_text_only_ng25_mindf2__accuracy,True,False,"(2, 5)",2,accuracy
0.6701754385964912,0.6689568557919622,0.7069542947202522,0.624,0.5531914893617021,0.7847222222222222,113,31,63,78,gross_text_only_ng35_mindf2__balanced_accuracy,True,False,"(3, 5)",2,balanced_accuracy
0.6701754385964912,0.6689568557919622,0.7069542947202522,0.624,0.5531914893617021,0.7847222222222222,113,31,63,78,gross_text_only_ng35_mindf2__accuracy,True,False,"(3, 5)",2,accuracy
0.6666666666666666,0.6662234042553192,0.7136524822695035,0.6494464944649446,0.624113475177305,0.7083333333333334,102,42,53,88,gross_text_only_ng24_mindf2__balanced_accuracy,True,False,"(2, 4)",2,balanced_accuracy
0.6631578947368421,0.6625295508274232,0.7130614657210402,0.6390977443609023,0.6028368794326241,0.7222222222222222,104,40,56,85,gross_text_only_ng24_mindf2__accuracy,True,False,"(2, 4)",2,accuracy
0.656140350877193,0.6569148936170213,0.7030141843971631,0.6776315789473685,0.7304964539007093,0.5833333333333334,84,60,38,103,gross_text_only_ng25_mindf2__f1,True,False,"(2, 5)",2,f1
0.6421052631578947,0.6430260047281324,0.7069542947202523,0.6688311688311688,0.7304964539007093,0.5555555555555556,80,64,38,103,gross_text_only_ng24_mindf2__f1,True,False,"(2, 4)",2,f1
0.6350877192982456,0.6367464539007093,0.6932624113475179,0.6829268292682927,0.7943262411347518,0.4791666666666667,69,75,29,112,gross_text_only_ng35_mindf2__f1,True,False,"(3, 5)",2,f1
0.6350877192982456,0.6365986997635934,0.7147360126083531,0.6790123456790124,0.7801418439716312,0.4930555555555556,71,73,31,110,gross_text_only_ng35_mindf1__f1,True,False,"(3, 5)",1,f1
0.5789473684210527,0.5815602836879432,0.7350275807722616,0.6610169491525424,0.8297872340425532,0.3333333333333333,48,96,24,117,gross_text_only_ng25_mindf1__f1,True,False,"(2, 5)",1,f1
