ranker,split,budget,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,review_n,review_rate,captured_p2_wrong_n,captured_p2_wrong_rate,missed_p2_wrong_n,review_on_p2_correct_n,review_precision_vs_p2_error,random_accuracy_mean,random_accuracy_sd,random_balanced_accuracy_mean,random_balanced_accuracy_sd,random_captured_p2_wrong_rate_mean,random_captured_p2_wrong_rate_sd,random_review_precision_vs_p2_error_mean,random_review_precision_vs_p2_error_sd,random_fn_mean,random_fn_sd,random_fp_mean,random_fp_sd
learned_hard_gate,external,0.625,0.9351851851851852,0.930415068015347,0.8936170212765957,0.9672131147540983,0.9545454545454546,0.9230769230769231,59.0,2.0,5.0,42.0,68.0,0.6296296296296297,25.0,0.78125,7.0,43.0,0.36764705882352944,,,,,,,,,,,,
learned_hard_gate,development,0.65,0.9763113367174281,0.9721436927276272,0.9551569506726457,0.9891304347826086,0.9815668202764977,0.9681818181818181,364.0,4.0,10.0,213.0,384.0,0.649746192893401,77.0,0.8461538461538461,14.0,307.0,0.20052083333333334,,,,,,,,,,,,
learned_hard_gate,external,0.65,0.9351851851851852,0.930415068015347,0.8936170212765957,0.9672131147540983,0.9545454545454546,0.9230769230769231,59.0,2.0,5.0,42.0,70.0,0.6481481481481481,25.0,0.78125,7.0,45.0,0.35714285714285715,,,,,,,,,,,,
learned_hard_gate,development,0.675,0.9796954314720813,0.974861084031975,0.9551569506726457,0.9945652173913043,0.9906976744186047,0.9726027397260273,366.0,2.0,10.0,213.0,399.0,0.6751269035532995,79.0,0.8681318681318682,12.0,320.0,0.19799498746867167,,,,,,,,,,,,
learned_hard_gate,external,0.675,0.9444444444444444,0.9410533658876874,0.9148936170212766,0.9672131147540983,0.9555555555555556,0.9347826086956522,59.0,2.0,4.0,43.0,73.0,0.6759259259259259,26.0,0.8125,6.0,47.0,0.3561643835616438,,,,,,,,,,,,
learned_hard_gate,development,0.7,0.9813874788494078,0.976219779684149,0.9551569506726457,0.9972826086956522,0.9953271028037384,0.9748283752860412,367.0,1.0,10.0,213.0,414.0,0.700507614213198,80.0,0.8791208791208791,11.0,334.0,0.1932367149758454,,,,,,,,,,,,
learned_hard_gate,external,0.7,0.9444444444444444,0.9410533658876874,0.9148936170212766,0.9672131147540983,0.9555555555555556,0.9347826086956522,59.0,2.0,4.0,43.0,76.0,0.7037037037037037,26.0,0.8125,6.0,50.0,0.34210526315789475,,,,,,,,,,,,
learned_hard_gate,development,0.725,0.9813874788494078,0.976219779684149,0.9551569506726457,0.9972826086956522,0.9953271028037384,0.9748283752860412,367.0,1.0,10.0,213.0,428.0,0.7241962774957699,80.0,0.8791208791208791,11.0,348.0,0.18691588785046728,,,,,,,,,,,,
learned_hard_gate,external,0.725,0.9537037037037037,0.9516916637600279,0.9361702127659575,0.9672131147540983,0.9565217391304348,0.9462365591397849,59.0,2.0,3.0,44.0,78.0,0.7222222222222222,27.0,0.84375,5.0,51.0,0.34615384615384615,,,,,,,,,,,,
learned_hard_gate,development,0.75,0.9864636209813875,0.9820627802690582,0.9641255605381166,1.0,1.0,0.9817351598173517,368.0,0.0,8.0,215.0,443.0,0.7495769881556683,83.0,0.9120879120879121,8.0,360.0,0.1873589164785553,,,,,,,,,,,,
learned_hard_gate,external,0.75,0.9629629629629629,0.9598883850715033,0.9361702127659575,0.9836065573770492,0.9777777777777777,0.9565217391304347,60.0,1.0,3.0,44.0,81.0,0.75,28.0,0.875,4.0,53.0,0.345679012345679,,,,,,,,,,,,
learned_hard_gate,development,0.775,0.9915397631133672,0.9887892376681615,0.9775784753363229,1.0,1.0,0.9886621315192743,368.0,0.0,5.0,218.0,458.0,0.7749576988155669,86.0,0.945054945054945,5.0,372.0,0.18777292576419213,,,,,,,,,,,,
learned_hard_gate,external,0.775,0.9722222222222222,0.9705266829438437,0.9574468085106383,0.9836065573770492,0.9782608695652174,0.967741935483871,60.0,1.0,2.0,45.0,84.0,0.7777777777777778,29.0,0.90625,3.0,55.0,0.34523809523809523,,,,,,,,,,,,
learned_hard_gate,development,0.8,0.9949238578680203,0.9932735426008968,0.9865470852017937,1.0,1.0,0.9932279909706546,368.0,0.0,3.0,220.0,473.0,0.8003384094754653,88.0,0.967032967032967,3.0,385.0,0.18604651162790697,,,,,,,,,,,,
learned_hard_gate,external,0.8,0.9722222222222222,0.9705266829438437,0.9574468085106383,0.9836065573770492,0.9782608695652174,0.967741935483871,60.0,1.0,2.0,45.0,86.0,0.7962962962962963,29.0,0.90625,3.0,57.0,0.3372093023255814,,,,,,,,,,,,
low_main_margin,development,0.0,0.8460236886632826,0.8445542503411971,0.8385650224215246,0.8505434782608695,0.7727272727272727,0.8043010752688172,313.0,55.0,36.0,187.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,,,,,,,,,,,,
low_main_margin,external,0.0,0.7037037037037037,0.7010812696198117,0.6808510638297872,0.7213114754098361,0.6530612244897959,0.6666666666666666,44.0,17.0,15.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,,,,,,,,,,,,
low_main_margin,development,0.025,0.8595600676818951,0.8607245564437511,0.8654708520179372,0.8559782608695652,0.7845528455284553,0.8230277185501066,315.0,53.0,30.0,193.0,15.0,0.025380710659898477,8.0,0.08791208791208792,83.0,7.0,0.5333333333333333,,,,,,,,,,,,
low_main_margin,external,0.025,0.7037037037037037,0.7010812696198117,0.6808510638297872,0.7213114754098361,0.6530612244897959,0.6666666666666666,44.0,17.0,15.0,32.0,3.0,0.027777777777777776,0.0,0.0,32.0,3.0,0.0,,,,,,,,,,,,
