accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,model,pca_components,feature_set
0.8280701754385965,0.8277925531914894,0.8154550827423167,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d2_l10,4,corrected_plus_embedding
0.8280701754385965,0.8277186761229315,0.8216115051221434,0.8205128205128205,0.7943262411347518,0.8611111111111112,124,20,29,112,logreg_c01,4,rawtop_corrected_plus_embedding
0.8280701754385965,0.8277186761229315,0.8193951930654059,0.8205128205128205,0.7943262411347518,0.8611111111111112,124,20,29,112,logreg_c003,16,corrected_plus_embedding
0.8280701754385965,0.8277186761229315,0.8139775413711583,0.8205128205128205,0.7943262411347518,0.8611111111111112,124,20,29,112,logreg_c01,8,rawtop_corrected_plus_embedding
0.8245614035087719,0.824394208037825,0.8402531520882585,0.8201438848920863,0.8085106382978723,0.8402777777777778,121,23,27,114,gb_d1_lr05,16,rawtop_corrected_plus_embedding
0.8245614035087719,0.824394208037825,0.8393666272655634,0.8201438848920863,0.8085106382978723,0.8402777777777778,121,23,27,114,gb_d1_lr05,8,rawtop_corrected_plus_embedding
0.8245614035087719,0.824394208037825,0.8138790386130812,0.8201438848920863,0.8085106382978723,0.8402777777777778,121,23,27,114,gb_d1_lr05,16,corrected_plus_embedding
0.8245614035087719,0.824394208037825,0.8028713553979512,0.8201438848920863,0.8085106382978723,0.8402777777777778,121,23,27,114,gb_d1_lr05,8,corrected_plus_embedding
0.8245614035087719,0.8243203309692672,0.8376674546887314,0.8188405797101449,0.8014184397163121,0.8472222222222222,122,22,28,113,logreg_c01,32,rawtop_corrected_plus_embedding
0.8245614035087719,0.8243203309692672,0.8326930654058314,0.8188405797101449,0.8014184397163121,0.8472222222222222,122,22,28,113,hgb_leaf3,32,corrected_plus_embedding
0.8245614035087719,0.8242464539007093,0.8252561071710007,0.8175182481751825,0.7943262411347518,0.8541666666666666,123,21,29,112,logreg_c003,16,rawtop_corrected_plus_embedding
0.8245614035087719,0.8242464539007093,0.8223995271867612,0.8175182481751825,0.7943262411347518,0.8541666666666666,123,21,29,112,extra_d3_l8,16,rawtop_corrected_plus_embedding
0.8245614035087719,0.8242464539007093,0.8220547675334909,0.8175182481751825,0.7943262411347518,0.8541666666666666,123,21,29,112,extra_d3_l8,64,rawtop_corrected_plus_embedding
0.8245614035087719,0.8242464539007093,0.8203309692671394,0.8175182481751825,0.7943262411347518,0.8541666666666666,123,21,29,112,logreg_c01,16,rawtop_corrected_plus_embedding
0.8245614035087719,0.8242464539007093,0.8198384554767533,0.8175182481751825,0.7943262411347518,0.8541666666666666,123,21,29,112,extra_d2_l10,16,rawtop_corrected_plus_embedding
0.8245614035087719,0.8242464539007093,0.8196907013396375,0.8175182481751825,0.7943262411347518,0.8541666666666666,123,21,29,112,extra_d2_l10,64,rawtop_corrected_plus_embedding
0.8245614035087719,0.8242464539007093,0.8149625689519305,0.8175182481751825,0.7943262411347518,0.8541666666666666,123,21,29,112,logreg_c03,8,rawtop_corrected_plus_embedding
