feature_set,addon_rate,dev_accuracy,dev_balanced_accuracy,dev_sensitivity,dev_specificity,dev_precision,dev_f1,dev_tn,dev_fp,dev_fn,dev_tp,dev_review_n,dev_review_rate,dev_captured_wrong_n,dev_captured_fn_n,dev_captured_fp_n,dev_remaining_error_n,external_accuracy,external_balanced_accuracy,external_sensitivity,external_specificity,external_precision,external_f1,external_tn,external_fp,external_fn,external_tp,external_review_n,external_review_rate,external_captured_wrong_n,external_captured_fn_n,external_captured_fp_n,external_remaining_error_n,feature_set_n_numeric,feature_set_n_categorical,dev_pred_high_n,dev_false_positive_target_n,external_pred_high_n,external_false_positive_target_n,dev_auc,external_auc
model_prob_only,0.1,0.9847715736040609,0.986888282316241,0.9955156950672646,0.9782608695652174,0.9652173913043478,0.9801324503311257,360,8,1,222,443,0.7495769881556683,82,35,47,9,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,81,0.75,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_only,0.11,0.9864636209813875,0.9882469779684149,0.9955156950672646,0.9809782608695652,0.9694323144104804,0.9823008849557523,361,7,1,222,449,0.7597292724196277,83,35,48,8,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,82,0.7592592592592593,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_only,0.12,0.9898477157360406,0.9909643692727628,0.9955156950672646,0.9864130434782609,0.9779735682819384,0.9866666666666667,363,5,1,222,455,0.7698815566835872,85,35,50,6,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,83,0.7685185185185185,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_only,0.13,0.9915397631133672,0.9923230649249366,0.9955156950672646,0.9891304347826086,0.9823008849557522,0.9888641425389755,364,4,1,222,461,0.7800338409475466,86,35,51,5,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,84,0.7777777777777778,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_plus_view,0.0,0.9712351945854484,0.9760187170988497,0.9955156950672646,0.9565217391304348,0.9327731092436975,0.9631236442516269,352,16,1,222,384,0.649746192893401,74,35,39,17,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,70,0.6481481481481481,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_plus_view,0.01,0.9729272419627749,0.9773774127510235,0.9955156950672646,0.9592391304347826,0.9367088607594937,0.9652173913043479,353,15,1,222,390,0.6598984771573604,75,35,40,16,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,71,0.6574074074074074,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_plus_view,0.02,0.9746192893401016,0.9787361084031976,0.9955156950672646,0.9619565217391305,0.940677966101695,0.9673202614379086,354,14,1,222,396,0.6700507614213198,76,35,41,15,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,72,0.6666666666666666,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_plus_view,0.03,0.9763113367174281,0.9800948040553714,0.9955156950672646,0.9646739130434783,0.9446808510638298,0.9694323144104804,355,13,1,222,402,0.6802030456852792,77,35,42,14,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,73,0.6759259259259259,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_plus_view,0.04,0.9763113367174281,0.9800948040553714,0.9955156950672646,0.9646739130434783,0.9446808510638298,0.9694323144104804,355,13,1,222,408,0.6903553299492385,77,35,42,14,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,74,0.6851851851851852,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_plus_view,0.05,0.9796954314720813,0.9828121953597193,0.9955156950672646,0.970108695652174,0.9527896995708155,0.9736842105263159,357,11,1,222,414,0.700507614213198,79,35,44,12,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,75,0.6944444444444444,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_plus_view,0.06,0.9813874788494078,0.9841708910118931,0.9955156950672646,0.9728260869565217,0.9568965517241379,0.9758241758241758,358,10,1,222,419,0.7089678510998308,80,35,45,11,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,76,0.7037037037037037,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_plus_view,0.07,0.9813874788494078,0.9841708910118931,0.9955156950672646,0.9728260869565217,0.9568965517241379,0.9758241758241758,358,10,1,222,425,0.7191201353637902,80,35,45,11,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,78,0.7222222222222222,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_plus_view,0.08,0.9813874788494078,0.9841708910118931,0.9955156950672646,0.9728260869565217,0.9568965517241379,0.9758241758241758,358,10,1,222,431,0.7292724196277496,80,35,45,11,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,79,0.7314814814814815,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_plus_view,0.09,0.9830795262267343,0.985529586664067,0.9955156950672646,0.9755434782608695,0.961038961038961,0.9779735682819384,359,9,1,222,437,0.739424703891709,81,35,46,10,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,80,0.7407407407407407,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_plus_view,0.1,0.9847715736040609,0.986888282316241,0.9955156950672646,0.9782608695652174,0.9652173913043478,0.9801324503311257,360,8,1,222,443,0.7495769881556683,82,35,47,9,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,81,0.75,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_plus_view,0.11,0.9864636209813875,0.9882469779684149,0.9955156950672646,0.9809782608695652,0.9694323144104804,0.9823008849557523,361,7,1,222,449,0.7597292724196277,83,35,48,8,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,82,0.7592592592592593,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_plus_view,0.12,0.9898477157360406,0.9909643692727628,0.9955156950672646,0.9864130434782609,0.9779735682819384,0.9866666666666667,363,5,1,222,455,0.7698815566835872,85,35,50,6,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,83,0.7685185185185185,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_plus_view,0.13,0.9915397631133672,0.9923230649249366,0.9955156950672646,0.9891304347826086,0.9823008849557522,0.9888641425389755,364,4,1,222,461,0.7800338409475466,86,35,51,5,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,84,0.7777777777777778,27,14,13,5,28,0,242,55,49,17,0.8029168692270298,0.38786764705882354
model_prob_image,0.0,0.9712351945854484,0.9760187170988497,0.9955156950672646,0.9565217391304348,0.9327731092436975,0.9631236442516269,352,16,1,222,384,0.649746192893401,74,35,39,17,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,70,0.6481481481481481,27,14,13,5,33,0,242,55,49,17,0.785804569761789,0.7095588235294117
model_prob_image,0.01,0.9729272419627749,0.9773774127510235,0.9955156950672646,0.9592391304347826,0.9367088607594937,0.9652173913043479,353,15,1,222,390,0.6598984771573604,75,35,40,16,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,71,0.6574074074074074,27,14,13,5,33,0,242,55,49,17,0.785804569761789,0.7095588235294117
model_prob_image,0.02,0.9746192893401016,0.9787361084031976,0.9955156950672646,0.9619565217391305,0.940677966101695,0.9673202614379086,354,14,1,222,396,0.6700507614213198,76,35,41,15,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,72,0.6666666666666666,27,14,13,5,33,0,242,55,49,17,0.785804569761789,0.7095588235294117
model_prob_image,0.03,0.9746192893401016,0.9787361084031976,0.9955156950672646,0.9619565217391305,0.940677966101695,0.9673202614379086,354,14,1,222,402,0.6802030456852792,76,35,41,15,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,73,0.6759259259259259,27,14,13,5,33,0,242,55,49,17,0.785804569761789,0.7095588235294117
model_prob_image,0.04,0.9746192893401016,0.9787361084031976,0.9955156950672646,0.9619565217391305,0.940677966101695,0.9673202614379086,354,14,1,222,408,0.6903553299492385,76,35,41,15,0.9629629629629629,0.9647715381932334,0.9787234042553191,0.9508196721311475,0.9387755102040817,0.9583333333333333,58,3,1,46,74,0.6851851851851852,28,14,14,4,33,0,242,55,49,17,0.785804569761789,0.7095588235294117
model_prob_image,0.05,0.9763113367174281,0.9800948040553714,0.9955156950672646,0.9646739130434783,0.9446808510638298,0.9694323144104804,355,13,1,222,414,0.700507614213198,77,35,42,14,0.9629629629629629,0.9647715381932334,0.9787234042553191,0.9508196721311475,0.9387755102040817,0.9583333333333333,58,3,1,46,75,0.6944444444444444,28,14,14,4,33,0,242,55,49,17,0.785804569761789,0.7095588235294117
model_prob_image,0.06,0.9796954314720813,0.9828121953597193,0.9955156950672646,0.970108695652174,0.9527896995708155,0.9736842105263159,357,11,1,222,419,0.7089678510998308,79,35,44,12,0.9629629629629629,0.9647715381932334,0.9787234042553191,0.9508196721311475,0.9387755102040817,0.9583333333333333,58,3,1,46,76,0.7037037037037037,28,14,14,4,33,0,242,55,49,17,0.785804569761789,0.7095588235294117
model_prob_image,0.07,0.9813874788494078,0.9841708910118931,0.9955156950672646,0.9728260869565217,0.9568965517241379,0.9758241758241758,358,10,1,222,425,0.7191201353637902,80,35,45,11,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,78,0.7222222222222222,29,14,15,3,33,0,242,55,49,17,0.785804569761789,0.7095588235294117
model_prob_image,0.08,0.9813874788494078,0.9841708910118931,0.9955156950672646,0.9728260869565217,0.9568965517241379,0.9758241758241758,358,10,1,222,431,0.7292724196277496,80,35,45,11,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,79,0.7314814814814815,29,14,15,3,33,0,242,55,49,17,0.785804569761789,0.7095588235294117
model_prob_image,0.09,0.9830795262267343,0.985529586664067,0.9955156950672646,0.9755434782608695,0.961038961038961,0.9779735682819384,359,9,1,222,437,0.739424703891709,81,35,46,10,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,80,0.7407407407407407,29,14,15,3,33,0,242,55,49,17,0.785804569761789,0.7095588235294117
model_prob_image,0.1,0.9830795262267343,0.985529586664067,0.9955156950672646,0.9755434782608695,0.961038961038961,0.9779735682819384,359,9,1,222,443,0.7495769881556683,81,35,46,10,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,81,0.75,29,14,15,3,33,0,242,55,49,17,0.785804569761789,0.7095588235294117
model_prob_image,0.11,0.9847715736040609,0.986888282316241,0.9955156950672646,0.9782608695652174,0.9652173913043478,0.9801324503311257,360,8,1,222,449,0.7597292724196277,82,35,47,9,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,82,0.7592592592592593,29,14,15,3,33,0,242,55,49,17,0.785804569761789,0.7095588235294117
model_prob_image,0.12,0.988155668358714,0.9896056736205888,0.9955156950672646,0.9836956521739131,0.9736842105263158,0.9844789356984479,362,6,1,222,455,0.7698815566835872,84,35,49,7,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,83,0.7685185185185185,29,14,15,3,33,0,242,55,49,17,0.785804569761789,0.7095588235294117
model_prob_image,0.13,0.9898477157360406,0.9909643692727628,0.9955156950672646,0.9864130434782609,0.9779735682819384,0.9866666666666667,363,5,1,222,461,0.7800338409475466,85,35,50,6,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,84,0.7777777777777778,29,14,15,3,33,0,242,55,49,17,0.785804569761789,0.7095588235294117
deployable_no_gross,0.0,0.9712351945854484,0.9760187170988497,0.9955156950672646,0.9565217391304348,0.9327731092436975,0.9631236442516269,352,16,1,222,384,0.649746192893401,74,35,39,17,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,70,0.6481481481481481,27,14,13,5,36,0,242,55,49,17,0.786096256684492,0.7095588235294117
deployable_no_gross,0.01,0.9729272419627749,0.9773774127510235,0.9955156950672646,0.9592391304347826,0.9367088607594937,0.9652173913043479,353,15,1,222,390,0.6598984771573604,75,35,40,16,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,71,0.6574074074074074,27,14,13,5,36,0,242,55,49,17,0.786096256684492,0.7095588235294117
deployable_no_gross,0.02,0.9729272419627749,0.9773774127510235,0.9955156950672646,0.9592391304347826,0.9367088607594937,0.9652173913043479,353,15,1,222,396,0.6700507614213198,75,35,40,16,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,72,0.6666666666666666,27,14,13,5,36,0,242,55,49,17,0.786096256684492,0.7095588235294117
deployable_no_gross,0.03,0.9729272419627749,0.9773774127510235,0.9955156950672646,0.9592391304347826,0.9367088607594937,0.9652173913043479,353,15,1,222,402,0.6802030456852792,75,35,40,16,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,73,0.6759259259259259,27,14,13,5,36,0,242,55,49,17,0.786096256684492,0.7095588235294117
deployable_no_gross,0.04,0.9746192893401016,0.9787361084031976,0.9955156950672646,0.9619565217391305,0.940677966101695,0.9673202614379086,354,14,1,222,408,0.6903553299492385,76,35,41,15,0.9629629629629629,0.9647715381932334,0.9787234042553191,0.9508196721311475,0.9387755102040817,0.9583333333333333,58,3,1,46,74,0.6851851851851852,28,14,14,4,36,0,242,55,49,17,0.786096256684492,0.7095588235294117
deployable_no_gross,0.05,0.9746192893401016,0.9787361084031976,0.9955156950672646,0.9619565217391305,0.940677966101695,0.9673202614379086,354,14,1,222,414,0.700507614213198,76,35,41,15,0.9629629629629629,0.9647715381932334,0.9787234042553191,0.9508196721311475,0.9387755102040817,0.9583333333333333,58,3,1,46,75,0.6944444444444444,28,14,14,4,36,0,242,55,49,17,0.786096256684492,0.7095588235294117
deployable_no_gross,0.06,0.9796954314720813,0.9828121953597193,0.9955156950672646,0.970108695652174,0.9527896995708155,0.9736842105263159,357,11,1,222,419,0.7089678510998308,79,35,44,12,0.9629629629629629,0.9647715381932334,0.9787234042553191,0.9508196721311475,0.9387755102040817,0.9583333333333333,58,3,1,46,76,0.7037037037037037,28,14,14,4,36,0,242,55,49,17,0.786096256684492,0.7095588235294117
deployable_no_gross,0.07,0.9813874788494078,0.9841708910118931,0.9955156950672646,0.9728260869565217,0.9568965517241379,0.9758241758241758,358,10,1,222,425,0.7191201353637902,80,35,45,11,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,78,0.7222222222222222,29,14,15,3,36,0,242,55,49,17,0.786096256684492,0.7095588235294117
deployable_no_gross,0.08,0.9830795262267343,0.985529586664067,0.9955156950672646,0.9755434782608695,0.961038961038961,0.9779735682819384,359,9,1,222,431,0.7292724196277496,81,35,46,10,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,79,0.7314814814814815,29,14,15,3,36,0,242,55,49,17,0.786096256684492,0.7095588235294117
deployable_no_gross,0.09,0.9830795262267343,0.985529586664067,0.9955156950672646,0.9755434782608695,0.961038961038961,0.9779735682819384,359,9,1,222,437,0.739424703891709,81,35,46,10,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,80,0.7407407407407407,29,14,15,3,36,0,242,55,49,17,0.786096256684492,0.7095588235294117
deployable_no_gross,0.1,0.9830795262267343,0.985529586664067,0.9955156950672646,0.9755434782608695,0.961038961038961,0.9779735682819384,359,9,1,222,443,0.7495769881556683,81,35,46,10,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,81,0.75,29,14,15,3,36,0,242,55,49,17,0.786096256684492,0.7095588235294117
deployable_no_gross,0.11,0.9864636209813875,0.9882469779684149,0.9955156950672646,0.9809782608695652,0.9694323144104804,0.9823008849557523,361,7,1,222,449,0.7597292724196277,83,35,48,8,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,82,0.7592592592592593,29,14,15,3,36,0,242,55,49,17,0.786096256684492,0.7095588235294117
deployable_no_gross,0.12,0.988155668358714,0.9896056736205888,0.9955156950672646,0.9836956521739131,0.9736842105263158,0.9844789356984479,362,6,1,222,455,0.7698815566835872,84,35,49,7,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,83,0.7685185185185185,29,14,15,3,36,0,242,55,49,17,0.786096256684492,0.7095588235294117
deployable_no_gross,0.13,0.9915397631133672,0.9923230649249366,0.9955156950672646,0.9891304347826086,0.9823008849557522,0.9888641425389755,364,4,1,222,461,0.7800338409475466,86,35,51,5,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,84,0.7777777777777778,29,14,15,3,36,0,242,55,49,17,0.786096256684492,0.7095588235294117
all_with_gross_concepts,0.0,0.9712351945854484,0.9760187170988497,0.9955156950672646,0.9565217391304348,0.9327731092436975,0.9631236442516269,352,16,1,222,384,0.649746192893401,74,35,39,17,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,70,0.6481481481481481,27,14,13,5,45,0,242,55,49,17,0.7709285367039378,0.7095588235294117
all_with_gross_concepts,0.01,0.9712351945854484,0.9760187170988497,0.9955156950672646,0.9565217391304348,0.9327731092436975,0.9631236442516269,352,16,1,222,390,0.6598984771573604,74,35,39,17,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,71,0.6574074074074074,27,14,13,5,45,0,242,55,49,17,0.7709285367039378,0.7095588235294117
all_with_gross_concepts,0.02,0.9729272419627749,0.9773774127510235,0.9955156950672646,0.9592391304347826,0.9367088607594937,0.9652173913043479,353,15,1,222,396,0.6700507614213198,75,35,40,16,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,72,0.6666666666666666,27,14,13,5,45,0,242,55,49,17,0.7709285367039378,0.7095588235294117
all_with_gross_concepts,0.03,0.9763113367174281,0.9800948040553714,0.9955156950672646,0.9646739130434783,0.9446808510638298,0.9694323144104804,355,13,1,222,402,0.6802030456852792,77,35,42,14,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,73,0.6759259259259259,27,14,13,5,45,0,242,55,49,17,0.7709285367039378,0.7095588235294117
all_with_gross_concepts,0.04,0.9780033840947546,0.9814534997075453,0.9955156950672646,0.967391304347826,0.9487179487179487,0.9715536105032823,356,12,1,222,408,0.6903553299492385,78,35,43,13,0.9629629629629629,0.9647715381932334,0.9787234042553191,0.9508196721311475,0.9387755102040817,0.9583333333333333,58,3,1,46,74,0.6851851851851852,28,14,14,4,45,0,242,55,49,17,0.7709285367039378,0.7095588235294117
all_with_gross_concepts,0.05,0.9796954314720813,0.9828121953597193,0.9955156950672646,0.970108695652174,0.9527896995708155,0.9736842105263159,357,11,1,222,414,0.700507614213198,79,35,44,12,0.9629629629629629,0.9647715381932334,0.9787234042553191,0.9508196721311475,0.9387755102040817,0.9583333333333333,58,3,1,46,75,0.6944444444444444,28,14,14,4,45,0,242,55,49,17,0.7709285367039378,0.7095588235294117
all_with_gross_concepts,0.06,0.9796954314720813,0.9828121953597193,0.9955156950672646,0.970108695652174,0.9527896995708155,0.9736842105263159,357,11,1,222,419,0.7089678510998308,79,35,44,12,0.9629629629629629,0.9647715381932334,0.9787234042553191,0.9508196721311475,0.9387755102040817,0.9583333333333333,58,3,1,46,76,0.7037037037037037,28,14,14,4,45,0,242,55,49,17,0.7709285367039378,0.7095588235294117
all_with_gross_concepts,0.07,0.9830795262267343,0.985529586664067,0.9955156950672646,0.9755434782608695,0.961038961038961,0.9779735682819384,359,9,1,222,425,0.7191201353637902,81,35,46,10,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,78,0.7222222222222222,29,14,15,3,45,0,242,55,49,17,0.7709285367039378,0.7095588235294117
all_with_gross_concepts,0.08,0.9847715736040609,0.986888282316241,0.9955156950672646,0.9782608695652174,0.9652173913043478,0.9801324503311257,360,8,1,222,431,0.7292724196277496,82,35,47,9,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,79,0.7314814814814815,29,14,15,3,45,0,242,55,49,17,0.7709285367039378,0.7095588235294117
