align,pca_components,pca_explained,model,weighting,pseudo,threshold_objective,old_cv_threshold,old_cv_threshold_score,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_auc,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_auc,strict_accuracy,strict_balanced_accuracy,strict_f1,strict_tn,strict_fp,strict_fn,strict_tp,strict_auc
mean,64,0.8868106007575989,svc_c1,none,none,balanced_accuracy,0.48999999999999994,0.5999556737588652,0.6,0.5999556737588652,0.5957446808510638,87,57,57,84,0.6085746650906225,0.5555555555555556,0.5430763864666899,0.4666666666666667,39,22,26,21,0.5165678409487269,0.5523809523809524,0.5423697725605283,0.47191011235955055,37,21,26,21,0.5088041085840058
mean,200,0.9931602478027344,logreg_c001,none,none,balanced_accuracy,0.4799999999999999,0.5972222222222222,0.5964912280701754,0.5972222222222222,0.6204620462046204,76,68,47,94,0.6143617021276596,0.5277777777777778,0.5380188350191838,0.5321100917431193,28,33,18,29,0.5364492500871991,0.5333333333333333,0.5412692589875275,0.5420560747663551,27,31,18,29,0.5436537050623624
none,32,0.7665579915046692,extra_d5,none,p85,balanced_accuracy,0.48999999999999994,0.6324615839243499,0.631578947368421,0.6324615839243499,0.6579804560260586,79,65,40,101,0.6389381402679276,0.5555555555555556,0.5381932333449598,0.4418604651162791,41,20,28,19,0.5507499128008371,0.5523809523809524,0.5383345561261922,0.4470588235294118,39,19,28,19,0.5418195157740279
coral,32,0.7665320634841919,svc_c1,none,none,balanced_accuracy,0.5099999999999999,0.5924202127659575,0.5929824561403508,0.5924202127659575,0.5671641791044776,93,51,65,76,0.5957939322301025,0.5462962962962963,0.5397628182769445,0.4842105263157895,36,25,24,23,0.5252877572375305,0.5428571428571428,0.5377842993396919,0.48936170212765956,34,24,24,23,0.516507703595011
mean,32,0.7665613889694214,rf_d5,none,none,balanced_accuracy,0.4699999999999999,0.5625738770685579,0.5614035087719298,0.5625738770685579,0.6031746031746031,65,79,46,95,0.572941292356186,0.5277777777777778,0.5429019881409138,0.5486725663716814,26,35,16,31,0.54307638646669,0.5238095238095238,0.5366837857666911,0.5535714285714286,24,34,16,31,0.5326485693323552
none,64,0.8869596123695374,logreg_c01,top5sim,none,balanced_accuracy,0.5099999999999999,0.6101507092198581,0.6105263157894737,0.6101507092198581,0.5934065934065934,93,51,60,81,0.6406126871552404,0.5648148148148148,0.5439483780955703,0.43373493975903615,43,18,29,18,0.5538890826648064,0.5523809523809524,0.5363169479090242,0.43373493975903615,40,18,29,18,0.5425531914893618
none,200,0.9931596517562866,extra_d5,top5sim,none,balanced_accuracy,0.49999999999999994,0.5627216312056738,0.5649122807017544,0.5627216312056738,0.44642857142857145,111,33,91,50,0.5714637509850276,0.5648148148148148,0.5439483780955703,0.43373493975903615,43,18,29,18,0.5657481688175793,0.5523809523809524,0.5363169479090242,0.43373493975903615,40,18,29,18,0.5674981658107116
diag,200,0.993155837059021,rf_d5,none,none,balanced_accuracy,0.48999999999999994,0.603797281323877,0.6035087719298246,0.603797281323877,0.6116838487972509,83,61,52,89,0.6237687155240346,0.5185185185185185,0.5322636902685735,0.5357142857142857,26,35,17,30,0.5626089989536102,0.5238095238095238,0.5346661775495232,0.5454545454545454,25,33,17,30,0.562362435803375
coral,64,0.8869525194168091,extra_d5,top5sim,none,balanced_accuracy,0.5099999999999999,0.578088061465721,0.5789473684210527,0.578088061465721,0.5384615384615384,95,49,71,70,0.5728427895981087,0.5555555555555556,0.5430763864666899,0.4666666666666667,39,22,26,21,0.5423787931635857,0.5428571428571428,0.5337490829053558,0.4666666666666667,36,22,26,21,0.5271460014673515
coral,64,0.8866289854049683,logreg_c001,none,none,balanced_accuracy,0.59,0.5647163120567376,0.5684210526315789,0.5647163120567376,0.32786885245901637,132,12,111,30,0.552304964539007,0.5833333333333334,0.5359260551098709,0.26229508196721313,55,6,39,8,0.5113358911754446,0.5714285714285714,0.5333822450476889,0.26229508196721313,52,6,39,8,0.5
coral,64,0.8870118260383606,extra_d5,none,p80,balanced_accuracy,0.49999999999999994,0.5752068557919622,0.5754385964912281,0.5752068557919622,0.5631768953068592,86,58,63,78,0.5667356185973208,0.5370370370370371,0.5364492500871991,0.5,33,28,22,25,0.538542029996512,0.5333333333333333,0.5331988261188554,0.5050505050505051,31,27,22,25,0.528980190755686
none,128,0.9673863649368286,rf_d5,none,p90,balanced_accuracy,0.48999999999999994,0.6290632387706856,0.6280701754385964,0.6290632387706856,0.6580645161290323,77,67,39,102,0.6705575256107171,0.5277777777777778,0.5282525287757238,0.49504950495049505,32,29,22,25,0.468782699686083,0.5333333333333333,0.5331988261188554,0.5050505050505051,31,27,22,25,0.4721203228173147
coral,128,0.9673387408256531,extra_d5,none,p80,balanced_accuracy,0.4699999999999999,0.515661938534279,0.512280701754386,0.515661938534279,0.6293333333333333,28,116,23,118,0.481284475965327,0.5,0.5451691663760028,0.6086956521739131,12,49,5,42,0.5371468433903035,0.49523809523809526,0.5330154071900219,0.6131386861313869,10,48,5,42,0.5315480557593544
none,64,0.8870062232017517,logreg_c001,none,none,balanced_accuracy,0.4499999999999999,0.6196808510638298,0.6175438596491228,0.6196808510638298,0.6803519061583577,60,84,25,116,0.6342100078802206,0.5277777777777778,0.5380188350191838,0.5321100917431193,28,33,18,29,0.5612138123474014,0.5238095238095238,0.532648569332355,0.5370370370370371,26,32,18,29,0.5539251650770359
coral,128,0.9673691391944885,logreg_c01,maxsim,none,balanced_accuracy,0.37999999999999995,0.5767582742316785,0.5754385964912281,0.5767582742316785,0.6206896551724138,65,79,42,99,0.5864361702127661,0.5092592592592593,0.531391698639693,0.5546218487394958,22,39,14,33,0.507499128008371,0.5142857142857142,0.5320983125458547,0.5641025641025641,21,37,14,33,0.5007336757153339
diag,128,0.9673541784286499,rf_d5,none,none,balanced_accuracy,0.49999999999999994,0.6387411347517731,0.6385964912280702,0.6387411347517731,0.6411149825783972,90,54,49,92,0.674891646966115,0.5370370370370371,0.5340076735263342,0.4897959183673469,34,27,23,24,0.5374956400418556,0.5333333333333333,0.5311812179016875,0.4948453608247423,32,26,23,24,0.5315480557593544
coral,32,0.7664940357208252,extra_d5,none,p85,balanced_accuracy,0.5199999999999999,0.573581560283688,0.5754385964912281,0.573581560283688,0.48068669527896996,108,36,85,56,0.6046591804570528,0.5648148148148148,0.5366236484129752,0.38961038961038963,46,15,32,15,0.5591210324380885,0.5523809523809524,0.5302641232575203,0.38961038961038963,43,15,32,15,0.5465884079236978
none,64,0.8869719505310059,logreg_c001,none,p85,balanced_accuracy,0.48999999999999994,0.6356382978723405,0.6350877192982456,0.6356382978723405,0.6510067114093959,84,60,44,97,0.6610027580772262,0.5555555555555556,0.5381932333449598,0.4418604651162791,41,20,28,19,0.5695849319846529,0.5428571428571428,0.5297138664710198,0.4418604651162791,38,20,28,19,0.5634629493763756
coral,200,0.993156909942627,logreg_c01,top5sim,none,balanced_accuracy,0.62,0.5537086288416075,0.5543859649122806,0.5537086288416075,0.5207547169811321,89,55,72,69,0.5535855003940111,0.5555555555555556,0.5381932333449598,0.4418604651162791,41,20,28,19,0.5333100802232299,0.5428571428571428,0.5297138664710198,0.4418604651162791,38,20,28,19,0.5275128393250184
coral,128,0.9673917293548584,rf_d5,none,p80,balanced_accuracy,0.4699999999999999,0.5113031914893617,0.5087719298245614,0.5113031914893617,0.6022727272727273,39,105,35,106,0.48975571315996846,0.5092592592592593,0.538716428322288,0.576,19,42,11,36,0.5092431112661318,0.5047619047619047,0.5295304475421864,0.5806451612903226,17,41,11,36,0.5036683785766691
