n,base_accuracy,base_balanced_accuracy,base_auc,auto_n,auto_rate,review_n,review_rate,fp_flip_n,fn_review_n,rescued_n,hurt_n,rescued_fn_n,rescued_fp_n,hurt_fn_n,hurt_fp_n,auto_accuracy,auto_balanced_accuracy,auto_f1,auto_sensitivity_high,auto_specificity_low,auto_tn,auto_fp,auto_fn,auto_tp,auto_auc,system_if_review_corrected_n,system_if_review_corrected_accuracy,system_if_review_corrected_balanced_accuracy,system_if_review_corrected_f1,system_if_review_corrected_sensitivity_high,system_if_review_corrected_specificity_low,system_if_review_corrected_tn,system_if_review_corrected_fp,system_if_review_corrected_fn,system_if_review_corrected_tp,system_if_review_corrected_auc,base_candidate,base_threshold,base_selection_score,fn_signal,fn_threshold,fp_low_signal,fp_threshold,scope
591,87.48%,87.03%,91.62%,523,88.49%,68,11.51%,0,68,0,0,0,0,0,0,87.57%,87.76%,0.8539325842696629,0.8878504672897196,0.8673139158576052,268,41,24,190,0.9205834316305237,591,89.00%,89.05%,0.8596112311015118,0.8923766816143498,0.8885869565217391,327,41,24,199,0.916162994735816,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,prob_mean_core,0.4773824647710958,stack_gb_d2_multiview,0.0601600491975303,internal_old_third_rule_selected
591,87.48%,87.03%,91.62%,523,88.49%,68,11.51%,0,68,0,0,0,0,0,0,87.57%,87.76%,0.8539325842696629,0.8878504672897196,0.8673139158576052,268,41,24,190,0.9205834316305237,591,89.00%,89.05%,0.8596112311015118,0.8923766816143498,0.8885869565217391,327,41,24,199,0.916162994735816,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,prob_mean_core,0.4773824647710958,stack_gb_d2_multiview,0.0774945269633817,internal_old_third_rule_selected
591,87.48%,87.03%,91.62%,523,88.49%,68,11.51%,0,68,0,0,0,0,0,0,87.57%,87.76%,0.8539325842696629,0.8878504672897196,0.8673139158576052,268,41,24,190,0.9205834316305237,591,89.00%,89.05%,0.8596112311015118,0.8923766816143498,0.8885869565217391,327,41,24,199,0.916162994735816,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,prob_mean_core,0.4773824647710958,stack_gb_d2_multiview,0.09606984729921865,internal_old_third_rule_selected
591,87.48%,87.03%,91.62%,523,88.49%,68,11.51%,0,68,0,0,0,0,0,0,87.57%,87.76%,0.8539325842696629,0.8878504672897196,0.8673139158576052,268,41,24,190,0.9205834316305237,591,89.00%,89.05%,0.8596112311015118,0.8923766816143498,0.8885869565217391,327,41,24,199,0.916162994735816,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,prob_mean_core,0.4773824647710958,stack_gb_d2_multiview,0.1290604217046331,internal_old_third_rule_selected
591,82.40%,80.39%,87.48%,512,86.63%,79,13.37%,2,79,1,1,0,1,1,0,87.30%,87.23%,0.8311688311688312,0.8695652173913043,0.875,287,41,24,160,0.9067967921527043,591,89.00%,89.05%,0.8596112311015118,0.8923766816143498,0.8885869565217391,327,41,24,199,0.8713686878533828,robust_prob,0.57,0.8039213296938974,stack_gb_d2_multiview,0.22377677631433102,min_all6,0.0569587266992009,internal_old_third_rule_selected
591,87.48%,87.03%,91.62%,481,81.39%,110,18.61%,1,110,0,1,0,0,1,0,86.49%,86.72%,0.8532731376975169,0.8873239436619719,0.8470149253731343,227,41,24,189,0.9187951089622312,591,89.00%,89.05%,0.8596112311015118,0.8923766816143498,0.8885869565217391,327,41,24,199,0.9145666796646519,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,wholecrop_prob,0.49869798636480445,prob_mean_core,0.1159437982541614,internal_old_third_rule_selected
591,87.48%,87.03%,91.62%,481,81.39%,110,18.61%,1,110,0,1,0,0,1,0,86.49%,86.72%,0.8532731376975169,0.8873239436619719,0.8470149253731343,227,41,24,189,0.9191805059210988,591,89.00%,89.05%,0.8596112311015118,0.8923766816143498,0.8885869565217391,327,41,24,199,0.9150662897250926,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,wholecrop_prob,0.49869798636480445,robust_prob,0.12004962132072165,internal_old_third_rule_selected
591,87.48%,87.03%,91.62%,481,81.39%,110,18.61%,3,110,1,2,0,1,2,0,86.49%,86.67%,0.8526077097505669,0.8826291079812206,0.8507462686567164,228,40,25,188,0.9119455539205381,591,89.00%,88.96%,0.8590021691973969,0.8878923766816144,0.8913043478260869,328,40,25,198,0.908266718658608,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,wholecrop_prob,0.49869798636480445,min_all6,0.0569587266992009,internal_old_third_rule_selected
591,87.48%,87.03%,91.62%,556,94.08%,35,5.92%,0,35,0,0,0,0,0,0,88.13%,88.17%,0.852017937219731,0.8837209302325582,0.8797653958944281,300,41,25,190,0.9217281593125554,591,88.83%,88.82%,0.8571428571428571,0.8878923766816144,0.8885869565217391,327,41,25,198,0.916162994735816,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,stack_gb_d2_multiview,0.22377677631433102,stack_gb_d2_multiview,0.0489054291630551,internal_old_third_rule_selected
591,87.48%,87.03%,91.62%,556,94.08%,35,5.92%,0,35,0,0,0,0,0,0,88.13%,88.17%,0.852017937219731,0.8837209302325582,0.8797653958944281,300,41,25,190,0.9217281593125554,591,88.83%,88.82%,0.8571428571428571,0.8878923766816144,0.8885869565217391,327,41,25,198,0.916162994735816,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,stack_gb_d2_multiview,0.22377677631433102,stack_gb_d2_multiview,0.0601600491975303,internal_old_third_rule_selected
