safe_rate_target,review_rate_target,clear_auto_n,clear_auto_rate,middle_auto_n,middle_auto_rate,review_n,review_rate,clear_wrong_n,middle_wrong_n,review_captured_wrong_n,workflow_accuracy,workflow_balanced_accuracy,workflow_sensitivity,workflow_specificity,workflow_precision,workflow_f1,workflow_tn,workflow_fp,workflow_fn,workflow_tp,clear_n,clear_accuracy,clear_balanced_accuracy,clear_sensitivity,clear_specificity,clear_fn,clear_fp,middle_n,middle_accuracy,middle_balanced_accuracy,middle_sensitivity,middle_specificity,middle_precision,middle_f1,middle_tn,middle_fp,middle_fn,middle_tp,auto_all_n,auto_all_accuracy,auto_all_balanced_accuracy,auto_all_sensitivity,auto_all_specificity,auto_all_precision,auto_all_f1,auto_all_tn,auto_all_fp,auto_all_fn,auto_all_tp,split,clear_precision,clear_f1,clear_tn,clear_tp
0.0,0.75,0,0.0,148,0.25042301184433163,443,0.7495769881556683,0,8,83,0.9864636209813875,0.9820627802690582,0.9641255605381166,1.0,1.0,0.9817351598173517,368,0,8,215,0,,,,,0,0,148,0.9459459459459459,0.948051948051948,0.8961038961038961,1.0,1.0,0.9452054794520548,71.0,0,8,69.0,148,0.9459459459459459,0.948051948051948,0.8961038961038961,1.0,1.0,0.9452054794520548,71,0,8,69,development,,,,
0.0,0.775,0,0.0,133,0.22504230118443316,458,0.7749576988155669,0,5,86,0.9915397631133672,0.9887892376681615,0.9775784753363229,1.0,1.0,0.9886621315192743,368,0,5,218,0,,,,,0,0,133,0.9624060150375939,0.9642857142857143,0.9285714285714286,1.0,1.0,0.962962962962963,63.0,0,5,65.0,133,0.9624060150375939,0.9642857142857143,0.9285714285714286,1.0,1.0,0.962962962962963,63,0,5,65,development,,,,
0.0,0.8,0,0.0,118,0.1996615905245347,473,0.8003384094754653,0,3,88,0.9949238578680203,0.9932735426008968,0.9865470852017937,1.0,1.0,0.9932279909706546,368,0,3,220,0,,,,,0,0,118,0.9745762711864406,0.976923076923077,0.9538461538461539,1.0,1.0,0.9763779527559054,53.0,0,3,62.0,118,0.9745762711864406,0.976923076923077,0.9538461538461539,1.0,1.0,0.9763779527559054,53,0,3,62,development,,,,
0.025,0.0,15,0.025380710659898477,576,0.9746192893401016,0,0.0,0,91,0,0.8460236886632826,0.8445542503411971,0.8385650224215246,0.8505434782608695,0.7727272727272727,0.8043010752688172,313,55,36,187,15,1.0,1.0,1.0,1.0,0,0,576,0.8420138888888888,0.8393494773745374,0.8293838862559242,0.8493150684931506,0.7608695652173914,0.7936507936507937,310.0,55,36,175.0,591,0.8460236886632826,0.8445542503411971,0.8385650224215246,0.8505434782608695,0.7727272727272727,0.8043010752688172,313,55,36,187,development,1.0,1.0,3.0,12.0
0.025,0.025,15,0.025380710659898477,561,0.949238578680203,15,0.025380710659898477,0,80,11,0.8646362098138748,0.8594999025151102,0.8385650224215246,0.8804347826086957,0.8095238095238095,0.8237885462555067,324,44,36,187,15,1.0,1.0,1.0,1.0,0,0,561,0.857397504456328,0.8508965856055024,0.8260869565217391,0.8757062146892656,0.7953488372093023,0.8104265402843602,310.0,44,36,171.0,576,0.8611111111111112,0.8561835693181382,0.8356164383561644,0.876750700280112,0.8061674008810573,0.8206278026905829,313,44,36,183,development,1.0,1.0,3.0,12.0
0.025,0.05,15,0.025380710659898477,546,0.9238578680203046,30,0.050761421319796954,0,70,21,0.8815566835871405,0.8730868590368492,0.8385650224215246,0.907608695652174,0.8461538461538461,0.8423423423423423,334,34,36,187,15,1.0,1.0,1.0,1.0,0,0,546,0.8717948717948718,0.8614724844577482,0.8217821782178217,0.9011627906976745,0.83,0.8258706467661692,310.0,34,36,166.0,561,0.875222816399287,0.8668964960004308,0.8317757009345794,0.9020172910662824,0.839622641509434,0.8356807511737089,313,34,36,178,development,1.0,1.0,3.0,12.0
0.025,0.075,15,0.025380710659898477,532,0.9001692047377327,44,0.07445008460236886,0,63,28,0.8934010152284264,0.8825977286020666,0.8385650224215246,0.9266304347826086,0.8738317757009346,0.8558352402745996,341,27,36,187,15,1.0,1.0,1.0,1.0,0,0,532,0.881578947368421,0.8676329605112988,0.8153846153846154,0.9198813056379822,0.8548387096774194,0.8346456692913387,310.0,27,36,159.0,547,0.8848263254113345,0.8733375959079284,0.8260869565217391,0.9205882352941176,0.8636363636363636,0.8444444444444444,313,27,36,171,development,1.0,1.0,3.0,12.0
0.025,0.1,15,0.025380710659898477,517,0.8747884940778342,59,0.09983079526226735,0,59,32,0.9001692047377327,0.8880325112107623,0.8385650224215246,0.9375,0.8904761904761904,0.8637413394919168,345,23,36,187,15,1.0,1.0,1.0,1.0,0,0,517,0.8858800773694391,0.8684826040346945,0.8064516129032258,0.9305135951661632,0.8670520231213873,0.8356545961002785,308.0,23,36,150.0,532,0.8890977443609023,0.8746597713663582,0.8181818181818182,0.9311377245508982,0.8756756756756757,0.8459530026109662,311,23,36,162,development,1.0,1.0,3.0,12.0
0.025,0.125,15,0.025380710659898477,502,0.8494077834179357,74,0.12521150592216582,0,54,37,0.9086294416243654,0.8948259894716319,0.8385650224215246,0.9510869565217391,0.9121951219512195,0.8738317757009346,350,18,36,187,15,1.0,1.0,1.0,1.0,0,0,502,0.8924302788844621,0.8720496894409938,0.8,0.9440993788819876,0.8888888888888888,0.8421052631578948,304.0,18,36,144.0,517,0.8955512572533849,0.8785576923076923,0.8125,0.9446153846153846,0.896551724137931,0.8524590163934426,307,18,36,156,development,1.0,1.0,3.0,12.0
0.025,0.15,15,0.025380710659898477,487,0.8240270727580372,89,0.1505922165820643,0,51,40,0.9137055837563451,0.8997855332423474,0.8430493273542601,0.9565217391304348,0.9215686274509803,0.8805620608899296,352,16,35,188,15,1.0,1.0,1.0,1.0,0,0,487,0.8952772073921971,0.8728589885566629,0.7965116279069767,0.9492063492063492,0.8954248366013072,0.8430769230769231,299.0,16,35,137.0,502,0.898406374501992,0.8797340716434237,0.8097826086956522,0.949685534591195,0.9030303030303031,0.8538681948424071,302,16,35,149,development,1.0,1.0,3.0,12.0
