candidate,kind,C,adapt_weight,pca_components_or_depth,train_low_n,train_low_pos,accuracy,balanced_accuracy,f1,tn,fp,fn,tp,auc,old_low_accuracy,adapt_low_accuracy,old_low_pos,adapt_low_pos
pca16_logreg_c0.03_aw4,logreg,0.03,4.0,16.0,186,30,0.5591397849462365,0.5487179487179488,0.2807017543859649,88,68,14,16,0.5655982905982906,0.5547945205479452,0.575,12,18
pca32_logreg_c0.03_aw4,logreg,0.03,4.0,32.0,186,30,0.5967741935483871,0.5173076923076922,0.24242424242424243,99,57,18,12,0.60491452991453,0.6164383561643836,0.525,12,18
pca64_logreg_c0.03_aw4,logreg,0.03,4.0,64.0,186,30,0.5967741935483871,0.5038461538461538,0.2268041237113402,100,56,19,11,0.5784188034188034,0.6232876712328768,0.5,12,18
pca16_logreg_c0.1_aw4,logreg,0.1,4.0,16.0,186,30,0.6021505376344086,0.5474358974358975,0.27450980392156865,98,58,16,14,0.5634615384615385,0.6164383561643836,0.55,12,18
pca32_logreg_c0.1_aw4,logreg,0.1,4.0,32.0,186,30,0.6612903225806451,0.5557692307692308,0.27586206896551724,111,45,18,12,0.6168803418803418,0.684931506849315,0.575,12,18
pca64_logreg_c0.1_aw4,logreg,0.1,4.0,64.0,186,30,0.6612903225806451,0.5153846153846153,0.2222222222222222,114,42,21,9,0.5920940170940171,0.6917808219178082,0.55,12,18
et_d2_aw1,extratrees,1.0,1.0,2.0,186,30,0.7204301075268817,0.5641025641025641,0.2777777777777778,124,32,20,10,0.5967948717948718,0.7602739726027398,0.575,12,18
et_d3_aw1,extratrees,1.0,1.0,3.0,186,30,0.7795698924731183,0.5455128205128206,0.22641509433962265,139,17,24,6,0.595940170940171,0.8424657534246576,0.55,12,18
et_d4_aw1,extratrees,1.0,1.0,4.0,186,30,0.7956989247311828,0.5147435897435898,0.13636363636363635,145,11,27,3,0.5991452991452991,0.8698630136986302,0.525,12,18
et_dnone_aw1,extratrees,1.0,1.0,,186,30,0.8279569892473119,0.4935897435897436,0.0,154,2,30,0,0.5779914529914529,0.9178082191780822,0.5,12,18
et_d2_aw3,extratrees,1.0,3.0,2.0,186,30,0.44086021505376344,0.558974358974359,0.2972972972972973,60,96,8,22,0.6025641025641026,0.410958904109589,0.55,12,18
et_d3_aw3,extratrees,1.0,3.0,3.0,186,30,0.6505376344086021,0.6435897435897435,0.36893203883495146,102,54,11,19,0.6087606837606837,0.6506849315068494,0.65,12,18
et_d4_aw3,extratrees,1.0,3.0,4.0,186,30,0.7043010752688172,0.5544871794871795,0.26666666666666666,121,35,20,10,0.5993589743589743,0.7328767123287672,0.6,12,18
et_dnone_aw3,extratrees,1.0,3.0,,186,30,0.8279569892473119,0.4935897435897436,0.0,154,2,30,0,0.5824786324786324,0.910958904109589,0.525,12,18
et_d2_aw6,extratrees,1.0,6.0,2.0,186,30,0.3172043010752688,0.5121794871794872,0.2742857142857143,35,121,6,24,0.5965811965811966,0.273972602739726,0.475,12,18
et_d3_aw6,extratrees,1.0,6.0,3.0,186,30,0.5,0.5673076923076923,0.3007518796992481,73,83,10,20,0.6006410256410256,0.4794520547945205,0.575,12,18
et_d4_aw6,extratrees,1.0,6.0,4.0,186,30,0.6451612903225806,0.5596153846153846,0.2826086956521739,107,49,17,13,0.6008547008547008,0.6643835616438356,0.575,12,18
et_dnone_aw6,extratrees,1.0,6.0,,186,30,0.8225806451612904,0.49038461538461536,0.0,153,3,30,0,0.5837606837606838,0.910958904109589,0.5,12,18
