profile,mode,repeat_adapt,C,threshold,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_auc,holdout_tn,holdout_fp,holdout_fn,holdout_tp,train_n_old,train_n_adapt,holdout_n,oof_accuracy,oof_balanced_accuracy,oof_f1,oof_auc,oof_tn,oof_fp,oof_fn,oof_tp
adapt84_balanced,old_plus_adapt_logreg,8,0.1,0.36999999999999994,0.6576576576576577,0.664423076923077,0.4153846153846154,0.7,119,63,13,27,285.0,84.0,222.0,0.6314363143631436,0.6319848404724132,0.6530612244897959,0.6686938127974618,105.0,81.0,55.0,128.0
adapt84_balanced,old_plus_adapt_logreg,8,0.01,0.5299999999999999,0.7207207207207207,0.6638736263736263,0.42592592592592593,0.7107142857142856,137,45,17,23,285.0,84.0,222.0,0.6504065040650406,0.6501410188612726,0.6366197183098592,0.7046830013514308,127.0,59.0,70.0,113.0
adapt48_balanced,old_plus_adapt_logreg,4,0.001,0.62,0.7906976744186046,0.6630172413793103,0.4807692307692308,0.7464655172413792,179,21,33,25,285.0,48.0,258.0,0.6396396396396397,0.6378787878787879,0.5488721804511278,0.6857142857142857,140.0,28.0,92.0,73.0
adapt72_high_focus,old_plus_adapt_logreg,2,0.001,0.4799999999999999,0.7008547008547008,0.6623254564983888,0.39655172413793105,0.7360365198711063,141,55,15,23,285.0,72.0,234.0,0.6750700280112045,0.6738214959145192,0.6931216931216931,0.7160276555625393,110.0,62.0,54.0,131.0
adapt84_balanced,old_plus_adapt_logreg,1,0.0003,0.5199999999999999,0.7657657657657657,0.6620879120879121,0.43478260869565216,0.7568681318681318,150,32,20,20,285.0,84.0,222.0,0.6693766937669376,0.6690463599506434,0.6534090909090909,0.7166989834890417,132.0,54.0,68.0,115.0
adapt48_balanced,old_plus_adapt_logreg,8,0.001,0.4799999999999999,0.6744186046511628,0.6614655172413794,0.46835443037974683,0.7338793103448276,137,63,21,37,285.0,48.0,258.0,0.6276276276276276,0.6277056277056277,0.6287425149700598,0.6652958152958153,104.0,64.0,60.0,105.0
adapt84_balanced,old_plus_adapt_logreg,12,0.003,0.4599999999999999,0.6846846846846847,0.6614010989010989,0.4166666666666667,0.7196428571428571,127,55,15,25,285.0,84.0,222.0,0.6531165311653117,0.6534461484223515,0.6649214659685864,0.7149068687937012,114.0,72.0,56.0,127.0
adapt72_high_focus,old_plus_adapt_logreg,12,0.001,0.41999999999999993,0.6282051282051282,0.6613856068743287,0.3829787234042553,0.7141514500537056,120,76,11,27,285.0,72.0,234.0,0.6470588235294118,0.6435260842237587,0.685,0.6882463859208046,94.0,78.0,48.0,137.0
adapt60_balanced,old_plus_adapt_logreg,4,0.0003,0.58,0.8089430894308943,0.660685963521015,0.47191011235955055,0.7573354480570976,178,16,31,21,285.0,60.0,246.0,0.6492753623188405,0.6477616454930429,0.5724381625441696,0.6862942797607043,143.0,31.0,90.0,81.0
adapt84_balanced,old_plus_adapt_logreg,2,0.1,0.3999999999999999,0.6666666666666666,0.6601648351648352,0.4126984126984127,0.6946428571428572,122,60,14,26,285.0,84.0,222.0,0.6368563685636857,0.6370527057994007,0.6436170212765957,0.6948998178506376,114.0,72.0,62.0,121.0
adapt72_high_focus,old_plus_adapt_logreg,1,0.3,0.72,0.7478632478632479,0.6585660580021482,0.40404040404040403,0.692266380236305,155,41,18,20,285.0,72.0,234.0,0.6526610644257703,0.6540383406662477,0.6477272727272727,0.6910119421747329,119.0,53.0,71.0,114.0
adapt72_high_focus,old_plus_adapt_logreg,1,1.0,0.73,0.7478632478632479,0.6585660580021482,0.40404040404040403,0.6911922663802363,155,41,18,20,285.0,72.0,234.0,0.680672268907563,0.6831081081081081,0.6666666666666666,0.735700817096166,129.0,43.0,71.0,114.0
adapt84_balanced,old_plus_adapt_logreg,12,0.001,0.5399999999999999,0.7117117117117117,0.6583791208791209,0.41818181818181815,0.7357142857142858,135,47,17,23,285.0,84.0,222.0,0.6639566395663956,0.6636700158646219,0.6497175141242938,0.7101768611551795,130.0,56.0,68.0,115.0
adapt72_balanced,old_plus_adapt_logreg,8,0.003,0.6599999999999999,0.7649572649572649,0.6566836262719704,0.4444444444444444,0.7392460684551342,157,31,24,22,285.0,72.0,234.0,0.680672268907563,0.6797080979284369,0.6369426751592356,0.7286252354048964,143.0,37.0,77.0,100.0
