policy,eval_domain,review_budget,selected_base_model,selected_router,review_n,review_rate,auto_n,auto_rate,captured_errors,total_base_errors,error_capture_rate,review_clean_n,auto_accuracy,auto_balanced_accuracy,auto_f1,auto_sensitivity_high,auto_specificity_low,auto_tn,auto_fp,auto_fn,auto_tp,auto_auc,system_n,system_accuracy,system_balanced_accuracy,system_f1,system_sensitivity_high,system_specificity_low,system_tn,system_fp,system_fn,system_tp,system_auc
shift_aware_image_directional_candidate,strict_external,0.5,robust_prob,single:v143_pca_directional,52,0.49523809523809526,53,0.5047619047619047,19,32,0.59375,33,0.7547169811320755,0.6658730158730158,0.5185185185185185,0.3888888888888889,0.9428571428571428,33,2,11,7,0.6031746031746033,105,0.8761904761904762,0.8657373440939105,0.8470588235294118,0.7659574468085106,0.9655172413793104,56,2,11,36,0.6621423330887748
baseline_low_conf_dev_selected,strict_external,0.5,prob_mean_core,single:low_conf,52,0.49523809523809526,53,0.5047619047619047,36,51,0.7058823529411765,16,0.7169811320754716,0.6942028985507247,0.7761194029850746,0.8666666666666667,0.5217391304347826,12,11,4,26,0.6130434782608696,105,0.8571428571428571,0.8626192223037417,0.8514851485148515,0.9148936170212766,0.8103448275862069,47,11,4,43,0.6661775495231108
shift_aware_rank_fusion_candidate,strict_external,0.5,prob_mean_core,fusion:rank_mean_lowconf_v143_v144,52,0.49523809523809526,53,0.5047619047619047,36,51,0.7058823529411765,16,0.7169811320754716,0.7193732193732194,0.7457627118644068,0.8461538461538461,0.5925925925925926,16,11,4,22,0.6695156695156695,105,0.8571428571428571,0.8626192223037417,0.8514851485148515,0.9148936170212766,0.8103448275862069,47,11,4,43,0.6661775495231108
shift_aware_concept_directional_candidate,strict_external,0.5,prob_mean_core,single:v144_concept_directional,52,0.49523809523809526,53,0.5047619047619047,36,51,0.7058823529411765,16,0.7169811320754716,0.7150997150997151,0.7457627118644068,0.8148148148148148,0.6153846153846154,16,10,5,22,0.6509971509971509,105,0.8571428571428571,0.8606016140865738,0.8484848484848485,0.8936170212765957,0.8275862068965517,48,10,5,42,0.6661775495231108
baseline_low_conf_dev_selected,third_batch,0.5,prob_mean_core,single:low_conf,153,0.5,153,0.5,51,65,0.7846153846153846,102,0.9084967320261438,0.8361344537815126,0.7741935483870968,0.7058823529411765,0.9663865546218487,115,4,10,24,0.8732081067721206,306,0.954248366013072,0.930095818815331,0.9113924050632911,0.8780487804878049,0.9821428571428571,220,4,10,72,0.818270905923345
dev_stable_router_all_domains,third_batch,0.5,robust_prob,single:v143_pca_any,153,0.5,153,0.5,43,59,0.7288135593220338,110,0.8954248366013072,0.8234848484848485,0.7419354838709677,0.696969696969697,0.95,114,6,10,23,0.9085858585858586,306,0.9477124183006536,0.9256315331010453,0.9,0.8780487804878049,0.9732142857142857,218,6,10,72,0.8161476480836237
shift_aware_image_directional_candidate,third_batch,0.5,robust_prob,single:v143_pca_any,153,0.5,153,0.5,43,59,0.7288135593220338,110,0.8954248366013072,0.8234848484848485,0.7419354838709677,0.696969696969697,0.95,114,6,10,23,0.9085858585858586,306,0.9477124183006536,0.9256315331010453,0.9,0.8780487804878049,0.9732142857142857,218,6,10,72,0.8161476480836237
shift_aware_concept_directional_candidate,third_batch,0.5,robust_prob,single:v143_pca_any,153,0.5,153,0.5,43,59,0.7288135593220338,110,0.8954248366013072,0.8234848484848485,0.7419354838709677,0.696969696969697,0.95,114,6,10,23,0.9085858585858586,306,0.9477124183006536,0.9256315331010453,0.9,0.8780487804878049,0.9732142857142857,218,6,10,72,0.8161476480836237
shift_aware_rank_fusion_candidate,third_batch,0.5,robust_prob,single:v143_pca_any,153,0.5,153,0.5,43,59,0.7288135593220338,110,0.8954248366013072,0.8234848484848485,0.7419354838709677,0.696969696969697,0.95,114,6,10,23,0.9085858585858586,306,0.9477124183006536,0.9256315331010453,0.9,0.8780487804878049,0.9732142857142857,218,6,10,72,0.8161476480836237
baseline_low_conf_dev_selected,all_three_domains,0.6,domain_specific,domain_specific,418,0.6005747126436781,278,0.3994252873563218,149,177,0.8418079096045198,269,0.8992805755395683,0.8976168503338581,0.8738738738738738,0.8899082568807339,0.9053254437869822,153,16,12,97,0.9130883231094945,696,0.9597701149425287,0.9589984350547731,0.9485294117647058,0.9555555555555556,0.9624413145539906,410,16,12,258,0.8353069031472786
dev_stable_router_all_domains,all_three_domains,0.6,domain_specific,domain_specific,418,0.6005747126436781,278,0.3994252873563218,98,136,0.7205882352941176,320,0.8633093525179856,0.8329019269485188,0.7865168539325843,0.7368421052631579,0.9289617486338798,170,13,25,70,0.9051481161921197,696,0.9454022988505747,0.9384454877412625,0.928030303030303,0.9074074074074074,0.9694835680751174,413,13,25,245,0.8477743001217182
shift_aware_image_directional_candidate,all_three_domains,0.6,domain_specific,domain_specific,418,0.6005747126436781,278,0.3994252873563218,98,136,0.7205882352941176,320,0.8633093525179856,0.8162416027584567,0.7625,0.6853932584269663,0.9470899470899471,179,10,28,61,0.8935853992033768,696,0.9454022988505747,0.9364110589462702,0.9272030651340997,0.8962962962962963,0.9765258215962441,416,10,28,242,0.8477743001217182
shift_aware_rank_fusion_candidate,all_three_domains,0.6,domain_specific,domain_specific,418,0.6005747126436781,278,0.3994252873563218,114,155,0.7354838709677419,304,0.8525179856115108,0.8297670405522002,0.7783783783783784,0.7578947368421053,0.9016393442622951,165,18,23,72,0.8906528616623526,696,0.9410919540229885,0.9362806468440271,0.9233644859813084,0.9148148148148149,0.9577464788732394,408,18,23,247,0.8481481481481483
shift_aware_concept_directional_candidate,all_three_domains,0.6,domain_specific,domain_specific,418,0.6005747126436781,278,0.3994252873563218,114,155,0.7354838709677419,304,0.8525179856115108,0.8293273338269636,0.7807486631016043,0.7525773195876289,0.9060773480662984,164,17,24,73,0.890812781226861,696,0.9410919540229885,0.935602503912363,0.9230769230769231,0.9111111111111111,0.960093896713615,409,17,24,246,0.8481481481481483
baseline_low_conf_dev_selected,old_data,0.6,prob_mean_core,single:low_conf,171,0.6,114,0.4,52,61,0.8524590163934426,119,0.9210526315789473,0.9181141439205955,0.9291338582677166,0.9516129032258065,0.8846153846153846,46,6,3,59,0.9612282878411911,285,0.968421052631579,0.9685283687943262,0.968421052631579,0.9787234042553191,0.9583333333333334,138,6,3,138,0.8737687155240348
dev_stable_router_all_domains,old_data,0.6,robust_prob,single:v143_pca_any,171,0.6,114,0.4,26,45,0.5777777777777777,145,0.8333333333333334,0.826797385620915,0.8041237113402062,0.7647058823529411,0.8888888888888888,56,7,12,39,0.91005291005291,285,0.9333333333333333,0.9331412529550827,0.9314079422382672,0.9148936170212766,0.9513888888888888,137,7,12,129,0.9036643026004727
shift_aware_image_directional_candidate,old_data,0.6,robust_prob,single:v143_pca_any,171,0.6,114,0.4,26,45,0.5777777777777777,145,0.8333333333333334,0.826797385620915,0.8041237113402062,0.7647058823529411,0.8888888888888888,56,7,12,39,0.91005291005291,285,0.9333333333333333,0.9331412529550827,0.9314079422382672,0.9148936170212766,0.9513888888888888,137,7,12,129,0.9036643026004727
shift_aware_concept_directional_candidate,old_data,0.6,robust_prob,single:v143_pca_any,171,0.6,114,0.4,26,45,0.5777777777777777,145,0.8333333333333334,0.826797385620915,0.8041237113402062,0.7647058823529411,0.8888888888888888,56,7,12,39,0.91005291005291,285,0.9333333333333333,0.9331412529550827,0.9314079422382672,0.9148936170212766,0.9513888888888888,137,7,12,129,0.9036643026004727
