n,stage1_accept_n,stage1_accept_rate,stage2_accept_n,stage2_accept_rate,reject_n,reject_rate,automated_n,automated_rate,rescued_n,hurt_n,rescued_fn_n,rescued_fp_n,hurt_fn_n,hurt_fp_n,stage1_n,stage1_accuracy,stage1_balanced_accuracy,stage1_f1,stage1_sensitivity_high,stage1_specificity_low,stage1_tn,stage1_fp,stage1_fn,stage1_tp,stage1_auc,stage2_n,stage2_accuracy,stage2_balanced_accuracy,stage2_f1,stage2_sensitivity_high,stage2_specificity_low,stage2_tn,stage2_fp,stage2_fn,stage2_tp,stage2_auc,automated_accuracy,automated_balanced_accuracy,automated_f1,automated_sensitivity_high,automated_specificity_low,automated_tn,automated_fp,automated_fn,automated_tp,automated_auc,system_if_reject_corrected_n,system_if_reject_corrected_accuracy,system_if_reject_corrected_balanced_accuracy,system_if_reject_corrected_f1,system_if_reject_corrected_sensitivity_high,system_if_reject_corrected_specificity_low,system_if_reject_corrected_tn,system_if_reject_corrected_fp,system_if_reject_corrected_fn,system_if_reject_corrected_tp,system_if_reject_corrected_auc,feature_set,gate,corrector,target_accept_acc,corrector_conf_min,scope
591,446,75.47%,145,24.53%,0,0.00%,591,100.00%,24,18,0,24,11,7,446,88.79%,86.69%,0.8366013071895425,79.01%,94.37%,268,16,34,128,0.8890193009911319,145,75.86%,76.25%,0.732824427480916,78.69%,73.81%,62,22,13,48,0.8278688524590163,84.43%,83.17%,0.7909090909090909,78.03%,88.32%,325,43,49,174,87.41%,591,84.43%,83.17%,0.7909090909090909,78.03%,88.32%,325,43,49,174,0.8741470072138818,multiview,gate_logreg,corr_logreg,0.92,0.0,internal_nested_old_third
591,500,84.60%,91,15.40%,0,0.00%,591,100.00%,22,11,1,21,9,2,500,89.60%,87.83%,0.8505747126436781,81.32%,94.34%,300,18,34,148,0.8873971940009675,91,69.23%,69.80%,0.6888888888888889,75.61%,64.00%,32,18,10,31,0.7795121951219512,83.08%,82.79%,0.7844827586206896,81.61%,83.97%,309,59,41,182,87.57%,591,83.08%,82.79%,0.7844827586206896,81.61%,83.97%,309,59,41,182,0.8756580230064339,multiview,gate_logreg,corr_extra,0.9,0.0,internal_nested_old_third
591,516,87.31%,75,12.69%,0,0.00%,591,100.00%,22,10,0,22,10,0,516,89.34%,87.40%,0.8441926345609065,80.54%,94.26%,312,19,36,149,0.8839879154078549,75,68.00%,67.92%,0.7,73.68%,62.16%,23,14,10,28,0.7432432432432432,81.56%,80.51%,0.7572383073496659,76.23%,84.78%,312,56,53,170,87.32%,591,81.56%,80.51%,0.7572383073496659,76.23%,84.78%,312,56,53,170,0.8732209007603822,core,gate_logreg,corr_logreg,0.9,0.0,internal_nested_old_third
591,516,87.31%,75,12.69%,0,0.00%,591,100.00%,23,12,0,23,12,0,516,89.34%,87.40%,0.8441926345609065,80.54%,94.26%,312,19,36,149,0.8839879154078549,75,66.67%,66.64%,0.6753246753246753,68.42%,64.86%,24,13,12,26,0.7197724039829303,79.70%,77.69%,0.7209302325581395,69.51%,85.87%,316,52,68,155,87.15%,591,79.70%,77.69%,0.7209302325581395,69.51%,85.87%,316,52,68,155,0.8714905439656853,core,gate_logreg,corr_extra,0.9,0.0,internal_nested_old_third
591,550,93.06%,34,5.75%,7,1.18%,584,98.82%,15,5,0,15,5,0,550,87.45%,86.41%,0.8296296296296296,82.35%,90.46%,313,33,36,168,0.8747166496656467,34,76.47%,76.04%,0.7333333333333333,68.75%,83.33%,15,3,5,11,0.7152777777777778,86.82%,85.65%,0.8221709006928406,80.91%,90.38%,329,35,42,178,86.41%,591,86.97%,85.83%,0.8246013667425968,81.17%,90.49%,333,35,42,181,0.8624000779879119,multiview,gate_logreg,corr_logreg,0.88,0.6,internal_nested_old_third
591,550,93.06%,33,5.58%,8,1.35%,583,98.65%,15,5,0,15,5,0,550,87.45%,86.41%,0.8296296296296296,82.35%,90.46%,313,33,36,168,0.8747166496656467,33,75.76%,75.00%,0.7142857142857143,66.67%,83.33%,15,3,5,10,0.7074074074074075,87.14%,85.97%,0.8259860788863109,81.28%,90.66%,330,34,41,178,86.37%,591,87.31%,86.19%,0.8291571753986332,81.61%,90.76%,334,34,41,182,0.8624000779879119,multiview,gate_logreg,corr_logreg,0.88,0.65,internal_nested_old_third
591,385,65.14%,195,32.99%,11,1.86%,580,98.14%,0,0,0,0,0,0,385,87.79%,87.57%,0.8459016393442623,86.58%,88.56%,209,27,20,129,0.9151973609373223,195,79.49%,78.68%,0.7183098591549296,76.12%,81.25%,104,24,16,51,0.8074860074626866,85.00%,84.66%,0.8053691275167785,83.33%,85.99%,313,51,36,180,88.88%,591,85.28%,85.00%,0.8112798264642083,83.86%,86.14%,317,51,36,187,0.8871124975628778,core,base_conf_core,corr_extra,0.88,0.6,internal_nested_old_third
591,557,94.25%,19,3.21%,15,2.54%,576,97.46%,6,2,0,6,2,0,557,87.97%,87.04%,0.8408551068883611,83.10%,90.99%,313,31,36,177,0.8792171634457909,19,52.63%,56.41%,0.47058823529411764,66.67%,46.15%,6,7,2,4,0.5641025641025641,86.81%,86.00%,0.8264840182648402,82.65%,89.36%,319,38,38,181,86.98%,591,87.14%,86.32%,0.8295964125560538,82.96%,89.67%,330,38,38,185,0.8675302203158511,core,gate_logreg,corr_logreg,0.88,0.6,internal_nested_old_third
591,557,94.25%,19,3.21%,15,2.54%,576,97.46%,0,0,0,0,0,0,557,87.97%,87.04%,0.8408551068883611,83.10%,90.99%,313,31,36,177,0.8792171634457909,19,36.84%,50.00%,0.5384615384615384,100.00%,0.00%,0,12,0,7,0.5357142857142857,86.28%,85.78%,0.8232662192393736,83.64%,87.92%,313,43,36,184,87.16%,591,86.63%,86.09%,0.82560706401766,83.86%,88.32%,325,43,36,187,0.8662994735815948,core,gate_logreg,corr_extra,0.88,0.6,internal_nested_old_third
591,500,84.60%,75,12.69%,16,2.71%,575,97.29%,18,9,0,18,8,1,500,89.60%,87.83%,0.8505747126436781,81.32%,94.34%,300,18,34,148,0.8873971940009675,75,70.67%,70.71%,0.6944444444444444,71.43%,70.00%,28,12,10,25,0.7714285714285715,86.61%,85.25%,0.817966903073286,79.72%,90.78%,325,33,44,173,86.72%,591,86.97%,85.65%,0.8229885057471265,80.27%,91.03%,335,33,44,179,0.8643010333398323,multiview,gate_logreg,corr_logreg,0.9,0.6,internal_nested_old_third
