score,target,scope,pass_n,pass_frac,hardlike_n,hard_recall,hard_prec,pass_acc,acc,bacc,sens,spec,tn,fp,fn,tp,hard_base_acc,hard_final_acc,rescued,hurt,rescued_hard,hurt_hard,thresholds
upper_low_conf,0.8,all_train,111,0.3894736842105263,174,0.8,0.2988505747126437,0.8648648648648649,0.7543859649122807,0.7543587470449172,0.75177304964539,0.7569444444444444,109,35,35,106,0.27692307692307694,0.4,17,21,12,4,1:0.009;2:0.009;3:0.014;4:0.008;5:0.007
learn_hard_core_logreg,0.9,flag_train,57,0.2,228,0.8615384615384616,0.24561403508771928,0.8245614035087719,0.7543859649122807,0.7543587470449172,0.75177304964539,0.7569444444444444,109,35,35,106,0.27692307692307694,0.4,20,24,13,5,1:0.041;2:0.026;3:0.026;4:0.011;5:0.185
upper_low_conf,0.9,all_train,83,0.2912280701754386,202,0.8769230769230769,0.28217821782178215,0.9156626506024096,0.7508771929824561,0.750886524822695,0.75177304964539,0.75,108,36,35,106,0.27692307692307694,0.4,17,22,12,4,1:0.005;2:0.005;3:0.007;4:0.001;5:0.004
learn_hard_core_rf,0.8,all_train,75,0.2631578947368421,210,0.8153846153846154,0.2523809523809524,0.8533333333333334,0.7508771929824561,0.750886524822695,0.75177304964539,0.75,108,36,35,106,0.27692307692307694,0.4,17,22,12,4,1:0.350;2:0.350;3:0.391;4:0.350;5:0.342
learn_hard_core_extra,0.8,all_train,79,0.2771929824561403,206,0.8153846153846154,0.25728155339805825,0.8481012658227848,0.7508771929824561,0.750812647754137,0.7446808510638298,0.7569444444444444,109,35,36,105,0.27692307692307694,0.4,17,22,12,4,1:0.397;2:0.411;3:0.431;4:0.409;5:0.407
upper_low_conf,0.8,flag_train,111,0.3894736842105263,174,0.8,0.2988505747126437,0.8648648648648649,0.7473684210526316,0.7477098108747045,0.7801418439716312,0.7152777777777778,103,41,31,110,0.27692307692307694,0.4461538461538462,20,26,13,2,1:0.009;2:0.009;3:0.014;4:0.008;5:0.007
learn_hard_core_logreg,0.9,all_train,57,0.2,228,0.8615384615384616,0.24561403508771928,0.8245614035087719,0.7473684210526316,0.7474881796690307,0.7588652482269503,0.7361111111111112,106,38,34,107,0.27692307692307694,0.4307692307692308,15,21,12,2,1:0.041;2:0.026;3:0.026;4:0.011;5:0.185
learn_hard_core_rf,0.9,all_train,52,0.1824561403508772,233,0.8923076923076924,0.24892703862660945,0.8846153846153846,0.7473684210526316,0.7473404255319149,0.7446808510638298,0.75,108,36,36,105,0.27692307692307694,0.4,17,23,12,4,1:0.311;2:0.311;3:0.342;4:0.250;5:0.308
all_range,0.7,all_train,100,0.3508771929824561,185,0.7076923076923077,0.24864864864864866,0.81,0.7473684210526316,0.7472665484633569,0.7375886524822695,0.7569444444444444,109,35,37,104,0.27692307692307694,0.35384615384615387,14,20,9,4,1:0.500;2:0.497;3:0.499;4:0.516;5:0.500
learn_hard_core_extra,0.8,flag_train,79,0.2771929824561403,206,0.8153846153846154,0.25728155339805825,0.8481012658227848,0.743859649122807,0.7440898345153664,0.7659574468085106,0.7222222222222222,104,40,33,108,0.27692307692307694,0.4461538461538462,19,26,13,2,1:0.397;2:0.411;3:0.431;4:0.409;5:0.407
hybrid_max_allrange_fn,0.8,all_train,74,0.2596491228070175,211,0.7846153846153846,0.24170616113744076,0.8378378378378378,0.743859649122807,0.7440898345153664,0.7659574468085106,0.7222222222222222,104,40,33,108,0.27692307692307694,0.4153846153846154,18,25,13,4,1:0.582;2:0.460;3:0.474;4:0.474;5:0.509
all_range,0.9,flag_train,36,0.12631578947368421,249,0.8769230769230769,0.2289156626506024,0.7777777777777778,0.7403508771929824,0.7405437352245863,0.7588652482269503,0.7222222222222222,104,40,34,107,0.27692307692307694,0.4461538461538462,21,29,14,3,1:0.323;2:0.323;3:0.356;4:0.412;5:0.412
hybrid_max_allrange_fn,0.9,all_train,41,0.14385964912280702,244,0.9076923076923077,0.24180327868852458,0.8536585365853658,0.7403508771929824,0.7404698581560283,0.75177304964539,0.7291666666666666,105,39,35,106,0.27692307692307694,0.4307692307692308,19,27,14,4,1:0.404;2:0.389;3:0.389;4:0.389;5:0.368
