review_policy,model,feature_set,mode,flip_threshold,release_threshold,scope,n,original_review_n,original_review_rate,auto_flip_n,auto_release_n,auto_action_n,auto_action_rate,remaining_review_n,remaining_review_rate,auto_action_error_n,auto_action_error_rate,rescued_n,hurt_n,accuracy,balanced_accuracy,f1,auc,fn,fp,selection_status
v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,flip_then_agree_release,0.95,0.7,strict_external,108,94,0.8703703703703703,1,30,31,0.28703703703703703,63,0.5833333333333334,1,0.03225806451612903,0,1,0.9907407407407407,0.9893617021276595,0.989247311827957,,1,0,lowest_internal_auto_error_rate
v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,flip_then_agree_release,0.95,0.7,all_domains,699,559,0.7997138769670958,4,237,241,0.3447782546494993,318,0.45493562231759654,7,0.029045643153526972,0,4,0.9885550786838341,0.9865578865578866,0.9850746268656716,,6,2,lowest_internal_auto_error_rate
v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,disagree_flip_only,0.5,0.95,old_data,285,158,0.5543859649122806,93,0,93,0.3263157894736842,65,0.22807017543859648,92,0.989247311827957,1,92,0.6771929824561403,0.6771572104018913,0.6737588652482269,,46,46,lowest_internal_auto_error_rate
v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,disagree_flip_only,0.5,0.95,third_batch,306,170,0.5555555555555556,87,0,87,0.28431372549019607,83,0.27124183006535946,85,0.9770114942528736,2,85,0.7189542483660131,0.6959385888501742,0.5520833333333334,,29,57,lowest_internal_auto_error_rate
v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,disagree_flip_only,0.5,0.95,strict_external,108,74,0.6851851851851852,34,0,34,0.3148148148148148,40,0.37037037037037035,34,1.0,0,34,0.6851851851851852,0.6578304848273456,0.5526315789473685,,26,8,lowest_internal_auto_error_rate
v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,disagree_flip_only,0.5,0.95,all_domains,699,402,0.575107296137339,214,0,214,0.3061516452074392,188,0.26895565092989987,211,0.985981308411215,3,211,0.6967095851216023,0.6835923335923335,0.6145454545454545,,101,111,lowest_internal_auto_error_rate
v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,agree_release_only,0.95,0.5,old_data,285,158,0.5543859649122806,0,65,65,0.22807017543859648,93,0.3263157894736842,0,0.0,0,0,1.0,1.0,1.0,,0,0,lowest_internal_auto_error_rate
v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,agree_release_only,0.95,0.5,third_batch,306,170,0.5555555555555556,0,83,83,0.27124183006535946,87,0.28431372549019607,6,0.07228915662650602,0,0,0.9771241830065359,0.9611824912891986,0.9559748427672956,,6,1,lowest_internal_auto_error_rate
v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,agree_release_only,0.95,0.5,strict_external,108,74,0.6851851851851852,0,40,40,0.37037037037037035,34,0.3148148148148148,0,0.0,0,0,1.0,1.0,1.0,,0,0,lowest_internal_auto_error_rate
v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,agree_release_only,0.95,0.5,all_domains,699,402,0.575107296137339,0,188,188,0.26895565092989987,214,0.3061516452074392,6,0.031914893617021274,0,0,0.9899856938483548,0.9877233877233877,0.9869158878504672,,6,1,lowest_internal_auto_error_rate
