candidate,adapt_weight,kind,accuracy,balanced_accuracy,f1,tn,fp,fn,tp,auc,old_accuracy,adapt_accuracy
et_dnone_aw3,3.0,extratrees,0.8683473389355743,0.868274670018856,0.8726287262872628,149,23,24,161,0.9210873664362037,0.9263157894736842,0.6388888888888888
et_d2_aw6,6.0,extratrees,0.7983193277310925,0.7976429918290384,0.8074866310160428,134,38,34,151,0.8875864236329353,0.8456140350877193,0.6111111111111112
et_d3_aw6,6.0,extratrees,0.8487394957983193,0.8491514770584538,0.8516483516483516,148,24,30,155,0.9122250157133879,0.9157894736842105,0.5833333333333334
et_d4_aw6,6.0,extratrees,0.8571428571428571,0.8572595851665619,0.8610354223433242,148,24,27,158,0.9149905719673161,0.9192982456140351,0.6111111111111112
et_dnone_aw6,6.0,extratrees,0.8543417366946778,0.8539440603394093,0.8602150537634409,145,27,25,160,0.9159648020113136,0.9228070175438596,0.5833333333333334
hgb_l20.01_aw1,1.0,histgb,0.834733893557423,0.8342080452545568,0.8418230563002681,141,31,28,157,0.9098365807668134,0.9122807017543859,0.5277777777777778
hgb_l20.1_aw1,1.0,histgb,0.8263305322128851,0.8258956631049654,0.8333333333333334,140,32,30,155,0.9122250157133878,0.9087719298245615,0.5
hgb_l21_aw1,1.0,histgb,0.8431372549019608,0.8425204274041483,0.8502673796791443,142,30,26,159,0.9125392834695161,0.9157894736842105,0.5555555555555556
hgb_l20.01_aw3,3.0,histgb,0.8263305322128851,0.8260999371464488,0.8324324324324325,141,31,31,154,0.9043683218101823,0.9052631578947369,0.5138888888888888
hgb_l20.1_aw3,3.0,histgb,0.8207282913165266,0.8204902576995601,0.827027027027027,140,32,32,153,0.9011942174732873,0.9052631578947369,0.4861111111111111
hgb_l21_aw3,3.0,histgb,0.8291316526610645,0.8288026398491515,0.8355795148247979,141,31,30,155,0.9010999371464489,0.9052631578947369,0.5277777777777778
hgb_l20.01_aw6,6.0,histgb,0.8263305322128851,0.8260999371464488,0.8324324324324325,141,31,31,154,0.8975801382778127,0.9052631578947369,0.5138888888888888
hgb_l20.1_aw6,6.0,histgb,0.8263305322128851,0.8258956631049654,0.8333333333333334,140,32,30,155,0.8964173475801384,0.9052631578947369,0.5138888888888888
hgb_l21_aw6,6.0,histgb,0.8319327731092437,0.8317096165933375,0.8378378378378378,142,30,30,155,0.8906976744186047,0.9052631578947369,0.5416666666666666
