group,policy,total_n,auto_n,review_n,retake_n,auto_coverage,review_rate,retake_rate,auto_low_n,auto_high_n,auto_low_high_miss_rate,auto_high_ppv,review_error_rate_main,retake_error_rate_main,high_total,high_auto_low_missed,high_auto_high,high_review_or_retake,high_risk_not_auto_low_rate,auto_n_metric,auto_accuracy,auto_balanced_accuracy,auto_f1,auto_auc,auto_sensitivity_high,auto_specificity_low,auto_tn,auto_fp,auto_fn,auto_tp
external_strict,quality_v1_guard_margin_agree_acc90_miss10,105,63,23,19,0.6,0.21904761904761905,0.18095238095238095,41,22,0.3170731707317073,0.6363636363636364,0.391304347826087,0.42105263157894735,47,13,14,20,0.723404255319149,63,0.6666666666666666,0.6481481481481481,0.5714285714285714,,0.5185185185185185,0.7777777777777778,28,8,13,14
external_readable_auto,forced_main_all,79,79,0,0,1.0,0.0,0.0,53,26,0.32075471698113206,0.6153846153846154,,,33,17,16,0,0.48484848484848486,79,0.6582278481012658,0.6337285902503293,0.5423728813559322,,0.48484848484848486,0.782608695652174,36,10,17,16
external_readable_auto,consensus_all3,79,41,38,0,0.5189873417721519,0.4810126582278481,0.0,19,22,0.15789473684210525,0.7272727272727273,0.47368421052631576,,33,3,16,14,0.9090909090909091,41,0.7804878048780488,0.784688995215311,0.7804878048780488,,0.8421052631578947,0.7272727272727273,16,6,3,16
external_readable_auto,consensus_162_103,79,46,33,0,0.5822784810126582,0.4177215189873418,0.0,24,22,0.16666666666666666,0.7272727272727273,0.5151515151515151,,33,4,16,13,0.8787878787878788,46,0.782608695652174,0.7846153846153847,0.7619047619047619,,0.8,0.7692307692307693,20,6,4,16
external_readable_auto,consensus_162_107,79,46,33,0,0.5822784810126582,0.4177215189873418,0.0,21,25,0.23809523809523808,0.64,0.3939393939393939,,33,5,16,12,0.8484848484848485,46,0.6956521739130435,0.700952380952381,0.6956521739130435,,0.7619047619047619,0.64,16,9,5,16
external_readable_auto,v1_guard_plain_acc90_miss10,79,21,58,0,0.26582278481012656,0.7341772151898734,0.0,15,6,0.26666666666666666,0.3333333333333333,0.3275862068965517,,33,4,2,27,0.8787878787878788,21,0.6190476190476191,0.5333333333333333,0.3333333333333333,,0.3333333333333333,0.7333333333333333,11,4,4,2
external_readable_auto,v1_guard_plain_acc92_miss10,79,16,63,0,0.20253164556962025,0.7974683544303798,0.0,11,5,0.2727272727272727,0.4,0.3333333333333333,,33,3,2,28,0.9090909090909091,16,0.625,0.5636363636363637,0.4,,0.4,0.7272727272727273,8,3,3,2
external_readable_auto,v1_guard_plain_acc95_miss10,79,15,64,0,0.189873417721519,0.810126582278481,0.0,10,5,0.2,0.4,0.34375,,33,2,2,29,0.9393939393939394,15,0.6666666666666666,0.6136363636363636,0.4444444444444444,,0.5,0.7272727272727273,8,3,2,2
external_readable_auto,v1_guard_balanced_acc90_miss10,79,29,50,0,0.3670886075949367,0.6329113924050633,0.0,21,8,0.2857142857142857,0.375,0.32,,33,6,3,24,0.8181818181818182,29,0.6206896551724138,0.5416666666666666,0.35294117647058826,,0.3333333333333333,0.75,15,5,6,3
external_readable_auto,v1_guard_margin_agree_acc90_miss10,79,64,15,0,0.810126582278481,0.189873417721519,0.0,42,22,0.30952380952380953,0.6363636363636364,0.4,,33,13,14,6,0.6060606060606061,64,0.671875,0.6511511511511512,0.5714285714285714,,0.5185185185185185,0.7837837837837838,29,8,13,14
external_readable_auto,quality_v1_guard_plain_acc90_miss10,79,21,58,0,0.26582278481012656,0.7341772151898734,0.0,15,6,0.26666666666666666,0.3333333333333333,0.3275862068965517,,33,4,2,27,0.8787878787878788,21,0.6190476190476191,0.5333333333333333,0.3333333333333333,,0.3333333333333333,0.7333333333333333,11,4,4,2
external_readable_auto,quality_v1_guard_plain_acc92_miss10,79,16,63,0,0.20253164556962025,0.7974683544303798,0.0,11,5,0.2727272727272727,0.4,0.3333333333333333,,33,3,2,28,0.9090909090909091,16,0.625,0.5636363636363637,0.4,,0.4,0.7272727272727273,8,3,3,2
external_readable_auto,quality_v1_guard_plain_acc95_miss10,79,15,64,0,0.189873417721519,0.810126582278481,0.0,10,5,0.2,0.4,0.34375,,33,2,2,29,0.9393939393939394,15,0.6666666666666666,0.6136363636363636,0.4444444444444444,,0.5,0.7272727272727273,8,3,2,2
external_readable_auto,quality_v1_guard_balanced_acc90_miss10,79,29,50,0,0.3670886075949367,0.6329113924050633,0.0,21,8,0.2857142857142857,0.375,0.32,,33,6,3,24,0.8181818181818182,29,0.6206896551724138,0.5416666666666666,0.35294117647058826,,0.3333333333333333,0.75,15,5,6,3
external_readable_auto,quality_v1_guard_margin_agree_acc90_miss10,79,64,15,0,0.810126582278481,0.189873417721519,0.0,42,22,0.30952380952380953,0.6363636363636364,0.4,,33,13,14,6,0.6060606060606061,64,0.671875,0.6511511511511512,0.5714285714285714,,0.5185185185185185,0.7837837837837838,29,8,13,14
