policy,split,n,control_n,control_rate,auto_n,auto_rate,auto_wrong_n,auto_fn_n,auto_fp_n,captured_wrong_n,remaining_error_n,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,route_auto_pass_n,route_auto_pass_rate,route_model_review_n,route_model_review_rate,route_quality_control_n,route_quality_control_rate,safe_auto_n,safe_auto_rate,safe_auto_inside_v50_review_n
v50_guarded_by_v65_t10_splitstable,development,591,511,0.8646362098138748,80,0.1353637901861252,2,0,2,89,2,0.9966159052453468,0.9972826086956521,1.0,0.9945652173913043,0.9911111111111112,0.9955357142857144,366,2,0,223,80,0.1353637901861252,511,0.8646362098138748,0,0.0,95.0,0.16074450084602368,15.0
v50_main_high_safety,external,108,79,0.7314814814814815,29,0.26851851851851855,3,1,2,29,3,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,29,0.26851851851851855,79,0.7314814814814815,0,0.0,,,
v50_plus_quality82_exploratory,external,108,91,0.8425925925925926,17,0.1574074074074074,1,0,1,31,1,0.9907407407407407,0.9918032786885246,1.0,0.9836065573770492,0.9791666666666666,0.9894736842105264,60,1,0,47,17,0.1574074074074074,71,0.6574074074074074,20,0.18518518518518517,,,
v50_plus_quality88_exploratory,external,108,96,0.8888888888888888,12,0.1111111111111111,0,0,0,32,0,1.0,1.0,1.0,1.0,1.0,1.0,61,0,0,47,12,0.1111111111111111,63,0.5833333333333334,33,0.3055555555555556,,,
v65_t05_direction_devmax_safe_auto_only,external,108,88,0.8148148148148148,20,0.18518518518518517,2,1,1,30,2,0.9814814814814815,0.9811649808161842,0.9787234042553191,0.9836065573770492,0.9787234042553191,0.9787234042553191,60,1,1,46,20,0.18518518518518517,88,0.8148148148148148,0,0.0,20.0,0.18518518518518517,0.0
v50_override_by_v65_t05_direction_devmax,external,108,79,0.7314814814814815,29,0.26851851851851855,3,1,2,29,3,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,29,0.26851851851851855,79,0.7314814814814815,0,0.0,20.0,0.18518518518518517,0.0
v50_guarded_by_v65_t05_direction_devmax,external,108,88,0.8148148148148148,20,0.18518518518518517,2,1,1,30,2,0.9814814814814815,0.9811649808161842,0.9787234042553191,0.9836065573770492,0.9787234042553191,0.9787234042553191,60,1,1,46,20,0.18518518518518517,88,0.8148148148148148,0,0.0,20.0,0.18518518518518517,0.0
v50_override_by_v65_t05_direction_devmax_plus_quality82_exploratory,external,108,91,0.8425925925925926,17,0.1574074074074074,1,0,1,31,1,0.9907407407407407,0.9918032786885246,1.0,0.9836065573770492,0.9791666666666666,0.9894736842105264,60,1,0,47,17,0.1574074074074074,71,0.6574074074074074,20,0.18518518518518517,20.0,0.18518518518518517,9.0
v65_t05_any_zeroerr_safe_auto_only,external,108,94,0.8703703703703703,14,0.12962962962962962,1,1,0,31,1,0.9907407407407407,0.9893617021276595,0.9787234042553191,1.0,1.0,0.989247311827957,61,0,1,46,14,0.12962962962962962,94,0.8703703703703703,0,0.0,14.0,0.12962962962962962,0.0
v50_override_by_v65_t05_any_zeroerr,external,108,79,0.7314814814814815,29,0.26851851851851855,3,1,2,29,3,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,29,0.26851851851851855,79,0.7314814814814815,0,0.0,14.0,0.12962962962962962,0.0
v50_guarded_by_v65_t05_any_zeroerr,external,108,94,0.8703703703703703,14,0.12962962962962962,1,1,0,31,1,0.9907407407407407,0.9893617021276595,0.9787234042553191,1.0,1.0,0.989247311827957,61,0,1,46,14,0.12962962962962962,94,0.8703703703703703,0,0.0,14.0,0.12962962962962962,0.0
v50_override_by_v65_t05_any_zeroerr_plus_quality82_exploratory,external,108,91,0.8425925925925926,17,0.1574074074074074,1,0,1,31,1,0.9907407407407407,0.9918032786885246,1.0,0.9836065573770492,0.9791666666666666,0.9894736842105264,60,1,0,47,17,0.1574074074074074,71,0.6574074074074074,20,0.18518518518518517,14.0,0.12962962962962962,8.0
v65_t10_splitstable_safe_auto_only,external,108,91,0.8425925925925926,17,0.1574074074074074,2,1,1,30,2,0.9814814814814815,0.9811649808161842,0.9787234042553191,0.9836065573770492,0.9787234042553191,0.9787234042553191,60,1,1,46,17,0.1574074074074074,91,0.8425925925925926,0,0.0,17.0,0.1574074074074074,0.0
v50_override_by_v65_t10_splitstable,external,108,79,0.7314814814814815,29,0.26851851851851855,3,1,2,29,3,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,29,0.26851851851851855,79,0.7314814814814815,0,0.0,17.0,0.1574074074074074,0.0
v50_guarded_by_v65_t10_splitstable,external,108,91,0.8425925925925926,17,0.1574074074074074,2,1,1,30,2,0.9814814814814815,0.9811649808161842,0.9787234042553191,0.9836065573770492,0.9787234042553191,0.9787234042553191,60,1,1,46,17,0.1574074074074074,91,0.8425925925925926,0,0.0,17.0,0.1574074074074074,0.0
v50_override_by_v65_t10_splitstable_plus_quality82_exploratory,external,108,91,0.8425925925925926,17,0.1574074074074074,1,0,1,31,1,0.9907407407407407,0.9918032786885246,1.0,0.9836065573770492,0.9791666666666666,0.9894736842105264,60,1,0,47,17,0.1574074074074074,71,0.6574074074074074,20,0.18518518518518517,17.0,0.1574074074074074,8.0
