accuracy,balanced_accuracy,f1,tn,fp,fn,tp,auc,route_name,routed_n,routed_pct,pass_n,pass_acc,routed_acc,hard_core_routed,hard_core_recall,rescue_n,hurt_n,net_rescue,mode,corrector,feature_set,train_scope,classifier,c,corrector_all_acc,corrector_all_bacc
0.887719298245614,0.8880023640661938,0.8896551724137931,124,20,12,129,0.907949172576832,best41_wrong_model_visible_extra,59,0.20701754385964913,226,0.9292035398230089,0.7288135593220338,40,0.6153846153846154,28,13,15,nested_route,dino_model_hard_all_logreg_c03,dino_model,hard_all,logreg,0.3,0.2912280701754386,0.29114952718676124
0.8842105263157894,0.8846778959810875,0.888135593220339,121,23,10,131,0.9120862884160756,best41_wrong_model_visible_extra,56,0.19649122807017544,229,0.9301310043668122,0.6964285714285714,38,0.5846153846153846,29,15,14,nested_route,dino_model_hard_core_logreg_c03,dino_model,hard_core,logreg,0.3,0.25263157894736843,0.2522163120567376
0.8842105263157894,0.8846040189125295,0.8873720136518771,122,22,11,130,0.9104117415287627,best41_fn_model_visible_extra,33,0.11578947368421053,252,0.8888888888888888,0.8484848484848485,18,0.27692307692307694,16,2,14,nested_route,model_hard_all_extra,model,hard_all,extra,0.1,0.3157894736842105,0.31530732860520094
0.8807017543859649,0.8812795508274232,0.8859060402684564,119,25,9,132,0.899576438140268,best41_fn_model_visible_extra,33,0.11578947368421053,252,0.8888888888888888,0.8181818181818182,18,0.27692307692307694,18,5,13,nested_route,dino_model_hard_all_extra,dino_model,hard_all,extra,0.1,0.3017543859649123,0.30149231678487
0.8807017543859649,0.8811317966903074,0.8843537414965986,121,23,11,130,0.894602048857368,best41_fn_model_visible_extra,31,0.10877192982456141,254,0.889763779527559,0.8064516129032258,17,0.26153846153846155,16,3,13,nested_route,model_hard_all_logreg_c03,model,hard_all,logreg,0.3,0.32280701754385965,0.32254728132387706
0.8807017543859649,0.8811317966903074,0.8843537414965986,121,23,11,130,0.9186859732072499,best41_wrong_model_visible_extra,56,0.19649122807017544,229,0.9301310043668122,0.6785714285714286,38,0.5846153846153846,28,15,13,nested_route,dino_model_hard_core_logreg_c01,dino_model,hard_core,logreg,0.1,0.24912280701754386,0.24867021276595747
0.8807017543859649,0.8810579196217494,0.8835616438356164,122,22,12,129,0.9248423955870764,best41_wrong_model_visible_extra,60,0.21052631578947367,225,0.9288888888888889,0.7,40,0.6153846153846154,27,14,13,nested_route,dino_model_hard_core_logreg_c003,dino_model,hard_core,logreg,0.03,0.24912280701754386,0.24859633569739953
0.8807017543859649,0.8809840425531914,0.8827586206896552,123,21,13,128,0.9259751773049646,best41_wrong_model_visible_extra,60,0.21052631578947367,225,0.9288888888888889,0.7,40,0.6153846153846154,27,14,13,nested_route,dino_model_hard_core_logreg_c001,dino_model,hard_core,logreg,0.01,0.24912280701754386,0.24844858156028368
0.8807017543859649,0.8809101654846336,0.8819444444444444,124,20,14,127,0.8988869188337272,best41_fn_model_visible_extra,31,0.10877192982456141,254,0.889763779527559,0.8064516129032258,17,0.26153846153846155,13,0,13,nested_route,model_non_easy_logreg_c001,model,non_easy,logreg,0.01,0.3508771929824561,0.3502511820330969
0.8771929824561403,0.8776595744680851,0.8813559322033898,120,24,11,130,0.9049448384554768,best41_fn_model_visible_extra,33,0.11578947368421053,252,0.8888888888888888,0.7878787878787878,18,0.27692307692307694,16,4,12,nested_route,model_hard_all_logreg_c001,model,hard_all,logreg,0.01,0.30526315789473685,0.3048906619385343
0.8736842105263158,0.8743351063829787,0.88,117,27,9,132,0.9069641449960599,best41_fn_model_visible_extra,32,0.11228070175438597,253,0.8893280632411067,0.75,17,0.26153846153846155,18,7,11,nested_route,model_hard_core_extra,model,hard_core,extra,0.1,0.2912280701754386,0.29129728132387706
