n,stage1_accept_n,stage1_accept_rate,stage2_accept_n,stage2_accept_rate,reject_n,reject_rate,automated_n,automated_rate,rescued_n,hurt_n,rescued_fn_n,rescued_fp_n,hurt_fn_n,hurt_fp_n,stage1_n,stage1_accuracy,stage1_balanced_accuracy,stage1_f1,stage1_sensitivity_high,stage1_specificity_low,stage1_tn,stage1_fp,stage1_fn,stage1_tp,stage1_auc,stage2_n,stage2_accuracy,stage2_balanced_accuracy,stage2_f1,stage2_sensitivity_high,stage2_specificity_low,stage2_tn,stage2_fp,stage2_fn,stage2_tp,stage2_auc,automated_accuracy,automated_balanced_accuracy,automated_f1,automated_sensitivity_high,automated_specificity_low,automated_tn,automated_fp,automated_fn,automated_tp,automated_auc,system_if_reject_corrected_n,system_if_reject_corrected_accuracy,system_if_reject_corrected_balanced_accuracy,system_if_reject_corrected_f1,system_if_reject_corrected_sensitivity_high,system_if_reject_corrected_specificity_low,system_if_reject_corrected_tn,system_if_reject_corrected_fp,system_if_reject_corrected_fn,system_if_reject_corrected_tp,system_if_reject_corrected_auc,feature_set,gate,corrector,target_accept_acc,corrector_conf_min,scope
591,557,0.9424703891708968,34,0.05752961082910321,0,0.0,591,1.0,0,0,0,0,0,0,557,0.8797127468581688,0.8704348182115951,0.8408551068883611,0.8309859154929577,0.9098837209302325,313,31,36,177,0.8792171634457909,34,0.29411764705882354,0.5,0.45454545454545453,1.0,0.0,0,24,0,10,0.6,0.8460236886632826,0.8445542503411971,0.8043010752688172,0.8385650224215246,0.8505434782608695,313,55,36,187,0.8662994735815948,591,0.8460236886632826,0.8445542503411971,0.8043010752688172,0.8385650224215246,0.8505434782608695,313,55,36,187,0.8662994735815948,core,gate_logreg,corr_extra,0.88,0.0,internal_nested_old_third
591,385,0.6514382402707276,206,0.34856175972927245,0,0.0,591,1.0,0,0,0,0,0,0,385,0.8779220779220779,0.8756825162097599,0.8459016393442623,0.8657718120805369,0.885593220338983,209,27,20,129,0.9151973609373223,206,0.7864077669902912,0.7858312858312858,0.725,0.7837837837837838,0.7878787878787878,104,28,16,58,0.8058968058968059,0.8460236886632826,0.8445542503411971,0.8043010752688172,0.8385650224215246,0.8505434782608695,313,55,36,187,0.8877583349580814,591,0.8460236886632826,0.8445542503411971,0.8043010752688172,0.8385650224215246,0.8505434782608695,313,55,36,187,0.8877583349580814,multiview,base_conf_core,corr_extra,0.88,0.0,internal_nested_old_third
591,331,0.560067681895093,260,0.43993231810490696,0,0.0,591,1.0,0,0,0,0,0,0,331,0.9003021148036254,0.8934081070444706,0.8641975308641975,0.8677685950413223,0.919047619047619,193,17,16,105,0.9252656434474616,260,0.7769230769230769,0.7817076197567635,0.7387387387387387,0.803921568627451,0.759493670886076,120,38,20,82,0.8418342020352445,0.8460236886632826,0.8445542503411971,0.8043010752688172,0.8385650224215246,0.8505434782608695,313,55,36,187,0.8977017937219731,591,0.8460236886632826,0.8445542503411971,0.8043010752688172,0.8385650224215246,0.8505434782608695,313,55,36,187,0.8977017937219731,multiview,base_conf_core,corr_extra,0.9,0.0,internal_nested_old_third
591,286,0.48392554991539766,305,0.5160744500846024,0,0.0,591,1.0,0,0,0,0,0,0,286,0.916083916083916,0.9061844863731656,0.8846153846153846,0.8679245283018868,0.9444444444444444,170,10,14,92,0.9342243186582809,305,0.780327868852459,0.7863020549190762,0.7392996108949417,0.811965811965812,0.7606382978723404,143,45,22,95,0.8476086561192944,0.8460236886632826,0.8445542503411971,0.8043010752688172,0.8385650224215246,0.8505434782608695,313,55,36,187,0.900796938974459,591,0.8460236886632826,0.8445542503411971,0.8043010752688172,0.8385650224215246,0.8505434782608695,313,55,36,187,0.900796938974459,multiview,base_conf_core,corr_extra,0.92,0.0,internal_nested_old_third
591,331,0.560067681895093,260,0.43993231810490696,0,0.0,591,1.0,0,1,0,0,1,0,331,0.9003021148036254,0.8934081070444706,0.8641975308641975,0.8677685950413223,0.919047619047619,193,17,16,105,0.9252656434474616,260,0.7730769230769231,0.7768056589724497,0.7330316742081447,0.7941176470588235,0.759493670886076,120,38,21,81,0.844626458178208,0.8443316412859561,0.8423120978748293,0.8017241379310345,0.8340807174887892,0.8505434782608695,313,55,37,186,0.8931078182881654,591,0.8443316412859561,0.8423120978748293,0.8017241379310345,0.8340807174887892,0.8505434782608695,313,55,37,186,0.8931078182881654,core,base_conf_core,corr_logreg,0.9,0.0,internal_nested_old_third
591,385,0.6514382402707276,206,0.34856175972927245,0,0.0,591,1.0,2,3,0,2,3,0,385,0.8779220779220779,0.8756825162097599,0.8459016393442623,0.8657718120805369,0.885593220338983,209,27,20,129,0.9151973609373223,206,0.7815533980582524,0.7731367731367731,0.7096774193548387,0.7432432432432432,0.803030303030303,106,26,19,55,0.7990376740376741,0.8443316412859561,0.8405451842464418,0.8,0.8251121076233184,0.8559782608695652,315,53,39,184,0.8753533827256774,591,0.8443316412859561,0.8405451842464418,0.8,0.8251121076233184,0.8559782608695652,315,53,39,184,0.8753533827256774,multiview,base_conf_core,corr_logreg,0.88,0.0,internal_nested_old_third
591,500,0.8460236886632826,91,0.15397631133671744,0,0.0,591,1.0,20,11,0,20,9,2,500,0.896,0.8782915198009538,0.8505747126436781,0.8131868131868132,0.9433962264150944,300,18,34,148,0.8873971940009675,91,0.6703296703296703,0.6758536585365853,0.6666666666666666,0.7317073170731707,0.62,31,19,11,30,0.7521951219512196,0.8494077834179357,0.8393205303178007,0.8,0.7982062780269058,0.8804347826086957,324,44,45,178,0.8643010333398323,591,0.8494077834179357,0.8393205303178007,0.8,0.7982062780269058,0.8804347826086957,324,44,45,178,0.8643010333398323,multiview,gate_logreg,corr_logreg,0.9,0.0,internal_nested_old_third
591,331,0.560067681895093,260,0.43993231810490696,0,0.0,591,1.0,1,3,0,1,3,0,331,0.9003021148036254,0.8934081070444706,0.8641975308641975,0.8677685950413223,0.919047619047619,193,17,16,105,0.9252656434474616,260,0.7692307692307693,0.7701662943658476,0.7247706422018348,0.7745098039215687,0.7658227848101266,121,37,23,79,0.8482253660958055,0.8426395939086294,0.8391864885942679,0.7982646420824295,0.8251121076233184,0.8532608695652174,314,54,39,184,0.890183271592903,591,0.8426395939086294,0.8391864885942679,0.7982646420824295,0.8251121076233184,0.8532608695652174,314,54,39,184,0.890183271592903,multiview,base_conf_core,corr_logreg,0.9,0.0,internal_nested_old_third
591,286,0.48392554991539766,305,0.5160744500846024,0,0.0,591,1.0,1,3,0,1,3,0,286,0.916083916083916,0.9061844863731656,0.8846153846153846,0.8679245283018868,0.9444444444444444,170,10,14,92,0.9342243186582809,305,0.7737704918032787,0.7761411165666485,0.7272727272727273,0.7863247863247863,0.7659574468085106,144,44,25,92,0.8390616475722859,0.8426395939086294,0.8391864885942679,0.7982646420824295,0.8251121076233184,0.8532608695652174,314,54,39,184,0.884772860206668,591,0.8426395939086294,0.8391864885942679,0.7982646420824295,0.8251121076233184,0.8532608695652174,314,54,39,184,0.884772860206668,multiview,base_conf_core,corr_logreg,0.92,0.0,internal_nested_old_third
591,550,0.9306260575296108,41,0.06937394247038917,0,0.0,591,1.0,6,3,0,6,3,0,550,0.8745454545454545,0.8640768446106766,0.8296296296296296,0.8235294117647058,0.9046242774566474,313,33,36,168,0.8747166496656467,41,0.5365853658536586,0.5574162679425837,0.6274509803921569,0.8421052631578947,0.2727272727272727,6,16,3,16,0.722488038277512,0.8426395939086294,0.8391864885942679,0.7982646420824295,0.8251121076233184,0.8532608695652174,314,54,39,184,0.8675789627607721,591,0.8426395939086294,0.8391864885942679,0.7982646420824295,0.8251121076233184,0.8532608695652174,314,54,39,184,0.8675789627607721,multiview,gate_logreg,corr_extra,0.88,0.0,internal_nested_old_third
591,446,0.754653130287648,145,0.24534686971235195,0,0.0,591,1.0,24,18,0,24,11,7,446,0.8878923766816144,0.8668927143105547,0.8366013071895425,0.7901234567901234,0.9436619718309859,268,16,34,128,0.8890193009911319,145,0.7586206896551724,0.7624902419984387,0.732824427480916,0.7868852459016393,0.7380952380952381,62,22,13,48,0.8278688524590163,0.8443316412859561,0.8317106161045038,0.7909090909090909,0.7802690582959642,0.8831521739130435,325,43,49,174,0.8741470072138818,591,0.8443316412859561,0.8317106161045038,0.7909090909090909,0.7802690582959642,0.8831521739130435,325,43,49,174,0.8741470072138818,multiview,gate_logreg,corr_logreg,0.92,0.0,internal_nested_old_third
