align,pca_components,pca_explained,model,weighting,pseudo,threshold_objective,old_cv_threshold,old_cv_threshold_score,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_auc,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_auc,strict_accuracy,strict_balanced_accuracy,strict_f1,strict_tn,strict_fp,strict_fn,strict_tp,strict_auc
mean,32,0.8516907691955566,svc_c1,none,none,balanced_accuracy,0.4699999999999999,0.6432476359338062,0.6421052631578947,0.6432476359338062,0.6751592356687898,77,67,35,106,0.6626773049645389,0.5462962962962963,0.5592954307638647,0.5585585585585585,28,33,16,31,0.5418555981862574,0.5333333333333333,0.5453044754218634,0.5585585585585585,25,33,16,31,0.5280630961115187
coral,32,0.8516451120376587,logreg_c01,none,p80,balanced_accuracy,0.49999999999999994,0.6631944444444444,0.6631578947368421,0.6631944444444444,0.6619718309859155,95,49,47,94,0.6936564223798266,0.5462962962962963,0.5592954307638647,0.5585585585585585,28,33,16,31,0.5688873386815487,0.5333333333333333,0.5453044754218634,0.5585585585585585,25,33,16,31,0.5520909757887014
diag,200,0.9999926686286926,logreg_c01,none,none,balanced_accuracy,0.6799999999999999,0.6018026004728132,0.6035087719298246,0.6018026004728132,0.5232067510548524,110,34,79,62,0.6048561859732072,0.5740740740740741,0.5521450994070457,0.43902439024390244,44,17,29,18,0.5922567143355424,0.5619047619047619,0.5449376375641966,0.43902439024390244,41,17,29,18,0.5766691122523845
diag,200,0.9999927282333374,extra_d5,none,none,balanced_accuracy,0.4799999999999999,0.515588061465721,0.512280701754386,0.515588061465721,0.6273458445040214,29,115,24,117,0.4937943262411348,0.5,0.5476107429368678,0.6142857142857143,11,50,4,43,0.5779560516219044,0.5047619047619047,0.5436537050623624,0.6231884057971014,10,48,4,43,0.5608950843727072
coral,32,0.8516833782196045,extra_d5,top5sim,none,balanced_accuracy,0.49999999999999994,0.614878841607565,0.6140350877192983,0.614878841607565,0.6405228758169934,77,67,43,98,0.6110618597320724,0.5462962962962963,0.5568538542029997,0.5504587155963303,29,32,17,30,0.5497035228461806,0.5333333333333333,0.5432868672046955,0.5504587155963303,26,32,17,30,0.5359501100513573
none,200,0.9999929666519165,logreg_c01,top5sim,none,balanced_accuracy,0.8699999999999999,0.5265957446808511,0.5298245614035088,0.5265957446808511,0.3163265306122449,120,24,110,31,0.5050236406619386,0.5740740740740741,0.5472619462853157,0.41025641025641024,46,15,31,16,0.5776072549703524,0.5619047619047619,0.5409024211298606,0.41025641025641024,43,15,31,16,0.5711665443873808
coral,200,0.9999929070472717,logreg_c01,maxsim,none,balanced_accuracy,0.69,0.5948581560283688,0.5964912280701754,0.5948581560283688,0.5188284518828452,108,36,79,62,0.5996847911741529,0.5740740740740741,0.5472619462853157,0.41025641025641024,46,15,31,16,0.5741192884548308,0.5619047619047619,0.5409024211298606,0.41025641025641024,43,15,31,16,0.5572267057960382
coral,128,0.9999476671218872,rf_d5,none,p90,balanced_accuracy,0.5099999999999999,0.5856235224586288,0.5859649122807018,0.5856235224586288,0.5693430656934306,89,55,63,78,0.5956954294720251,0.5555555555555556,0.550401116149285,0.5,36,25,23,24,0.5343564701778863,0.5428571428571428,0.5398019075568599,0.5,33,25,23,24,0.5308143800440206
none,32,0.8517104387283325,rf_d5,maxsim,none,balanced_accuracy,0.4599999999999999,0.5880614657210402,0.5859649122807018,0.5880614657210402,0.6529411764705882,56,88,30,111,0.5953999211977936,0.5092592592592593,0.5509243111266132,0.6074074074074074,14,47,6,41,0.5957446808510638,0.5047619047619047,0.5396184886280264,0.6119402985074627,12,46,6,41,0.5862068965517242
none,64,0.9599681496620178,rf_d5,none,p85,balanced_accuracy,0.5199999999999999,0.6129580378250591,0.6140350877192983,0.6129580378250591,0.5669291338582677,103,41,69,72,0.649576438140268,0.5833333333333334,0.5432507847924659,0.3283582089552239,52,9,36,11,0.5776072549703523,0.5714285714285714,0.539435069699193,0.3283582089552239,49,9,36,11,0.5689655172413792
none,128,0.999947726726532,logreg_c001,maxsim,none,balanced_accuracy,0.4799999999999999,0.5862884160756501,0.5859649122807018,0.5862884160756501,0.5958904109589042,80,64,54,87,0.5817080378250591,0.5740740740740741,0.5448203697244507,0.39473684210526316,47,14,32,15,0.5235437739797699,0.5619047619047619,0.5388848129126926,0.39473684210526316,44,14,32,15,0.5146735143066764
none,64,0.9599977135658264,extra_d5,maxsim,none,balanced_accuracy,0.4799999999999999,0.5675975177304964,0.5649122807017544,0.5675975177304964,0.651685393258427,45,99,25,116,0.5819542947202522,0.5277777777777778,0.5551098709452389,0.5853658536585366,21,40,11,36,0.5444715730728985,0.5142857142857142,0.5381511371973587,0.5853658536585366,18,40,11,36,0.5275128393250184
coral,128,0.9999480843544006,rf_d5,none,none,balanced_accuracy,0.5099999999999999,0.5675236406619385,0.5684210526315789,0.5675236406619385,0.525096525096525,94,50,73,68,0.5620567375886525,0.5555555555555556,0.5479595395884199,0.48936170212765956,37,24,24,23,0.5211021974189048,0.5428571428571428,0.5377842993396919,0.48936170212765956,34,24,24,23,0.5132061628760088
none,32,0.8516864776611328,extra_d5,maxsim,none,balanced_accuracy,0.5099999999999999,0.5961140661938534,0.5964912280701754,0.5961140661938534,0.5787545787545788,91,53,62,79,0.6211583924349883,0.5462962962962963,0.5495291245204046,0.5242718446601942,32,29,20,27,0.55772584583188,0.5333333333333333,0.5372340425531915,0.5242718446601942,29,29,20,27,0.5425531914893617
coral,32,0.8517258167266846,logreg_c01,top5sim,none,balanced_accuracy,0.48999999999999994,0.6703605200945626,0.6701754385964912,0.6703605200945626,0.6736111111111112,94,50,44,97,0.6861209613869188,0.5370370370370371,0.5510987094523893,0.5535714285714286,27,34,16,31,0.5783048482734565,0.5238095238095238,0.5366837857666911,0.5535714285714286,24,34,16,31,0.5627292736610419
diag,32,0.8517554402351379,extra_d5,none,none,balanced_accuracy,0.4799999999999999,0.6128841607565012,0.6105263157894737,0.6128841607565012,0.6801152737752162,56,88,23,118,0.6263790386130811,0.5277777777777778,0.5526682943843739,0.5785123966942148,22,39,12,35,0.5619114056505057,0.5142857142857142,0.5361335289801907,0.5785123966942148,19,39,12,35,0.54512105649303
mean,128,0.9999479055404663,svc_c1,none,none,balanced_accuracy,0.5399999999999999,0.5433658392434988,0.5473684210526316,0.5433658392434988,0.26285714285714284,133,11,118,23,0.5450157604412924,0.5925925925925926,0.5367980467387513,0.18518518518518517,59,2,42,5,0.5441227764213463,0.580952380952381,0.5359501100513573,0.18518518518518517,56,2,42,5,0.5399853264856933
coral,128,0.9999480247497559,logreg_c001,none,none,balanced_accuracy,0.5099999999999999,0.6307624113475178,0.631578947368421,0.6307624113475178,0.5977011494252874,102,42,63,78,0.6319444444444444,0.5555555555555556,0.545517963027555,0.4782608695652174,38,23,25,22,0.5350540634809906,0.5428571428571428,0.5357666911225238,0.4782608695652174,35,23,25,22,0.520542920029347
coral,128,0.9999479055404663,logreg_c001,top5sim,none,balanced_accuracy,0.5199999999999999,0.6380762411347518,0.6385964912280702,0.6380762411347518,0.6171003717472119,99,45,58,83,0.6376576044129236,0.5555555555555556,0.545517963027555,0.4782608695652174,38,23,25,22,0.5427275898151378,0.5428571428571428,0.5357666911225238,0.4782608695652174,35,23,25,22,0.5264123257520176
coral,128,0.9999478459358215,logreg_c001,none,p85,balanced_accuracy,0.5099999999999999,0.6488622931442081,0.6491228070175439,0.6488622931442081,0.6376811594202898,97,47,53,88,0.6566686367218282,0.5555555555555556,0.545517963027555,0.4782608695652174,38,23,25,22,0.5319148936170213,0.5428571428571428,0.5357666911225238,0.4782608695652174,35,23,25,22,0.516874541452678
mean,64,0.9599568843841553,logreg_c01,none,none,balanced_accuracy,0.4499999999999999,0.6357860520094563,0.6350877192982456,0.6357860520094563,0.6556291390728477,82,62,42,99,0.6714440504334122,0.5370370370370371,0.5388908266480642,0.5098039215686274,32,29,21,26,0.5106382978723405,0.5333333333333333,0.5352164343360235,0.5148514851485149,30,28,21,26,0.5069699192956714
none,128,0.9999479651451111,extra_d5,none,p80,balanced_accuracy,0.48999999999999994,0.5701093380614657,0.5684210526315789,0.5701093380614657,0.6261398176291794,59,85,38,103,0.5715130023640662,0.5370370370370371,0.5388908266480642,0.5098039215686274,32,29,21,26,0.569584931984653,0.5333333333333333,0.5352164343360235,0.5148514851485149,30,28,21,26,0.5619955979457081
none,32,0.8516764044761658,extra_d5,none,p90,balanced_accuracy,0.5199999999999999,0.5980348699763594,0.6,0.5980348699763594,0.5043478260869565,113,31,83,58,0.6248029944838456,0.5740740740740741,0.5399372166027206,0.3611111111111111,49,12,34,13,0.5587722357865366,0.5619047619047619,0.5348495964783566,0.3611111111111111,46,12,34,13,0.545487894350697
diag,32,0.8516028523445129,rf_d5,none,none,balanced_accuracy,0.4499999999999999,0.6444296690307328,0.6421052631578947,0.6444296690307328,0.7052023121387283,61,83,19,122,0.6561268715524033,0.5092592592592593,0.5435995814440181,0.5891472868217055,17,44,9,38,0.5671433554237879,0.5047619047619047,0.5335656639765224,0.59375,15,43,9,38,0.5502567865003669
diag,128,0.9999477863311768,rf_d5,none,none,balanced_accuracy,0.4599999999999999,0.5750591016548463,0.5719298245614035,0.5750591016548463,0.6684782608695652,40,104,18,123,0.5882092198581561,0.49074074074074076,0.5369724450645273,0.60431654676259,11,50,5,42,0.5723753051970701,0.49523809523809526,0.5330154071900219,0.6131386861313869,10,48,5,42,0.5656639765223771
