group,n,n_low,n_high,auc,accuracy,balanced_accuracy,f1,sensitivity,specificity,tn,fp,fn,tp,config,routed_n,rescue_n,hurt_n,net_rescue,objective,train_groups,route_hard_core_precision,route_hard_core_recall
overall,285,144,141,0.7351260835303387,0.6596491228070176,0.6594267139479906,0.6498194945848376,0.6382978723404256,0.6805555555555556,98,46,51,90,upper__img_stack_gross_core__train_hardcore__apply_strong_conflict_or_range__f1,141,21,52,-31,f1,hard_core,0.28368794326241137,0.6153846153846154
overall,285,144,141,0.7149330181245074,0.6526315789473685,0.6524822695035462,0.6451612903225806,0.6382978723404256,0.6666666666666666,96,48,51,90,upper__img_stack_gross_core__train_hardcore__apply_gross_conflict__balanced_accuracy,155,21,54,-33,balanced_accuracy,hard_core,0.2903225806451613,0.6923076923076923
overall,285,144,141,0.7116331757289204,0.6491228070175439,0.6501920803782506,0.6794871794871795,0.75177304964539,0.5486111111111112,79,65,35,106,upper__img_stack_gross_core__train_allhard__apply_gross_conflict__f1,155,19,53,-34,f1,hard_core|hard_salvage_teacher,0.2903225806451613,0.6923076923076923
overall,285,144,141,0.7149330181245074,0.6491228070175439,0.6490839243498818,0.6453900709219859,0.6453900709219859,0.6527777777777778,94,50,50,91,upper__img_stack_gross_core__train_hardcore__apply_gross_conflict__f1,155,21,55,-34,f1,hard_core,0.2903225806451613,0.6923076923076923
overall,285,144,141,0.7274428684003152,0.6421052631578947,0.6422133569739953,0.6433566433566433,0.6524822695035462,0.6319444444444444,91,53,49,92,upper__img_stack_gross_core__train_allhard__apply_strong_conflict_or_range__balanced_accuracy,141,15,51,-36,balanced_accuracy,hard_core|hard_salvage_teacher,0.28368794326241137,0.6153846153846154
overall,285,144,141,0.7301516942474389,0.6385964912280702,0.6393321513002364,0.6600660066006601,0.7092198581560284,0.5694444444444444,82,62,41,100,upper__img_stack_gross_core__train_allhard__apply_strong_conflict_or_range__f1,141,12,49,-37,f1,hard_core|hard_salvage_teacher,0.28368794326241137,0.6153846153846154
overall,285,144,141,0.7002068557919622,0.624561403508772,0.6257387706855791,0.6603174603174603,0.7375886524822695,0.5138888888888888,74,70,37,104,upper__img_stack_gross_core__train_allhard__apply_disagree_or_gross_conflict__f1,169,19,60,-41,f1,hard_core|hard_salvage_teacher,0.2781065088757396,0.7230769230769231
overall,285,144,141,0.6994188337273444,0.624561403508772,0.6250738770685579,0.6397306397306397,0.6737588652482269,0.5763888888888888,83,61,46,95,upper__img_stack_gross_core__train_allhard__apply_disagree_or_gross_conflict__balanced_accuracy,169,22,63,-41,balanced_accuracy,hard_core|hard_salvage_teacher,0.2781065088757396,0.7230769230769231
overall,285,144,141,0.7021769109535066,0.624561403508772,0.6244828605200945,0.6192170818505338,0.6170212765957447,0.6319444444444444,91,53,54,87,upper__img_stack_gross_core__train_hardcore__apply_disagree_or_gross_conflict__balanced_accuracy,169,23,64,-41,balanced_accuracy,hard_core,0.2781065088757396,0.7230769230769231
overall,285,144,141,0.7021769109535066,0.6210526315789474,0.6210845153664303,0.6197183098591549,0.624113475177305,0.6180555555555556,89,55,53,88,upper__img_stack_gross_core__train_hardcore__apply_disagree_or_gross_conflict__f1,169,23,65,-42,f1,hard_core,0.2781065088757396,0.7230769230769231
overall,285,144,141,0.6613475177304965,0.5894736842105263,0.5893173758865249,0.5806451612903226,0.574468085106383,0.6041666666666666,87,57,60,81,upper__img_stack_gross_core__train_hardcore__apply_lowmargin_or_gross_conflict__balanced_accuracy,190,20,71,-51,balanced_accuracy,hard_core,0.2736842105263158,0.8
overall,285,144,141,0.6571611505122144,0.5824561403508772,0.5838504728132388,0.6292834890965732,0.7163120567375887,0.4513888888888889,65,79,40,101,upper__img_stack_gross_core__train_allhard__apply_lowmargin_or_gross_conflict__f1,190,20,73,-53,f1,hard_core|hard_salvage_teacher,0.2736842105263158,0.8
overall,285,144,141,0.6613475177304965,0.5789473684210527,0.5789007092198581,0.574468085106383,0.574468085106383,0.5833333333333334,84,60,60,81,upper__img_stack_gross_core__train_hardcore__apply_lowmargin_or_gross_conflict__f1,190,20,74,-54,f1,hard_core,0.2736842105263158,0.8
overall,285,144,141,0.6510539795114262,0.5649122807017544,0.5655289598108747,0.5866666666666667,0.624113475177305,0.5069444444444444,73,71,53,88,upper__img_stack_gross_core__train_allhard__apply_lowmargin_or_gross_conflict__balanced_accuracy,190,22,80,-58,balanced_accuracy,hard_core|hard_salvage_teacher,0.2736842105263158,0.8
overall,285,144,141,0.5069444444444444,0.5157894736842106,0.5160313238770686,0.5241379310344828,0.5390070921985816,0.4930555555555556,71,73,65,76,upper__img_stack_gross_core__train_hardcore__apply_all_cases__f1,285,38,110,-72,f1,hard_core,0.22807017543859648,1.0
overall,285,144,141,0.5069444444444444,0.512280701754386,0.5123374704491725,0.512280701754386,0.5177304964539007,0.5069444444444444,73,71,68,73,upper__img_stack_gross_core__train_hardcore__apply_all_cases__balanced_accuracy,285,38,111,-73,balanced_accuracy,hard_core,0.22807017543859648,1.0
overall,285,144,141,0.4882289204097715,0.4842105263157895,0.48633274231678486,0.5689149560117303,0.6879432624113475,0.2847222222222222,41,103,44,97,upper__img_stack_gross_core__train_allhard__apply_all_cases__f1,285,31,112,-81,f1,hard_core|hard_salvage_teacher,0.22807017543859648,1.0
overall,285,144,141,0.4902482269503545,0.4842105263157895,0.48529846335697396,0.5303514376996805,0.5886524822695035,0.3819444444444444,55,89,58,83,upper__img_stack_gross_core__train_allhard__apply_all_cases__balanced_accuracy,285,35,116,-81,balanced_accuracy,hard_core|hard_salvage_teacher,0.22807017543859648,1.0
