accuracy,balanced_accuracy,f1,tn,fp,fn,tp,route_col,corrector_name,objective,routed_n,routed_pct,pass_n,pass_acc,routed_acc,hard_core_routed,hard_core_recall,rescue_n,hurt_n,net_rescue
0.8280701754385965,0.8277186761229315,0.8205128205128205,124,20,29,112,route_score__best41_fp__model_visible__logreg,corrector_hard_gross_text_hand,accuracy,14,0.04912280701754386,271,0.8450184501845018,0.5,8,0.12307692307692308,0,2,-2
0.8280701754385965,0.8277186761229315,0.8205128205128205,124,20,29,112,route_score__best41_fp__model_visible__logreg,corrector_hard_gross_text_hand,balanced_accuracy,14,0.04912280701754386,271,0.8450184501845018,0.5,8,0.12307692307692308,0,2,-2
0.8280701754385965,0.8276447990543736,0.8191881918819188,125,19,30,111,route_score__best41_fp__model_visible__logreg,corrector_hard_gross_text_hand,pass90_accuracy,16,0.056140350877192984,269,0.8475836431226765,0.5,9,0.13846153846153847,1,3,-2
0.8245614035087719,0.8246897163120568,0.8251748251748252,117,27,23,118,route_score__best41_fn__model_visible__logreg,corrector_hard_gross_text_hand,accuracy,19,0.06666666666666667,266,0.849624060150376,0.47368421052631576,12,0.18461538461538463,5,8,-3
0.8245614035087719,0.8246897163120568,0.8251748251748252,117,27,23,118,route_score__best41_fn__model_visible__logreg,corrector_hard_gross_text_hand,balanced_accuracy,19,0.06666666666666667,266,0.849624060150376,0.47368421052631576,12,0.18461538461538463,5,8,-3
0.8245614035087719,0.8245419621749408,0.8226950354609929,119,25,25,116,route_score__best41_wrong__gross_hand_model__extra,corrector_all_gross_text_hand_model,pass90_accuracy,62,0.21754385964912282,223,0.9147982062780269,0.5,41,0.6307692307692307,5,8,-3
0.8245614035087719,0.824468085106383,0.8214285714285714,120,24,26,115,route_score__best41_fn__model_visible__extra,corrector_all_gross_text_hand_model,accuracy,11,0.03859649122807018,274,0.8467153284671532,0.2727272727272727,5,0.07692307692307693,1,4,-3
0.8245614035087719,0.824468085106383,0.8214285714285714,120,24,26,115,route_score__best41_fn__model_visible__extra,corrector_all_gross_text_hand_model,pass90_accuracy,20,0.07017543859649122,265,0.8528301886792453,0.45,12,0.18461538461538463,2,5,-3
0.8245614035087719,0.824468085106383,0.8214285714285714,120,24,26,115,route_score__best41_fn__model_visible__extra,corrector_all_gross_text_hand_model,balanced_accuracy,11,0.03859649122807018,274,0.8467153284671532,0.2727272727272727,5,0.07692307692307693,1,4,-3
0.8245614035087719,0.824468085106383,0.8214285714285714,120,24,26,115,route_score__best41_fn__gross_hand_model__extra,corrector_all_gross_text_hand_model,accuracy,11,0.03859649122807018,274,0.843065693430657,0.36363636363636365,4,0.06153846153846154,1,4,-3
0.8245614035087719,0.824468085106383,0.8214285714285714,120,24,26,115,route_score__best41_fn__gross_hand_model__extra,corrector_all_gross_text_hand_model,balanced_accuracy,11,0.03859649122807018,274,0.843065693430657,0.36363636363636365,4,0.06153846153846154,1,4,-3
0.8245614035087719,0.824394208037825,0.8201438848920863,121,23,27,114,route_score__best41_wrong__gross_hand_model__logreg,corrector_all_gross_text_hand_model,accuracy,23,0.08070175438596491,262,0.8473282442748091,0.5652173913043478,13,0.2,1,4,-3
0.8245614035087719,0.824394208037825,0.8201438848920863,121,23,27,114,route_score__best41_wrong__gross_hand_model__logreg,corrector_all_gross_text_hand_model,balanced_accuracy,23,0.08070175438596491,262,0.8473282442748091,0.5652173913043478,13,0.2,1,4,-3
0.8245614035087719,0.8243203309692672,0.8188405797101449,122,22,28,113,route_score__hard_core__gross_hand_model__logreg,corrector_all_gross_text_hand_model,accuracy,11,0.03859649122807018,274,0.8357664233576643,0.5454545454545454,5,0.07692307692307693,0,3,-3
0.8245614035087719,0.8243203309692672,0.8188405797101449,122,22,28,113,route_score__hard_core__gross_hand_model__logreg,corrector_all_gross_text_hand_model,balanced_accuracy,11,0.03859649122807018,274,0.8357664233576643,0.5454545454545454,5,0.07692307692307693,0,3,-3
0.8245614035087719,0.8242464539007093,0.8175182481751825,123,21,29,112,route_score__hard_core__model_visible__logreg,corrector_hard_gross_text_hand,accuracy,60,0.21052631578947367,225,0.9111111111111111,0.5,45,0.6923076923076923,11,14,-3
0.8245614035087719,0.8242464539007093,0.8175182481751825,123,21,29,112,route_score__hard_core__model_visible__logreg,corrector_hard_gross_text_hand,balanced_accuracy,60,0.21052631578947367,225,0.9111111111111111,0.5,45,0.6923076923076923,11,14,-3
0.8210526315789474,0.8209958628841607,0.8185053380782918,119,25,26,115,route_score__best41_wrong__model_visible__extra,corrector_all_gross_text_hand_model,accuracy,31,0.10877192982456141,254,0.8779527559055118,0.3548387096774194,22,0.3384615384615385,2,6,-4
0.8210526315789474,0.8209958628841607,0.8185053380782918,119,25,26,115,route_score__best41_wrong__model_visible__extra,corrector_all_gross_text_hand_model,balanced_accuracy,31,0.10877192982456141,254,0.8779527559055118,0.3548387096774194,22,0.3384615384615385,2,6,-4
0.8210526315789474,0.8209958628841607,0.8185053380782918,119,25,26,115,route_score__best41_wrong__gross_hand_model__logreg,corrector_all_gross_text_hand_model,pass90_accuracy,69,0.24210526315789474,216,0.8981481481481481,0.5797101449275363,37,0.5692307692307692,4,8,-4
0.8210526315789474,0.820848108747045,0.8158844765342961,121,23,28,113,route_score__hard_core__model_visible__logreg,corrector_all_gross_text_hand_model,accuracy,22,0.07719298245614035,263,0.8479087452471483,0.5,11,0.16923076923076924,1,5,-4
0.8210526315789474,0.820848108747045,0.8158844765342961,121,23,28,113,route_score__hard_core__model_visible__logreg,corrector_all_gross_text_hand_model,pass90_accuracy,64,0.22456140350877193,221,0.9230769230769231,0.46875,48,0.7384615384615385,4,8,-4
