analysis,feature,value,wrong_rate,relative_wrong_rate,n,acc,bacc,tn,fp,fn,tp,fn_rate_high,fp_rate_low
development,multi_image_group,single,0.12521150592216582,1.0,591,0.8747884940778342,0.8632347923571846,335,33,41,182,0.18385650224215247,0.08967391304347826
development,contrast_std_quartile,Q3,0.12380952380952381,0.9888030888030889,105,0.8761904761904762,0.8711538461538462,58,7,6,34,0.15,0.1076923076923077
development,border_blue_ratio_quartile,Q3,0.11428571428571428,0.9127413127413128,105,0.8857142857142857,0.8686406995230525,63,5,7,30,0.1891891891891892,0.07352941176470588
development,brightness_mean_quartile,Q2,0.11320754716981132,0.9041305456399796,106,0.8867924528301887,0.8575452716297787,67,4,8,27,0.22857142857142856,0.056338028169014086
development,subject_area_proxy_quartile,Q2,0.11320754716981132,0.9041305456399796,106,0.8867924528301887,0.8834459459459459,66,8,4,28,0.125,0.10810810810810811
development,task_l6_label,B1,0.11290322580645161,0.9017000871839581,62,0.8870967741935484,,55,7,0,0,,0.11290322580645161
development,border_blue_ratio_quartile,Q4_high,0.10377358490566038,0.8287863335033147,106,0.8962264150943396,0.8604301075268816,71,4,7,24,0.22580645161290322,0.05333333333333334
development,red_tissue_ratio_quartile,Q3,0.09523809523809523,0.7606177606177607,105,0.9047619047619048,0.8855066771406127,64,3,7,31,0.18421052631578946,0.04477611940298507
development,core_agree_all,1,0.09448818897637795,0.7546286443924239,381,0.905511811023622,0.8850590623846437,239,13,23,106,0.17829457364341086,0.051587301587301584
development,core_agree_count,3,0.09448818897637795,0.7546286443924239,381,0.905511811023622,0.8850590623846437,239,13,23,106,0.17829457364341086,0.051587301587301584
development,brightness_mean_quartile,Q4_high,0.09433962264150944,0.7534421213666498,106,0.9056603773584906,0.9006036217303823,65,6,4,31,0.11428571428571428,0.08450704225352113
development,task_l6_label,A,0.09090909090909091,0.7260442260442261,44,0.9090909090909091,,40,4,0,0,,0.09090909090909091
development,task_l7_label,low_risk_group,0.08967391304347826,0.7161794947121034,368,0.9103260869565217,,335,33,0,0,,0.08967391304347826
development,file_kb_quartile,Q4_high,0.08490566037735849,0.6780979092299847,106,0.9150943396226415,0.9076458752515091,66,5,4,31,0.11428571428571428,0.07042253521126761
development,task_l6_label,AB,0.08396946564885496,0.6706210026820714,262,0.916030534351145,,240,22,0,0,,0.08396946564885496
development,file_kb_quartile,missing,0.08333333333333333,0.6655405405405406,168,0.9166666666666666,0.9166666666666667,79,5,9,75,0.10714285714285714,0.05952380952380952
development,brightness_mean_quartile,missing,0.08333333333333333,0.6655405405405406,168,0.9166666666666666,0.9166666666666667,79,5,9,75,0.10714285714285714,0.05952380952380952
development,contrast_std_quartile,missing,0.08333333333333333,0.6655405405405406,168,0.9166666666666666,0.9166666666666667,79,5,9,75,0.10714285714285714,0.05952380952380952
development,saturation_mean_quartile,missing,0.08333333333333333,0.6655405405405406,168,0.9166666666666666,0.9166666666666667,79,5,9,75,0.10714285714285714,0.05952380952380952
development,border_blue_ratio_quartile,missing,0.08333333333333333,0.6655405405405406,168,0.9166666666666666,0.9166666666666667,79,5,9,75,0.10714285714285714,0.05952380952380952
development,subject_area_proxy_quartile,missing,0.08333333333333333,0.6655405405405406,168,0.9166666666666666,0.9166666666666667,79,5,9,75,0.10714285714285714,0.05952380952380952
development,red_tissue_ratio_quartile,missing,0.08333333333333333,0.6655405405405406,168,0.9166666666666666,0.9166666666666667,79,5,9,75,0.10714285714285714,0.05952380952380952
development,task_l6_label,B3,0.08333333333333333,0.6655405405405406,24,0.9166666666666666,,0,0,2,22,0.08333333333333333,
development,domain,old,0.07719298245614035,0.6165007112375533,285,0.9228070175438596,0.9227245862884161,134,10,12,129,0.0851063829787234,0.06944444444444445
development,third_split,old,0.07719298245614035,0.6165007112375533,285,0.9228070175438596,0.9227245862884161,134,10,12,129,0.0851063829787234,0.06944444444444445
development,saturation_mean_quartile,Q4_high,0.07547169811320754,0.6027536970933197,106,0.9245283018867925,0.9044261652957305,67,2,6,31,0.16216216216216217,0.028985507246376812
development,view_type_final,unlabeled_old,0.06607929515418502,0.5277413977854507,227,0.933920704845815,0.9343301435406699,123,9,6,89,0.06315789473684211,0.06818181818181818
