policy,family,name,budget,base_budget,addon_candidate,addon_rate,dev_accuracy,dev_balanced_accuracy,dev_sensitivity,dev_specificity,dev_precision,dev_f1,dev_tn,dev_fp,dev_fn,dev_tp,dev_review_n,dev_review_rate,dev_captured_wrong_n,dev_captured_fn_n,dev_captured_fp_n,dev_remaining_error_n,dev_review_precision_vs_p2_error,external_accuracy,external_balanced_accuracy,external_sensitivity,external_specificity,external_precision,external_f1,external_tn,external_fp,external_fn,external_tp,external_review_n,external_review_rate,external_captured_wrong_n,external_captured_fn_n,external_captured_fp_n,external_remaining_error_n,external_review_precision_vs_p2_error
buffer::all_any::0.475+0.050,buffer,all_any,,0.475,all_any,0.05,0.9644670050761421,0.9582155390914409,0.9327354260089686,0.9836956521739131,0.9719626168224299,0.9519450800915331,362,6,15,208,311,0.5262267343485617,70,21,49,21,0.22508038585209003,0.9074074074074074,0.9033833275200558,0.8723404255319149,0.9344262295081968,0.9111111111111111,0.891304347826087,57,4,6,41,56,0.5185185185185185,22,9,13,10,0.39285714285714285
buffer::all_any::0.475+0.075,buffer,all_any,,0.475,all_any,0.075,0.9695431472081218,0.9640585396763501,0.9417040358744395,0.9864130434782609,0.9767441860465116,0.9589041095890412,363,5,13,210,325,0.5499153976311336,73,23,50,18,0.2246153846153846,0.9259259259259259,0.9222183467038716,0.8936170212765957,0.9508196721311475,0.9333333333333333,0.9130434782608695,58,3,5,42,59,0.5462962962962963,24,10,14,8,0.4067796610169492
buffer::all_any::0.475+0.100,buffer,all_any,,0.475,all_any,0.1,0.9746192893401016,0.9699015402612594,0.9506726457399103,0.9891304347826086,0.9814814814814815,0.9658314350797267,364,4,11,212,340,0.5752961082910322,76,25,51,15,0.2235294117647059,0.9259259259259259,0.9222183467038716,0.8936170212765957,0.9508196721311475,0.9333333333333333,0.9130434782608695,58,3,5,42,62,0.5740740740740741,24,10,14,8,0.3870967741935484
buffer::all_any::0.475+0.125,buffer,all_any,,0.475,all_any,0.125,0.9763113367174281,0.9721436927276272,0.9551569506726457,0.9891304347826086,0.9815668202764977,0.9681818181818181,364,4,10,213,355,0.6006768189509306,77,26,51,14,0.21690140845070421,0.9351851851851852,0.930415068015347,0.8936170212765957,0.9672131147540983,0.9545454545454546,0.9230769230769231,59,2,5,42,65,0.6018518518518519,25,10,15,7,0.38461538461538464
buffer::all_any::0.475+0.150,buffer,all_any,,0.475,all_any,0.15,0.9763113367174281,0.9721436927276272,0.9551569506726457,0.9891304347826086,0.9815668202764977,0.9681818181818181,364,4,10,213,370,0.626057529610829,77,26,51,14,0.20810810810810812,0.9351851851851852,0.930415068015347,0.8936170212765957,0.9672131147540983,0.9545454545454546,0.9230769230769231,59,2,5,42,67,0.6203703703703703,25,10,15,7,0.373134328358209
buffer::all_any::0.475+0.175,buffer,all_any,,0.475,all_any,0.175,0.9763113367174281,0.9721436927276272,0.9551569506726457,0.9891304347826086,0.9815668202764977,0.9681818181818181,364,4,10,213,384,0.649746192893401,77,26,51,14,0.20052083333333334,0.9351851851851852,0.930415068015347,0.8936170212765957,0.9672131147540983,0.9545454545454546,0.9230769230769231,59,2,5,42,70,0.6481481481481481,25,10,15,7,0.35714285714285715
buffer::all_any::0.475+0.200,buffer,all_any,,0.475,all_any,0.2,0.9796954314720813,0.974861084031975,0.9551569506726457,0.9945652173913043,0.9906976744186047,0.9726027397260273,366,2,10,213,399,0.6751269035532995,79,26,53,12,0.19799498746867167,0.9444444444444444,0.9410533658876874,0.9148936170212766,0.9672131147540983,0.9555555555555556,0.9347826086956522,59,2,4,43,73,0.6759259259259259,26,11,15,6,0.3561643835616438
buffer::all_any::0.475+0.225,buffer,all_any,,0.475,all_any,0.225,0.9813874788494078,0.976219779684149,0.9551569506726457,0.9972826086956522,0.9953271028037384,0.9748283752860412,367,1,10,213,414,0.700507614213198,80,26,54,11,0.1932367149758454,0.9444444444444444,0.9410533658876874,0.9148936170212766,0.9672131147540983,0.9555555555555556,0.9347826086956522,59,2,4,43,75,0.6944444444444444,26,11,15,6,0.3466666666666667
buffer::all_any::0.475+0.250,buffer,all_any,,0.475,all_any,0.25,0.9813874788494078,0.976219779684149,0.9551569506726457,0.9972826086956522,0.9953271028037384,0.9748283752860412,367,1,10,213,429,0.7258883248730964,80,26,54,11,0.1864801864801865,0.9537037037037037,0.9516916637600279,0.9361702127659575,0.9672131147540983,0.9565217391304348,0.9462365591397849,59,2,3,44,78,0.7222222222222222,27,12,15,5,0.34615384615384615
buffer::pred_low_fn::0.500+0.000,buffer,pred_low_fn,,0.5,pred_low_fn,0.0,0.9593908629441624,0.9523725385065315,0.9237668161434978,0.9809782608695652,0.9671361502347418,0.944954128440367,361,7,17,206,296,0.5008460236886633,67,19,48,24,0.22635135135135134,0.9074074074074074,0.9033833275200558,0.8723404255319149,0.9344262295081968,0.9111111111111111,0.891304347826087,57,4,6,41,54,0.5,22,9,13,10,0.4074074074074074
buffer::pred_low_fn::0.500+0.025,buffer,pred_low_fn,,0.5,pred_low_fn,0.025,0.9644670050761421,0.9590989959056346,0.9372197309417041,0.9809782608695652,0.9675925925925926,0.9521640091116174,361,7,14,209,311,0.5262267343485617,70,22,48,21,0.22508038585209003,0.9166666666666666,0.9140216253923963,0.8936170212765957,0.9344262295081968,0.9130434782608695,0.9032258064516129,57,4,5,42,57,0.5277777777777778,23,10,13,9,0.40350877192982454
buffer::pred_low_fn::0.500+0.050,buffer,pred_low_fn,,0.5,pred_low_fn,0.05,0.9678510998307953,0.9635833008383701,0.9461883408071748,0.9809782608695652,0.9678899082568807,0.9569160997732425,361,7,12,211,326,0.5516074450084603,72,24,48,19,0.22085889570552147,0.9166666666666666,0.9140216253923963,0.8936170212765957,0.9344262295081968,0.9130434782608695,0.9032258064516129,57,4,5,42,59,0.5462962962962963,23,10,13,9,0.3898305084745763
buffer::pred_low_fn::0.500+0.075,buffer,pred_low_fn,,0.5,pred_low_fn,0.075,0.9678510998307953,0.9635833008383701,0.9461883408071748,0.9809782608695652,0.9678899082568807,0.9569160997732425,361,7,12,211,340,0.5752961082910322,72,24,48,19,0.21176470588235294,0.9259259259259259,0.9246599232647367,0.9148936170212766,0.9344262295081968,0.9148936170212766,0.9148936170212766,57,4,4,43,62,0.5740740740740741,24,11,13,8,0.3870967741935484
buffer::pred_low_fn::0.500+0.100,buffer,pred_low_fn,,0.5,pred_low_fn,0.1,0.9695431472081218,0.9658254533047377,0.9506726457399103,0.9809782608695652,0.9680365296803652,0.9592760180995475,361,7,11,212,355,0.6006768189509306,73,25,48,18,0.2056338028169014,0.9351851851851852,0.9352982211370771,0.9361702127659575,0.9344262295081968,0.9166666666666666,0.9263157894736843,57,4,3,44,65,0.6018518518518519,25,12,13,7,0.38461538461538464
buffer::pred_low_fn::0.500+0.125,buffer,pred_low_fn,,0.5,pred_low_fn,0.125,0.9712351945854484,0.9680676057711055,0.9551569506726457,0.9809782608695652,0.9681818181818181,0.9616252821670428,361,7,10,213,370,0.626057529610829,74,26,48,17,0.2,0.9444444444444444,0.9459365190094176,0.9574468085106383,0.9344262295081968,0.9183673469387755,0.9375000000000001,57,4,2,45,68,0.6296296296296297,26,13,13,6,0.38235294117647056
buffer::pred_low_fn::0.500+0.150,buffer,pred_low_fn,,0.5,pred_low_fn,0.15,0.9729272419627749,0.9703097582374731,0.9596412556053812,0.9809782608695652,0.9683257918552036,0.9639639639639639,361,7,9,214,385,0.6514382402707276,75,27,48,16,0.19480519480519481,0.9444444444444444,0.9459365190094176,0.9574468085106383,0.9344262295081968,0.9183673469387755,0.9375000000000001,57,4,2,45,70,0.6481481481481481,26,13,13,6,0.37142857142857144
buffer::pred_low_fn::0.500+0.175,buffer,pred_low_fn,,0.5,pred_low_fn,0.175,0.9729272419627749,0.9703097582374731,0.9596412556053812,0.9809782608695652,0.9683257918552036,0.9639639639639639,361,7,9,214,399,0.6751269035532995,75,27,48,16,0.18796992481203006,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,73,0.6759259259259259,27,14,13,5,0.3698630136986301
buffer::pred_low_fn::0.500+0.200,buffer,pred_low_fn,,0.5,pred_low_fn,0.2,0.9796954314720813,0.979278368102944,0.9775784753363229,0.9809782608695652,0.9688888888888889,0.9732142857142856,361,7,5,218,414,0.700507614213198,79,31,48,12,0.19082125603864733,0.9537037037037037,0.9565748168817579,0.9787234042553191,0.9344262295081968,0.92,0.9484536082474226,57,4,1,46,76,0.7037037037037037,27,14,13,5,0.35526315789473684
