accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,feature_set,target,model,objective,routed_n,routed_frac,routed_acc,pass_n,pass_frac,pass_acc,rescue_n,hurt_n,net_rescue
0.8280701754385965,0.8276447990543736,0.8206757289204099,0.8191881918819188,0.7872340425531915,0.8680555555555556,125,19,30,111,numeric_emb16,switch_gain,extra_d3_l8,accuracy,4,0.014035087719298246,0.25,281,0.9859649122807017,0.8362989323843416,1,3,-2
0.8280701754385965,0.8274970449172576,0.8172281323877068,0.8164794007490637,0.7730496453900709,0.8819444444444444,127,17,32,109,numeric_emb8,switch_gain,gb_d1,accuracy,8,0.028070175438596492,0.375,277,0.9719298245614035,0.8411552346570397,3,5,-2
0.8245614035087719,0.824394208037825,0.8236800630417652,0.8201438848920863,0.8085106382978723,0.8402777777777778,121,23,27,114,numeric,hard_core,extra_d3_l8,accuracy,3,0.010526315789473684,0.0,282,0.9894736842105263,0.8333333333333334,0,3,-3
0.8245614035087719,0.8243203309692672,0.8187549251379038,0.8188405797101449,0.8014184397163121,0.8472222222222222,122,22,28,113,numeric,hard_core,logreg_c03,accuracy,3,0.010526315789473684,0.0,282,0.9894736842105263,0.8333333333333334,0,3,-3
0.8245614035087719,0.8243203309692672,0.8187549251379038,0.8188405797101449,0.8014184397163121,0.8472222222222222,122,22,28,113,numeric_emb8,hard_core,logreg_c01,accuracy,3,0.010526315789473684,0.0,282,0.9894736842105263,0.8333333333333334,0,3,-3
0.8245614035087719,0.8243203309692672,0.8215622537431048,0.8188405797101449,0.8014184397163121,0.8472222222222222,122,22,28,113,emb16,hard_core,logreg_c01,accuracy,3,0.010526315789473684,0.0,282,0.9894736842105263,0.8333333333333334,0,3,-3
0.8245614035087719,0.8243203309692672,0.8215622537431048,0.8188405797101449,0.8014184397163121,0.8472222222222222,122,22,28,113,emb16,hard_core,logreg_c03,accuracy,3,0.010526315789473684,0.0,282,0.9894736842105263,0.8333333333333334,0,3,-3
0.8245614035087719,0.8241725768321513,0.8178191489361702,0.8161764705882353,0.7872340425531915,0.8611111111111112,124,20,30,111,numeric_emb8,base_wrong,extra_d3_l8,accuracy,3,0.010526315789473684,0.0,282,0.9894736842105263,0.8333333333333334,0,3,-3
0.8245614035087719,0.8240986997635934,0.8254531126871552,0.8148148148148148,0.7801418439716312,0.8680555555555556,125,19,31,110,numeric,base_wrong,logreg_c03,accuracy,5,0.017543859649122806,0.2,280,0.9824561403508771,0.8357142857142857,1,4,-3
0.8245614035087719,0.8240986997635934,0.8153565799842395,0.8148148148148148,0.7801418439716312,0.8680555555555556,125,19,31,110,numeric,switch_gain,extra_d3_l8,accuracy,5,0.017543859649122806,0.2,280,0.9824561403508771,0.8357142857142857,1,4,-3
0.8245614035087719,0.8240986997635934,0.8153565799842395,0.8148148148148148,0.7801418439716312,0.8680555555555556,125,19,31,110,numeric_emb8,switch_gain,extra_d3_l8,accuracy,5,0.017543859649122806,0.2,280,0.9824561403508771,0.8357142857142857,1,4,-3
0.8245614035087719,0.8240986997635934,0.8122537431048069,0.8148148148148148,0.7801418439716312,0.8680555555555556,125,19,31,110,emb16,hard_core,extra_d3_l8,accuracy,7,0.02456140350877193,0.2857142857142857,278,0.9754385964912281,0.8381294964028777,2,5,-3
0.8245614035087719,0.8240248226950355,0.8174743892828998,0.8134328358208955,0.7730496453900709,0.875,126,18,32,109,numeric_emb16,switch_gain,logreg_c03,accuracy,7,0.02456140350877193,0.2857142857142857,278,0.9754385964912281,0.8381294964028777,2,5,-3
0.8245614035087719,0.8240248226950355,0.8233353033884948,0.8134328358208955,0.7730496453900709,0.875,126,18,32,109,numeric_emb16,switch_gain,gb_d1,accuracy,7,0.02456140350877193,0.2857142857142857,278,0.9754385964912281,0.8381294964028777,2,5,-3
0.8210526315789474,0.820848108747045,0.8215130023640662,0.8158844765342961,0.8014184397163121,0.8402777777777778,121,23,28,113,numeric,base_wrong,gb_d1,accuracy,6,0.021052631578947368,0.16666666666666666,279,0.9789473684210527,0.8351254480286738,1,5,-4
0.8210526315789474,0.820848108747045,0.8130417651694247,0.8158844765342961,0.8014184397163121,0.8402777777777778,121,23,28,113,numeric_emb8,hard_core,logreg_c03,accuracy,4,0.014035087719298246,0.0,281,0.9859649122807017,0.8327402135231317,0,4,-4
0.8210526315789474,0.820774231678487,0.8193951930654059,0.8145454545454546,0.7943262411347518,0.8472222222222222,122,22,29,112,numeric_emb8,switch_gain,rf_d3_l8,accuracy,6,0.021052631578947368,0.16666666666666666,279,0.9789473684210527,0.8351254480286738,1,5,-4
0.8210526315789474,0.8207003546099291,0.8113672182821118,0.8131868131868132,0.7872340425531915,0.8541666666666666,123,21,30,111,numeric_emb16,hard_core,logreg_c03,accuracy,4,0.014035087719298246,0.0,281,0.9859649122807017,0.8327402135231317,0,4,-4
0.8210526315789474,0.8207003546099291,0.8193459416863673,0.8131868131868132,0.7872340425531915,0.8541666666666666,123,21,30,111,numeric_emb16,base_wrong,logreg_c01,accuracy,6,0.021052631578947368,0.16666666666666666,279,0.9789473684210527,0.8351254480286738,1,5,-4
0.8210526315789474,0.8207003546099291,0.8176221434200158,0.8131868131868132,0.7872340425531915,0.8541666666666666,123,21,30,111,emb16,base_wrong,logreg_c01,accuracy,4,0.014035087719298246,0.0,281,0.9859649122807017,0.8327402135231317,0,4,-4
0.8210526315789474,0.8207003546099291,0.8176221434200158,0.8131868131868132,0.7872340425531915,0.8541666666666666,123,21,30,111,emb16,base_wrong,logreg_c03,accuracy,4,0.014035087719298246,0.0,281,0.9859649122807017,0.8327402135231317,0,4,-4
