accuracy,balanced_accuracy,f1,tn,fp,fn,tp,auc,apply_scope,routed_n,routed_acc,pass_acc,rescue_n,hurt_n,net_rescue,mode,corrector,feature_set,train_scope,classifier,c,corrector_all_acc,corrector_all_bacc
0.8421052631578947,0.8414598108747045,0.8301886792452831,130,14,31,110,0.920065011820331,non_easy,134,0.7089552238805971,0.9602649006622517,27,25,2,oracle_scope,model_non_easy_logreg_c001,model,non_easy,logreg,0.01,0.3508771929824561,0.3502511820330969
0.8385964912280702,0.8382830969267139,0.8321167883211679,125,19,27,114,0.8941587864460205,hard_core,65,0.5538461538461539,0.9227272727272727,20,19,1,oracle_scope,dino_model_non_easy_logreg_c001,dino_model,non_easy,logreg,0.01,0.4280701754385965,0.4280437352245863
0.8350877192982457,0.8348847517730495,0.8303249097472925,123,21,26,115,0.9211485421591804,non_easy,134,0.6940298507462687,0.9602649006622517,28,28,0,oracle_scope,model_non_easy_logreg_c003,model,non_easy,logreg,0.03,0.34035087719298246,0.3402039007092199
0.8315789473684211,0.8313386524822695,0.8260869565217391,123,21,27,114,0.8114164696611504,hard_core,65,0.5230769230769231,0.9227272727272727,0,1,-1,oracle_scope,model_all_logreg_c03,model,all,logreg,0.3,0.8,0.7998670212765957
0.8280701754385965,0.8283835697399528,0.8316151202749141,115,29,20,121,0.8339243498817968,hard_all,99,0.5959595959595959,0.9516129032258065,20,22,-2,oracle_scope,dino_model_non_easy_logreg_c03,dino_model,non_easy,logreg,0.3,0.4631578947368421,0.46453900709219853
0.8245614035087719,0.8241725768321513,0.8161764705882353,124,20,30,111,0.8590425531914895,non_easy,134,0.6716417910447762,0.9602649006622517,32,35,-3,oracle_scope,model_hard_all_logreg_c01,model,hard_all,logreg,0.1,0.3263157894736842,0.32587174940898345
0.8245614035087719,0.8240986997635934,0.8148148148148148,125,19,31,110,0.89026792750197,non_easy,134,0.6716417910447762,0.9602649006622517,33,36,-3,oracle_scope,model_hard_all_extra,model,hard_all,extra,0.1,0.3157894736842105,0.31530732860520094
0.8210526315789474,0.8213652482269503,0.8247422680412371,114,30,21,120,0.8675137903861309,hard_all,99,0.5757575757575758,0.9516129032258065,26,30,-4,oracle_scope,dino_model_non_easy_logreg_c003,dino_model,non_easy,logreg,0.03,0.4245614035087719,0.42538416075650115
0.8210526315789474,0.8209219858156028,0.8172043010752689,120,24,27,114,0.8180161544523247,hard_all,99,0.5757575757575758,0.9516129032258065,0,4,-4,oracle_scope,model_all_logreg_c03,model,all,logreg,0.3,0.8,0.7998670212765957
0.8210526315789474,0.820848108747045,0.8158844765342961,121,23,28,113,0.8454491725768322,non_easy,134,0.664179104477612,0.9602649006622517,30,34,-4,oracle_scope,model_hard_all_logreg_c03,model,hard_all,logreg,0.3,0.32280701754385965,0.32254728132387706
0.8210526315789474,0.8207003546099291,0.8131868131868132,123,21,30,111,0.8251576044129235,hard_core,65,0.47692307692307695,0.9227272727272727,0,4,-4,oracle_scope,model_all_logreg_c01,model,all,logreg,0.1,0.8105263157894737,0.8102098108747045
0.8210526315789474,0.8207003546099291,0.8131868131868132,123,21,30,111,0.8289007092198581,hard_all,99,0.5757575757575758,0.9516129032258065,0,4,-4,oracle_scope,model_all_logreg_c01,model,all,logreg,0.1,0.8105263157894737,0.8102098108747045
0.8210526315789474,0.8206264775413712,0.8118081180811808,124,20,31,110,0.8852935382190702,non_easy,134,0.664179104477612,0.9602649006622517,32,36,-4,oracle_scope,model_hard_all_logreg_c003,model,hard_all,logreg,0.03,0.3192982456140351,0.31877955082742315
0.8210526315789474,0.8206264775413712,0.8118081180811808,124,20,31,110,0.8260933806146572,all,285,0.8210526315789474,,1,5,-4,oracle_scope,model_all_extra,model,all,extra,0.1,0.8210526315789474,0.8206264775413712
0.8175438596491228,0.8176713947990544,0.8181818181818182,116,28,24,117,0.8976063829787235,hard_core,65,0.46153846153846156,0.9227272727272727,15,20,-5,oracle_scope,dino_non_easy_extra,dino,non_easy,extra,0.1,0.4807017543859649,0.4822695035460993
0.8175438596491228,0.8174497635933806,0.8142857142857143,119,25,27,114,0.8094956658786446,non_easy,134,0.6567164179104478,0.9602649006622517,0,5,-5,oracle_scope,model_all_logreg_c03,model,all,logreg,0.3,0.8,0.7998670212765957
0.8175438596491228,0.8172281323877069,0.8102189781021898,122,22,30,111,0.8234338061465721,non_easy,134,0.6567164179104478,0.9602649006622517,0,5,-5,oracle_scope,model_all_logreg_c01,model,all,logreg,0.1,0.8105263157894737,0.8102098108747045
0.8175438596491228,0.8171542553191489,0.8088235294117647,123,21,31,110,0.8280634357762017,hard_core,65,0.46153846153846156,0.9227272727272727,0,5,-5,oracle_scope,model_all_extra,model,all,extra,0.1,0.8210526315789474,0.8206264775413712
