policy,eval_domain,flip_budget,n,flip_n,flip_rate,base_errors,flip_errors,net_errors_reduced,rescued_by_flip,hurt_by_flip,rescued_fn_by_flip,rescued_fp_by_flip,hurt_to_fn_by_flip,hurt_to_fp_by_flip,base_n,base_accuracy,base_balanced_accuracy,base_f1,base_sensitivity_high,base_specificity_low,base_tn,base_fp,base_fn,base_tp,base_auc,auto_flip_n,auto_flip_accuracy,auto_flip_balanced_accuracy,auto_flip_f1,auto_flip_sensitivity_high,auto_flip_specificity_low,auto_flip_tn,auto_flip_fp,auto_flip_fn,auto_flip_tp,auto_flip_auc
shift_aware_concept_directional_candidate,all_three_domains,0.6,696,418,0.6005747126436781,155,345,-190,114,304,52,62,121,183,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.5043103448275862,0.49673969744392277,0.42016806722689076,0.46296296296296297,0.5305164319248826,226,200,145,125,0.8481481481481483
dev_stable_router_all_domains,all_three_domains,0.6,696,418,0.6005747126436781,136,358,-222,98,320,52,46,123,197,696,0.8045977011494253,0.7881585811163276,0.7394636015325671,0.7148148148148148,0.8615023474178404,367,59,77,193,0.8477743001217182,696,0.48563218390804597,0.4794470526864893,0.4053156146179402,0.45185185185185184,0.5070422535211268,216,210,148,122,0.8477743001217182
shift_aware_image_directional_candidate,all_three_domains,0.6,696,418,0.6005747126436781,136,358,-222,98,320,49,49,132,188,696,0.8045977011494253,0.7881585811163276,0.7394636015325671,0.7148148148148148,0.8615023474178404,367,59,77,193,0.8477743001217182,696,0.48563218390804597,0.4713093375065206,0.3806228373702422,0.4074074074074074,0.5352112676056338,228,198,160,110,0.8477743001217182
dev_stable_router_all_domains,old_data,0.0,285,0,0.0,45,45,0,0,0,0,0,0,0,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727
shift_aware_image_directional_candidate,old_data,0.0,285,0,0.0,45,45,0,0,0,0,0,0,0,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727
shift_aware_concept_directional_candidate,old_data,0.0,285,0,0.0,45,45,0,0,0,0,0,0,0,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727
baseline_low_conf_dev_selected,old_data,0.0,285,0,0.0,61,61,0,0,0,0,0,0,0,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348
dev_stable_router_all_domains,old_data,0.1,285,28,0.09824561403508772,45,59,-14,7,21,3,4,13,8,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.7929824561403509,0.792331560283688,0.7773584905660378,0.7304964539007093,0.8541666666666666,123,21,38,103,0.9036643026004727
shift_aware_image_directional_candidate,old_data,0.1,285,28,0.09824561403508772,45,59,-14,7,21,3,4,13,8,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.7929824561403509,0.792331560283688,0.7773584905660378,0.7304964539007093,0.8541666666666666,123,21,38,103,0.9036643026004727
shift_aware_concept_directional_candidate,old_data,0.1,285,28,0.09824561403508772,45,59,-14,7,21,3,4,13,8,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.7929824561403509,0.792331560283688,0.7773584905660378,0.7304964539007093,0.8541666666666666,123,21,38,103,0.9036643026004727
baseline_low_conf_dev_selected,old_data,0.1,285,28,0.09824561403508772,61,67,-6,11,17,3,8,7,10,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,285,0.7649122807017544,0.7653664302600472,0.7728813559322034,0.8085106382978723,0.7222222222222222,104,40,27,114,0.8737687155240348
