profile,adapt_n,holdout_n,model_kind,repeat_adapt,threshold_objective,threshold,train_accuracy,train_balanced_accuracy,train_f1,train_tn,train_fp,train_fn,train_tp,train_auc,old_oof_accuracy,old_oof_balanced_accuracy,old_oof_f1,old_oof_tn,old_oof_fp,old_oof_fn,old_oof_tp,old_oof_auc,adapt_oof_accuracy,adapt_oof_balanced_accuracy,adapt_oof_f1,adapt_oof_tn,adapt_oof_fp,adapt_oof_fn,adapt_oof_tp,adapt_oof_auc,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_auc,selection_score
adapt120_high_focus,120,186,logreg_0.0003,4,accuracy,0.63,0.6765432098765433,0.6788414634146341,0.6066066066066066,173,27,104,101,0.7321219512195121,0.6596491228070176,0.6576536643026005,0.5764192139737991,122,22,75,66,0.7089243498817966,0.7166666666666667,0.7287946428571428,0.6730769230769231,51,5,29,35,0.7854352678571429,0.8655913978494624,0.7023809523809523,0.4186046511627907,152,16,9,9,0.7390873015873015,0.7720970960527075
adapt150_high_focus,150,156,logreg_0.001,4,balanced_accuracy,0.5399999999999999,0.6827586206896552,0.6819724284199364,0.6650485436893204,160,70,68,137,0.7352916224814421,0.656140350877193,0.6560283687943262,0.65,96,48,50,91,0.7186268715524035,0.7333333333333333,0.731468023255814,0.696969696969697,64,22,18,46,0.7643531976744186,0.782051282051282,0.7801932367149759,0.45161290322580644,108,30,4,14,0.8345410628019323,0.7706720777485783
adapt150_high_focus,150,156,logreg_0.001,4,accuracy,0.5399999999999999,0.6827586206896552,0.6819724284199364,0.6650485436893204,160,70,68,137,0.7352916224814421,0.656140350877193,0.6560283687943262,0.65,96,48,50,91,0.7186268715524035,0.7333333333333333,0.731468023255814,0.696969696969697,64,22,18,46,0.7643531976744186,0.782051282051282,0.7801932367149759,0.45161290322580644,108,30,4,14,0.8345410628019323,0.7706720777485783
adapt180_mixed,180,126,logreg_0.001,2,accuracy,0.61,0.7010752688172043,0.6848136727710299,0.6191780821917808,213,49,90,113,0.7555371714360922,0.6947368421052632,0.6937056737588652,0.6588235294117647,114,30,57,84,0.7475374310480695,0.7111111111111111,0.6533624931656643,0.5272727272727272,99,19,33,29,0.7560142154182613,0.8650793650793651,0.8183962264150944,0.6382978723404256,94,12,5,15,0.8797169811320754,0.770276976003451
adapt96_high_focus,96,210,logreg_0.003,4,balanced_accuracy,0.63,0.6692913385826772,0.6733254183002926,0.6480446927374302,139,43,83,116,0.7311557788944724,0.6842105263157895,0.6835106382978724,0.6590909090909091,108,36,54,87,0.7381796690307328,0.625,0.6578947368421053,0.6170212765957447,31,7,29,29,0.7300362976406534,0.719047619047619,0.6780913978494624,0.33707865168539325,136,50,9,15,0.7096774193548387,0.7699437870381404
adapt96_high_focus,96,210,logreg_0.003,4,accuracy,0.62,0.6692913385826772,0.6728560384339279,0.6519337016574586,137,45,81,118,0.7311557788944724,0.6842105263157895,0.6836583924349882,0.664179104477612,106,38,52,89,0.7381796690307328,0.625,0.6578947368421053,0.6170212765957447,31,7,29,29,0.7300362976406534,0.7095238095238096,0.6727150537634409,0.32967032967032966,134,52,9,15,0.7096774193548387,0.7698874614541766
adapt96_high_focus,96,210,extratrees_5,2,balanced_accuracy,0.5199999999999999,0.6692913385826772,0.6709785189684687,0.6666666666666666,129,53,73,126,0.723397205809266,0.6736842105263158,0.6731678486997636,0.654275092936803,104,40,53,88,0.7219759653270291,0.65625,0.6565335753176044,0.6972477064220184,25,13,20,38,0.7141560798548094,0.6714285714285714,0.6512096774193548,0.30303030303030304,126,60,9,15,0.7710573476702509,0.7698634975938207
adapt96_high_focus,96,210,extratrees_5,2,accuracy,0.5199999999999999,0.6692913385826772,0.6709785189684687,0.6666666666666666,129,53,73,126,0.723397205809266,0.6736842105263158,0.6731678486997636,0.654275092936803,104,40,53,88,0.7219759653270291,0.65625,0.6565335753176044,0.6972477064220184,25,13,20,38,0.7141560798548094,0.6714285714285714,0.6512096774193548,0.30303030303030304,126,60,9,15,0.7710573476702509,0.7698634975938207
adapt120_high_focus,120,186,logreg_0.001,2,accuracy,0.58,0.674074074074074,0.6750609756097561,0.648936170212766,151,49,83,122,0.7398048780487805,0.6842105263157895,0.6833628841607564,0.6538461538461539,110,34,56,85,0.7498029944838456,0.65,0.6551339285714286,0.6379310344827587,41,15,27,37,0.7081473214285714,0.8118279569892473,0.6974206349206349,0.36363636363636365,141,27,8,10,0.736441798941799,0.7686412456445993
adapt180_mixed,180,126,logreg_0.003,1,balanced_accuracy,0.4499999999999999,0.6774193548387096,0.6793517090963788,0.6527777777777778,174,88,62,141,0.7531493250103412,0.6877192982456141,0.6880910165484634,0.6962457337883959,94,50,39,102,0.756993695823483,0.6611111111111111,0.6534991798797156,0.5611510791366906,80,38,23,39,0.7284034991798797,0.7380952380952381,0.7632075471698113,0.49230769230769234,77,29,4,16,0.8268867924528301,0.7680769405268366
adapt72_high_focus,72,234,logreg_0.001,2,balanced_accuracy,0.62,0.6750700280112045,0.6803582652419862,0.6305732484076433,142,30,86,99,0.7292897548711503,0.6912280701754386,0.6898640661938534,0.6422764227642277,118,26,62,79,0.7411840031520883,0.6111111111111112,0.6558441558441558,0.5882352941176471,24,4,24,20,0.6972402597402597,0.7777777777777778,0.6233888292158969,0.36585365853658536,167,29,23,15,0.7137486573576799,0.7680427032287497
adapt72_high_focus,72,234,logreg_0.001,2,accuracy,0.62,0.6750700280112045,0.6803582652419862,0.6305732484076433,142,30,86,99,0.7292897548711503,0.6912280701754386,0.6898640661938534,0.6422764227642277,118,26,62,79,0.7411840031520883,0.6111111111111112,0.6558441558441558,0.5882352941176471,24,4,24,20,0.6972402597402597,0.7777777777777778,0.6233888292158969,0.36585365853658536,167,29,23,15,0.7137486573576799,0.7680427032287497
adapt150_high_focus,150,156,logreg_0.001,2,balanced_accuracy,0.3999999999999999,0.6666666666666666,0.6715270413573702,0.6813186813186813,135,95,50,155,0.7414846235418877,0.6526315789473685,0.6537381796690307,0.6837060702875399,79,65,34,107,0.7294129235618598,0.6933333333333334,0.7005813953488372,0.676056338028169,56,30,16,48,0.7598110465116279,0.6282051282051282,0.7415458937198067,0.35555555555555557,82,56,2,16,0.821658615136876,0.7669530035792835
