align,pca_components,pca_explained,c,gamma,threshold_objective,old_cv_threshold,old_cv_threshold_score,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_auc,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_auc,strict_accuracy,strict_balanced_accuracy,strict_f1,strict_tn,strict_fp,strict_fn,strict_tp,strict_auc
diag,48,0.71592116355896,0.3,0.01,accuracy,0.06119689524173744,0.6596491228070176,0.6596491228070176,0.6581708037825059,0.6008230452674898,115,29,68,73,0.6891745468873127,0.6203703703703703,0.6053365887687479,0.5287356321839081,44,17,24,23,0.600976630624346,0.6095238095238096,0.5981291269258987,0.5287356321839081,41,17,24,23,0.5942773294203962
diag,32,0.6357396841049194,10.0,0.003,balanced_accuracy,0.1372034883499147,0.6733156028368794,0.6736842105263158,0.6733156028368794,0.6593406593406593,102,42,51,90,0.714982269503546,0.6111111111111112,0.6044645971398674,0.5531914893617021,40,21,21,26,0.6410882455528427,0.6,0.5955612619222304,0.5531914893617021,37,21,21,26,0.6335289801907557
diag,32,0.6357396841049194,10.0,0.003,accuracy,0.1372034883499147,0.6736842105263158,0.6736842105263158,0.6733156028368794,0.6593406593406593,102,42,51,90,0.714982269503546,0.6111111111111112,0.6044645971398674,0.5531914893617021,40,21,21,26,0.6410882455528427,0.6,0.5955612619222304,0.5531914893617021,37,21,21,26,0.6335289801907557
diag,24,0.5774636268615723,10.0,0.003,balanced_accuracy,0.03777015209197998,0.6983599290780143,0.6982456140350877,0.6983599290780143,0.6993006993006993,99,45,41,100,0.7309397163120567,0.6018518518518519,0.603592605510987,0.5742574257425742,36,25,18,29,0.6501569584931983,0.5904761904761905,0.592993396918562,0.5742574257425742,33,25,18,29,0.636463683052091
diag,24,0.5774636268615723,10.0,0.003,accuracy,0.03777015209197998,0.6982456140350877,0.6982456140350877,0.6983599290780143,0.6993006993006993,99,45,41,100,0.7309397163120567,0.6018518518518519,0.603592605510987,0.5742574257425742,36,25,18,29,0.6501569584931983,0.5904761904761905,0.592993396918562,0.5742574257425742,33,25,18,29,0.636463683052091
diag,32,0.6357396841049194,10.0,0.001,balanced_accuracy,0.04603974819183354,0.677304964539007,0.6771929824561403,0.677304964539007,0.6783216783216783,96,48,44,97,0.7048364854215917,0.6018518518518519,0.5987094523892571,0.5567010309278351,38,23,20,27,0.6571328915242414,0.5904761904761905,0.588958180484226,0.5567010309278351,35,23,20,27,0.6460014673514307
diag,32,0.6357396841049194,10.0,0.001,accuracy,0.04603974819183354,0.6771929824561403,0.6771929824561403,0.677304964539007,0.6783216783216783,96,48,44,97,0.7048364854215917,0.6018518518518519,0.5987094523892571,0.5567010309278351,38,23,20,27,0.6571328915242414,0.5904761904761905,0.588958180484226,0.5567010309278351,35,23,20,27,0.6460014673514307
diag,32,0.6357396841049194,3.0,0.003,balanced_accuracy,0.07502872824668905,0.6733894799054374,0.6736842105263158,0.6733894799054374,0.6618181818181819,101,43,50,91,0.7075945626477543,0.6018518518518519,0.5962678758283921,0.5473684210526316,39,22,21,26,0.6449250087199163,0.5904761904761905,0.586940572267058,0.5473684210526316,36,22,21,26,0.636463683052091
diag,32,0.6357396841049194,3.0,0.003,accuracy,0.07502872824668905,0.6736842105263158,0.6736842105263158,0.6733894799054374,0.6618181818181819,101,43,50,91,0.7075945626477543,0.6018518518518519,0.5962678758283921,0.5473684210526316,39,22,21,26,0.6449250087199163,0.5904761904761905,0.586940572267058,0.5473684210526316,36,22,21,26,0.636463683052091
diag,16,0.49430108070373535,3.0,0.01,balanced_accuracy,0.14213163375854498,0.6484929078014184,0.6491228070175439,0.6484929078014184,0.6240601503759399,102,42,58,83,0.6789795114263198,0.5925925925925926,0.5856295779560516,0.5319148936170213,39,22,22,25,0.5912103243808859,0.5904761904761905,0.58492296404989,0.5376344086021505,37,21,22,25,0.5851063829787234
diag,16,0.49430108070373535,3.0,0.01,accuracy,0.14213163375854498,0.6491228070175439,0.6491228070175439,0.6484929078014184,0.6240601503759399,102,42,58,83,0.6789795114263198,0.5925925925925926,0.5856295779560516,0.5319148936170213,39,22,22,25,0.5912103243808859,0.5904761904761905,0.58492296404989,0.5376344086021505,37,21,22,25,0.5851063829787234
diag,24,0.5774636268615723,0.3,0.003,balanced_accuracy,0.024561150074005167,0.6656323877068557,0.6666666666666666,0.6656323877068557,0.6274509803921569,110,34,61,80,0.6547478329393223,0.5370370370370371,0.5877223578653645,0.647887323943662,12,49,1,46,0.6173700732472968,0.5428571428571428,0.5841892883345561,0.6571428571428571,11,47,1,46,0.6052824651504035
diag,24,0.5774636268615723,0.3,0.003,accuracy,0.024561150074005167,0.6666666666666666,0.6666666666666666,0.6656323877068557,0.6274509803921569,110,34,61,80,0.6547478329393223,0.5370370370370371,0.5877223578653645,0.647887323943662,12,49,1,46,0.6173700732472968,0.5428571428571428,0.5841892883345561,0.6571428571428571,11,47,1,46,0.6052824651504035
diag,32,0.6357396841049194,1.0,scale,balanced_accuracy,0.27592448711395257,0.6643764775413712,0.6666666666666666,0.6643764775413712,0.5701357466063348,127,17,78,63,0.718922379826635,0.6203703703703703,0.5882455528426928,0.4383561643835616,51,10,31,16,0.6386466689919776,0.6095238095238096,0.5840058694057226,0.4383561643835616,48,10,31,16,0.6338958180484225
diag,32,0.6357396841049194,1.0,scale,accuracy,0.27592448711395257,0.6666666666666666,0.6666666666666666,0.6643764775413712,0.5701357466063348,127,17,78,63,0.718922379826635,0.6203703703703703,0.5882455528426928,0.4383561643835616,51,10,31,16,0.6386466689919776,0.6095238095238096,0.5840058694057226,0.4383561643835616,48,10,31,16,0.6338958180484225
diag,32,0.6357396841049194,0.3,0.003,balanced_accuracy,0.37163010537624364,0.601063829787234,0.6035087719298246,0.601063829787234,0.4792626728110599,120,24,89,52,0.6050039401103231,0.6203703703703703,0.5882455528426928,0.4383561643835616,51,10,31,16,0.6023718172305546,0.6095238095238096,0.5840058694057226,0.4383561643835616,48,10,31,16,0.5975788701393985
diag,32,0.6357396841049194,0.3,0.003,accuracy,0.37163010537624364,0.6035087719298246,0.6035087719298246,0.601063829787234,0.4792626728110599,120,24,89,52,0.6050039401103231,0.6203703703703703,0.5882455528426928,0.4383561643835616,51,10,31,16,0.6023718172305546,0.6095238095238096,0.5840058694057226,0.4383561643835616,48,10,31,16,0.5975788701393985
diag,48,0.71592116355896,3.0,scale,balanced_accuracy,0.22187576174736034,0.6510047281323877,0.6526315789473685,0.6510047281323877,0.5857740585774058,116,28,71,70,0.7027186761229315,0.6111111111111112,0.5898151377746773,0.4878048780487805,46,15,27,20,0.5856295779560516,0.6,0.5834556126192223,0.4878048780487805,43,15,27,20,0.5880410858400587
diag,48,0.71592116355896,3.0,scale,accuracy,0.22187576174736034,0.6526315789473685,0.6526315789473685,0.6510047281323877,0.5857740585774058,116,28,71,70,0.7027186761229315,0.6111111111111112,0.5898151377746773,0.4878048780487805,46,15,27,20,0.5856295779560516,0.6,0.5834556126192223,0.4878048780487805,43,15,27,20,0.5880410858400587
diag,40,0.6801644563674927,3.0,scale,balanced_accuracy,0.09933985948562629,0.6798167848699763,0.6807017543859649,0.6798167848699763,0.6486486486486487,110,34,57,84,0.7256698187549252,0.5925925925925926,0.5831880013951866,0.5217391304347826,40,21,23,24,0.605859783746076,0.5904761904761905,0.582905355832722,0.5274725274725275,38,20,23,24,0.6060161408657374
diag,40,0.6801644563674927,3.0,scale,accuracy,0.09933985948562629,0.6807017543859649,0.6807017543859649,0.6798167848699763,0.6486486486486487,110,34,57,84,0.7256698187549252,0.5925925925925926,0.5831880013951866,0.5217391304347826,40,21,23,24,0.605859783746076,0.5904761904761905,0.582905355832722,0.5274725274725275,38,20,23,24,0.6060161408657374
diag,16,0.49430108070373535,1.0,0.003,balanced_accuracy,0.11351056814193727,0.6456855791962175,0.6456140350877193,0.6456855791962175,0.6456140350877193,92,52,49,92,0.6651891252955082,0.6018518518518519,0.591384722706662,0.5274725274725275,41,20,23,24,0.5884199511684688,0.5904761904761905,0.582905355832722,0.5274725274725275,38,20,23,24,0.5807043286867205
