quality_model,quality_objective,policy,n,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,review_n,review_rate,quality_review_n,safety_trigger_n,union_quality_safety_n
quality_rf,recall90,quality_review_else_safety_switch,108,0.8518518518518519,0.8517614230903383,0.851063829787234,0.8524590163934426,0.8163265306122449,0.8333333333333334,52,9,7,40,58,0.5370370370370371,58,14,66
quality_rf,recall90,quality_or_safety_review_else_main,108,0.8703703703703703,0.8681548657132891,0.851063829787234,0.8852459016393442,0.851063829787234,0.8510638297872339,54,7,7,40,66,0.6111111111111112,58,14,66
quality_extra_trees,f1,quality_review_else_main,108,0.8611111111111112,0.8550749912800837,0.8085106382978723,0.9016393442622951,0.8636363636363636,0.8351648351648351,55,6,9,38,62,0.5740740740740741,62,14,66
quality_extra_trees,f1,quality_review_else_safety_switch,108,0.8796296296296297,0.8787931635856296,0.8723404255319149,0.8852459016393442,0.8541666666666666,0.8631578947368421,54,7,6,41,62,0.5740740740740741,62,14,66
quality_extra_trees,f1,quality_or_safety_review_else_main,108,0.8888888888888888,0.886989884897105,0.8723404255319149,0.9016393442622951,0.8723404255319149,0.8723404255319149,55,6,6,41,66,0.6111111111111112,62,14,66
quality_extra_trees,balanced,quality_review_else_main,108,0.8611111111111112,0.8550749912800837,0.8085106382978723,0.9016393442622951,0.8636363636363636,0.8351648351648351,55,6,9,38,69,0.6388888888888888,69,14,73
quality_extra_trees,balanced,quality_review_else_safety_switch,108,0.8796296296296297,0.8787931635856296,0.8723404255319149,0.8852459016393442,0.8541666666666666,0.8631578947368421,54,7,6,41,69,0.6388888888888888,69,14,73
quality_extra_trees,balanced,quality_or_safety_review_else_main,108,0.8888888888888888,0.886989884897105,0.8723404255319149,0.9016393442622951,0.8723404255319149,0.8723404255319149,55,6,6,41,73,0.6759259259259259,69,14,73
quality_extra_trees,recall90,quality_review_else_main,108,0.8611111111111112,0.8550749912800837,0.8085106382978723,0.9016393442622951,0.8636363636363636,0.8351648351648351,55,6,9,38,62,0.5740740740740741,62,14,66
quality_extra_trees,recall90,quality_review_else_safety_switch,108,0.8796296296296297,0.8787931635856296,0.8723404255319149,0.8852459016393442,0.8541666666666666,0.8631578947368421,54,7,6,41,62,0.5740740740740741,62,14,66
quality_extra_trees,recall90,quality_or_safety_review_else_main,108,0.8888888888888888,0.886989884897105,0.8723404255319149,0.9016393442622951,0.8723404255319149,0.8723404255319149,55,6,6,41,66,0.6111111111111112,62,14,66
