audit_domain,risk_score,target_review_rate,n_folds,total_cases,auto_decision_n_sum,review_or_reject_rate_mean,review_or_reject_rate_max,auto_error_n_sum,auto_error_n_max,auto_high_risk_fn_n_sum,auto_high_risk_fn_n_max,balanced_accuracy_mean,balanced_accuracy_min
third_batch,uncertainty_score,0.6,5,306,121,0.6046007403490217,0.6065573770491803,4,1,4,1,0.9753676470588235,0.96875
third_batch,router_score,0.7,5,306,91,0.7026441036488631,0.7049180327868853,4,2,4,2,0.9757352941176471,0.9411764705882353
third_batch,uncertainty_score,0.5,5,306,155,0.49344262295081964,0.5,5,2,4,1,0.9731454248366014,0.9576388888888889
third_batch,hybrid_score,0.6,5,306,121,0.6046007403490217,0.6065573770491803,5,2,4,1,0.9735130718954249,0.9576388888888889
third_batch,router_score,0.6,5,306,121,0.6046007403490217,0.6065573770491803,5,2,4,2,0.9735130718954249,0.9411764705882353
third_batch,router_score,0.5,5,306,155,0.49344262295081964,0.5,6,2,5,2,0.9672630718954249,0.9411764705882353
third_batch,disagreement_score,0.4,5,306,185,0.39539925965097833,0.4032258064516129,7,2,6,2,0.9610130718954248,0.9375
third_batch,hybrid_score,0.4,5,306,185,0.39539925965097833,0.4032258064516129,7,2,6,2,0.9613807189542485,0.9411764705882353
third_batch,router_score,0.4,5,306,185,0.39539925965097833,0.4032258064516129,7,2,6,2,0.9613807189542485,0.9411764705882353
third_batch,hybrid_score,0.5,5,306,155,0.49344262295081964,0.5,7,2,6,2,0.9613807189542485,0.9411764705882353
third_batch,uncertainty_score,0.2,5,306,246,0.1960867265996827,0.19672131147540983,8,3,6,2,0.9591584967320262,0.9411764705882353
third_batch,router_score,0.3,5,306,215,0.29735589635113696,0.3064516129032258,8,3,6,2,0.9591584967320262,0.9411764705882353
third_batch,uncertainty_score,0.3,5,306,215,0.29735589635113696,0.3064516129032258,8,3,6,2,0.9591584967320262,0.9411764705882353
third_batch,uncertainty_score,0.4,5,306,185,0.39539925965097833,0.4032258064516129,8,3,6,2,0.9591584967320262,0.9411764705882353
third_batch,disagreement_score,0.2,5,306,246,0.1960867265996827,0.19672131147540983,8,2,7,2,0.9551307189542484,0.9375
third_batch,disagreement_score,0.3,5,306,215,0.29735589635113696,0.3064516129032258,8,2,7,2,0.9551307189542484,0.9375
third_batch,hybrid_score,0.3,5,306,215,0.29735589635113696,0.3064516129032258,8,2,7,2,0.9551307189542484,0.9375
third_batch,hybrid_score,0.2,5,306,246,0.1960867265996827,0.19672131147540983,9,3,7,2,0.9529084967320263,0.9375
third_batch,router_score,0.2,5,306,246,0.1960867265996827,0.19672131147540983,9,3,7,2,0.9529084967320263,0.9375
