rule_id,conditions_json,internal_cases,released_n_sum,released_error_n_sum,released_high_risk_fn_n_sum,remaining_review_or_reject_n_sum,auto_error_n_sum,auto_high_risk_fn_n_sum,mean_review_or_reject_rate,min_balanced_accuracy
rule_0144,"{""model_disagreement_rate"": 0.0, ""router_risk_mean"": 0.3583952070302708}",591,4,0,0,192,1,1,0.32263501891984864,0.9939024390243902
rule_0224,"{""model_disagreement_rate"": 0.0833333333333333, ""safe_distance_case_score"": 0.44908446583322653}",591,4,0,0,192,1,1,0.32263501891984864,0.9939024390243902
rule_0433,"{""base_uncertainty"": 0.2489689902481337, ""safe_distance_case_score"": 0.4848319814504693}",591,4,0,0,192,1,1,0.322514619883041,0.9939024390243902
rule_0561,"{""base_entropy"": 0.5611990650948904, ""safe_distance_case_score"": 0.4848319814504693}",591,4,0,0,192,1,1,0.322514619883041,0.9939024390243902
rule_0216,"{""model_disagreement_rate"": 0.0, ""safe_distance_case_score"": 0.44908446583322653}",591,3,0,0,193,1,1,0.3243894048847609,0.9939024390243902
rule_0432,"{""base_uncertainty"": 0.2489689902481337, ""safe_distance_case_score"": 0.44908446583322653}",591,3,0,0,193,1,1,0.32414860681114555,0.9939024390243902
rule_0560,"{""base_entropy"": 0.5611990650948904, ""safe_distance_case_score"": 0.44908446583322653}",591,3,0,0,193,1,1,0.32414860681114555,0.9939024390243902
rule_0632,"{""router_risk_mean"": 0.4682956323462678, ""safe_distance_case_score"": 0.44908446583322653}",591,3,0,0,193,1,1,0.32414860681114555,0.9939024390243902
rule_0424,"{""base_uncertainty"": 0.23155887929829194, ""safe_distance_case_score"": 0.44908446583322653}",591,2,0,0,194,1,1,0.3259029927760578,0.9939024390243902
rule_0425,"{""base_uncertainty"": 0.23155887929829194, ""safe_distance_case_score"": 0.4848319814504693}",591,2,0,0,194,1,1,0.3259029927760578,0.9939024390243902
rule_0552,"{""base_entropy"": 0.5411313747465856, ""safe_distance_case_score"": 0.44908446583322653}",591,2,0,0,194,1,1,0.3259029927760578,0.9939024390243902
rule_0553,"{""base_entropy"": 0.5411313747465856, ""safe_distance_case_score"": 0.4848319814504693}",591,2,0,0,194,1,1,0.3259029927760578,0.9939024390243902
rule_0617,"{""router_risk_mean"": 0.41635997334022856, ""safe_distance_case_score"": 0.4848319814504693}",591,2,0,0,194,1,1,0.3259029927760578,0.9939024390243902
rule_0624,"{""router_risk_mean"": 0.4404604666281271, ""safe_distance_case_score"": 0.44908446583322653}",591,2,0,0,194,1,1,0.3257825937392501,0.9939024390243902
rule_0416,"{""base_uncertainty"": 0.17960506961375067, ""safe_distance_case_score"": 0.44908446583322653}",591,0,0,0,196,1,1,0.32929136566907463,0.9939024390243902
rule_0417,"{""base_uncertainty"": 0.17960506961375067, ""safe_distance_case_score"": 0.4848319814504693}",591,0,0,0,196,1,1,0.32929136566907463,0.9939024390243902
rule_0544,"{""base_entropy"": 0.47078384864362843, ""safe_distance_case_score"": 0.44908446583322653}",591,0,0,0,196,1,1,0.32929136566907463,0.9939024390243902
