policy,scope,n,accuracy,balanced_accuracy,f1,auc,fn,fp,auto_decision_n,auto_decision_rate,review_or_reject_n,review_or_reject_rate,auto_error_n,auto_error_rate,auto_error_wilson95_high,auto_high_risk_fn_n,auto_low_risk_fp_n,granularity,release_fraction,released_n,released_error_n,released_high_risk_fn_n
fraction_granularity_domain_label,internal_known,591,0.9966159052453468,0.9955156950672646,0.9954954954954955,0.860011698186781,2,0,411,0.6954314720812182,180,0.30456852791878175,2,0.004866180048661801,0.017566804677763816,2,0,domain_label,0.1,16,1,1
fraction_granularity_domain_label,all_domains,699,0.9971387696709585,0.9962962962962962,0.9962825278810409,0.8353017353017353,2,0,466,0.6666666666666666,233,0.3333333333333333,2,0.004291845493562232,0.015511815745220758,2,0,domain_label,0.1,19,1,1
fraction_granularity_domain_label,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,217,0.7614035087719299,68,0.23859649122807017,0,0.0,0.017394645195733326,0,0,domain_label,0.125,7,0,0
fraction_granularity_domain_label,third_batch,306,0.9934640522875817,0.9878048780487805,0.9876543209876543,0.818270905923345,2,0,198,0.6470588235294118,108,0.35294117647058826,2,0.010101010101010102,0.036075148314675856,2,0,domain_label,0.125,13,1,1
fraction_granularity_domain_label,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,57,0.5277777777777778,51,0.4722222222222222,0,0.0,0.06313883485297894,0,0,domain_label,0.125,5,0,0
fraction_granularity_domain_label,internal_known,591,0.9966159052453468,0.9955156950672646,0.9954954954954955,0.860011698186781,2,0,415,0.7021996615905245,176,0.29780033840947545,2,0.004819277108433735,0.017399166778507537,2,0,domain_label,0.125,20,1,1
fraction_granularity_domain_label,all_domains,699,0.9971387696709585,0.9962962962962962,0.9962825278810409,0.8353017353017353,2,0,472,0.6752503576537912,227,0.32474964234620884,2,0.00423728813559322,0.015316354305725689,2,0,domain_label,0.125,25,1,1
fraction_granularity_domain_label,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,219,0.7684210526315789,66,0.23157894736842105,0,0.0,0.017238528418471243,0,0,domain_label,0.15,9,0,0
fraction_granularity_domain_label,third_batch,306,0.9934640522875817,0.9878048780487805,0.9876543209876543,0.818270905923345,2,0,200,0.6535947712418301,106,0.3464052287581699,2,0.01,0.0357217617161768,2,0,domain_label,0.15,15,1,1
fraction_granularity_domain_label,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,58,0.5370370370370371,50,0.46296296296296297,0,0.0,0.062117855787202914,0,0,domain_label,0.15,6,0,0
fraction_granularity_domain_label,internal_known,591,0.9966159052453468,0.9955156950672646,0.9954954954954955,0.860011698186781,2,0,419,0.7089678510998308,172,0.2910321489001692,2,0.00477326968973747,0.01723469810626572,2,0,domain_label,0.15,24,1,1
fraction_granularity_domain_label,all_domains,699,0.9971387696709585,0.9962962962962962,0.9962825278810409,0.8353017353017353,2,0,477,0.6824034334763949,222,0.31759656652360513,2,0.0041928721174004195,0.015157193521945694,2,0,domain_label,0.15,30,1,1
fraction_granularity_domain_label,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,219,0.7684210526315789,66,0.23157894736842105,0,0.0,0.017238528418471243,0,0,domain_label,0.175,9,0,0
fraction_granularity_domain_label,third_batch,306,0.9869281045751634,0.975609756097561,0.975,0.818270905923345,4,0,204,0.6666666666666666,102,0.3333333333333333,4,0.0196078431372549,0.04932263755651539,4,0,domain_label,0.175,19,3,3
fraction_granularity_domain_label,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,58,0.5370370370370371,50,0.46296296296296297,0,0.0,0.062117855787202914,0,0,domain_label,0.175,6,0,0
fraction_granularity_domain_label,internal_known,591,0.9932318104906938,0.9910313901345291,0.9909502262443439,0.860011698186781,4,0,423,0.7157360406091371,168,0.28426395939086296,4,0.009456264775413711,0.02405872606507356,4,0,domain_label,0.175,28,3,3
fraction_granularity_domain_label,all_domains,699,0.994277539341917,0.9925925925925926,0.9925373134328358,0.8353017353017353,4,0,481,0.6881258941344778,218,0.31187410586552217,4,0.008316008316008316,0.02118481343669515,4,0,domain_label,0.175,34,3,3
fraction_granularity_domain_label,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,223,0.7824561403508772,62,0.21754385964912282,0,0.0,0.016934553501221267,0,0,domain_label,0.2,13,0,0
fraction_granularity_domain_label,third_batch,306,0.9869281045751634,0.975609756097561,0.975,0.818270905923345,4,0,208,0.6797385620915033,98,0.3202614379084967,4,0.019230769230769232,0.04839448293608059,4,0,domain_label,0.2,23,3,3
fraction_granularity_domain_label,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,60,0.5555555555555556,48,0.4444444444444444,0,0.0,0.06017185214208986,0,0,domain_label,0.2,8,0,0
fraction_granularity_domain_label,internal_known,591,0.9932318104906938,0.9910313901345291,0.9909502262443439,0.860011698186781,4,0,431,0.7292724196277496,160,0.2707275803722504,4,0.009280742459396751,0.023616818547638935,4,0,domain_label,0.2,36,3,3
fraction_granularity_domain_label,all_domains,699,0.994277539341917,0.9925925925925926,0.9925373134328358,0.8353017353017353,4,0,491,0.7024320457796852,208,0.29756795422031473,4,0.008146639511201629,0.020757304703736563,4,0,domain_label,0.2,44,3,3
fraction_granularity_domain_shift,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,213,0.7473684210526316,72,0.25263157894736843,0,0.0,0.017715518248153008,0,0,domain_shift,0.05,3,0,0
fraction_granularity_domain_shift,third_batch,306,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0,191,0.6241830065359477,115,0.3758169934640523,1,0.005235602094240838,0.02905576326937404,1,0,domain_shift,0.05,6,0,0
fraction_granularity_domain_shift,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,54,0.5,54,0.5,0,0.0,0.0664135880908964,0,0,domain_shift,0.05,2,0,0
fraction_granularity_domain_shift,internal_known,591,0.9983079526226735,0.9977578475336323,0.9977528089887641,0.860011698186781,1,0,404,0.6835871404399323,187,0.3164128595600677,1,0.0024752475247524753,0.01388579095087539,1,0,domain_shift,0.05,9,0,0
fraction_granularity_domain_shift,all_domains,699,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0,458,0.6552217453505007,241,0.3447782546494993,1,0.002183406113537118,0.012262661824341797,1,0,domain_shift,0.05,11,0,0
fraction_granularity_domain_shift,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,217,0.7614035087719299,68,0.23859649122807017,0,0.0,0.017394645195733326,0,0,domain_shift,0.1,7,0,0
