audit_domain,risk_score,release_fraction_of_v195_review,n_folds,total_cases,released_n_sum,released_error_n_sum,released_error_n_max,released_high_risk_fn_n_sum,released_high_risk_fn_n_max,remaining_review_or_reject_n_sum,auto_error_n_sum,auto_error_n_max,auto_high_risk_fn_n_sum,auto_high_risk_fn_n_max,review_or_reject_rate_mean,review_or_reject_rate_max,balanced_accuracy_mean,balanced_accuracy_min
third_batch,router_risk_mean,0.3,5,306,34,5,2,4,2,87,6,2,5,2,0.28429402432575357,0.3442622950819672,0.9672630718954249,0.9375
third_batch,base_uncertainty,0.25,5,306,29,5,2,4,1,92,6,2,5,2,0.30063458487572714,0.36065573770491804,0.9668954248366013,0.9375
third_batch,router_risk_mean,0.25,5,306,29,5,2,4,2,92,6,2,5,2,0.30063458487572714,0.36065573770491804,0.9672630718954249,0.9375
third_batch,hybrid_score,0.2,5,306,22,5,2,4,1,99,6,2,5,2,0.323532522474881,0.39344262295081966,0.9672630718954249,0.9375
third_batch,router_risk_mean,0.2,5,306,22,5,2,4,2,99,6,2,5,2,0.323532522474881,0.39344262295081966,0.9672630718954249,0.9375
third_batch,model_disagreement_rate,0.5,5,306,59,5,1,5,1,62,6,2,6,2,0.20259122157588577,0.2459016393442623,0.9632352941176471,0.9375
third_batch,safe_distance_case_score,0.5,5,306,59,6,2,5,1,62,7,2,6,2,0.20259122157588577,0.2459016393442623,0.9610130718954248,0.9375
third_batch,safe_distance_full_score,0.5,5,306,59,6,2,5,1,62,7,2,6,2,0.20259122157588577,0.2459016393442623,0.9610130718954248,0.9375
third_batch,hybrid_score,0.5,5,306,59,7,2,6,2,62,8,2,7,2,0.20259122157588577,0.2459016393442623,0.9551307189542484,0.9375
third_batch,router_risk_mean,0.5,5,306,59,7,2,6,2,62,8,2,7,2,0.20259122157588577,0.2459016393442623,0.9551307189542484,0.9375
third_batch,hybrid_score,0.4,5,306,47,7,2,6,2,74,8,2,7,2,0.24182971972501321,0.29508196721311475,0.9551307189542484,0.9375
third_batch,router_risk_mean,0.4,5,306,47,7,2,6,2,74,8,2,7,2,0.24182971972501321,0.29508196721311475,0.9551307189542484,0.9375
third_batch,hybrid_score,0.3,5,306,34,7,2,6,2,87,8,2,7,2,0.28429402432575357,0.3442622950819672,0.9551307189542484,0.9375
third_batch,hybrid_score,0.25,5,306,29,7,2,6,2,92,8,2,7,2,0.30063458487572714,0.36065573770491804,0.9551307189542484,0.9375
third_batch,base_uncertainty,0.5,5,306,59,8,3,6,2,62,9,3,7,2,0.20259122157588577,0.2459016393442623,0.9529084967320263,0.9375
third_batch,base_uncertainty,0.4,5,306,47,8,3,6,2,74,9,3,7,2,0.24182971972501321,0.29508196721311475,0.9529084967320263,0.9375
