policy,scope,n,accuracy,balanced_accuracy,f1,auc,fn,fp,auto_decision_n,auto_decision_rate,review_or_reject_n,review_or_reject_rate,auto_error_n,auto_error_rate,auto_error_wilson95_high,auto_high_risk_fn_n,auto_low_risk_fp_n,result_family,target_review_rate,actual_review_rate,risk_score,hard_shift_gate
risk_rank_disagreement_score,third_batch,306,0.9869281045751634,0.975609756097561,0.975,0.818270905923345,4,0,153,0.5,153,0.5,4,0.026143790849673203,0.06528680567187906,4,0,risk_curve,0.5,0.5,disagreement_score,normal_or_known_shift
risk_rank_disagreement_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,54,0.5,54,0.5,0,0.0,0.0664135880908964,0,0,risk_curve,0.5,0.5,disagreement_score,severe_unknown_shift
risk_rank_disagreement_score,all_domains,699,0.9899856938483548,0.9877233877233877,0.9869158878504672,0.8353017353017353,6,1,349,0.49928469241773965,350,0.5007153075822603,7,0.02005730659025788,0.040816097698661936,6,1,risk_curve,0.5,0.5007153075822603,disagreement_score,mixed
risk_rank_disagreement_score,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,114,0.4,171,0.6,0,0.0,0.03259853415884162,0,0,risk_curve,0.6,0.6,disagreement_score,normal_or_known_shift
risk_rank_disagreement_score,third_batch,306,0.9901960784313726,0.9817073170731707,0.9813664596273292,0.818270905923345,3,0,122,0.39869281045751637,184,0.6013071895424836,3,0.02459016393442623,0.06980759843589,3,0,risk_curve,0.6,0.6013071895424836,disagreement_score,normal_or_known_shift
risk_rank_disagreement_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,43,0.39814814814814814,65,0.6018518518518519,0,0.0,0.08200980322579117,0,0,risk_curve,0.6,0.6018518518518519,disagreement_score,severe_unknown_shift
risk_rank_disagreement_score,all_domains,699,0.9928469241773963,0.9914270914270914,0.9906890130353817,0.8353017353017353,4,1,280,0.4005722460658083,419,0.5994277539341917,5,0.017857142857142856,0.0411137360157965,4,1,risk_curve,0.6,0.5994277539341917,disagreement_score,mixed
risk_rank_disagreement_score,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,85,0.2982456140350877,200,0.7017543859649122,0,0.0,0.04323948381405149,0,0,risk_curve,0.7,0.7017543859649122,disagreement_score,normal_or_known_shift
risk_rank_disagreement_score,third_batch,306,0.9934640522875817,0.9878048780487805,0.9876543209876543,0.818270905923345,2,0,92,0.3006535947712418,214,0.6993464052287581,2,0.021739130434782608,0.07583493982695838,2,0,risk_curve,0.7,0.6993464052287581,disagreement_score,normal_or_known_shift
risk_rank_disagreement_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,32,0.2962962962962963,76,0.7037037037037037,0,0.0,0.1071791982550706,0,0,risk_curve,0.7,0.7037037037037037,disagreement_score,severe_unknown_shift
risk_rank_disagreement_score,all_domains,699,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0,210,0.30042918454935624,489,0.6995708154506438,1,0.004761904761904762,0.026475685811790724,1,0,risk_curve,0.7,0.6995708154506438,disagreement_score,mixed
risk_rank_disagreement_score,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,57,0.2,228,0.8,0,0.0,0.06313883485297894,0,0,risk_curve,0.8,0.8,disagreement_score,normal_or_known_shift
risk_rank_disagreement_score,third_batch,306,0.9934640522875817,0.9878048780487805,0.9876543209876543,0.818270905923345,2,0,61,0.19934640522875818,245,0.8006535947712419,2,0.03278688524590164,0.11189490419495614,2,0,risk_curve,0.8,0.8006535947712419,disagreement_score,normal_or_known_shift
risk_rank_disagreement_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,22,0.2037037037037037,86,0.7962962962962963,0,0.0,0.14865487460862087,0,0,risk_curve,0.8,0.7962962962962963,disagreement_score,severe_unknown_shift
risk_rank_disagreement_score,all_domains,699,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0,140,0.20028612303290416,559,0.7997138769670958,1,0.007142857142857143,0.03934839306272572,1,0,risk_curve,0.8,0.7997138769670958,disagreement_score,mixed
risk_rank_router_score,old_data,285,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1,228,0.8,57,0.2,1,0.0043859649122807015,0.02442126935431016,0,1,risk_curve,0.2,0.2,router_score,normal_or_known_shift
risk_rank_router_score,third_batch,306,0.9705882352941176,0.9528527874564461,0.9433962264150944,0.818270905923345,7,2,245,0.8006535947712419,61,0.19934640522875818,9,0.036734693877551024,0.06832807864535945,7,2,risk_curve,0.2,0.19934640522875818,router_score,normal_or_known_shift
risk_rank_router_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,86,0.7962962962962963,22,0.2037037037037037,0,0.0,0.042758197285742226,0,0,risk_curve,0.2,0.2037037037037037,router_score,severe_unknown_shift
risk_rank_router_score,all_domains,699,0.9856938483547926,0.9835405335405336,0.9813432835820896,0.8353017353017353,7,3,559,0.7997138769670958,140,0.20028612303290416,10,0.017889087656529516,0.0326136271282726,7,3,risk_curve,0.2,0.20028612303290416,router_score,mixed
risk_rank_router_score,old_data,285,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1,199,0.6982456140350877,86,0.3017543859649123,1,0.005025125628140704,0.027910540802306198,0,1,risk_curve,0.3,0.3017543859649123,router_score,normal_or_known_shift
risk_rank_router_score,third_batch,306,0.9705882352941176,0.9528527874564461,0.9433962264150944,0.818270905923345,7,2,214,0.6993464052287581,92,0.3006535947712418,9,0.04205607476635514,0.07798201332035717,7,2,risk_curve,0.3,0.3006535947712418,router_score,normal_or_known_shift
risk_rank_router_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,76,0.7037037037037037,32,0.2962962962962963,0,0.0,0.048113585065137326,0,0,risk_curve,0.3,0.2962962962962963,router_score,severe_unknown_shift
risk_rank_router_score,all_domains,699,0.9856938483547926,0.9835405335405336,0.9813432835820896,0.8353017353017353,7,3,489,0.6995708154506438,210,0.30042918454935624,10,0.02044989775051125,0.03723033793004888,7,3,risk_curve,0.3,0.30042918454935624,router_score,mixed
risk_rank_router_score,old_data,285,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1,171,0.6,114,0.4,1,0.005847953216374269,0.032376978181304424,0,1,risk_curve,0.4,0.4,router_score,normal_or_known_shift
risk_rank_router_score,third_batch,306,0.9738562091503268,0.9589503484320558,0.95,0.818270905923345,6,2,184,0.6013071895424836,122,0.39869281045751637,8,0.043478260869565216,0.08343557754111408,6,2,risk_curve,0.4,0.39869281045751637,router_score,normal_or_known_shift
risk_rank_router_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,65,0.6018518518518519,43,0.39814814814814814,0,0.0,0.05580153132285689,0,0,risk_curve,0.4,0.39814814814814814,router_score,severe_unknown_shift
risk_rank_router_score,all_domains,699,0.9871244635193133,0.9853923853923854,0.9832402234636871,0.8353017353017353,6,3,419,0.5994277539341917,280,0.4005722460658083,9,0.021479713603818614,0.0403131303940933,6,3,risk_curve,0.4,0.4005722460658083,router_score,mixed
risk_rank_router_score,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,143,0.5017543859649123,142,0.4982456140350877,0,0.0,0.026160587422281553,0,0,risk_curve,0.5,0.4982456140350877,router_score,normal_or_known_shift
risk_rank_router_score,third_batch,306,0.9803921568627451,0.9672800522648084,0.9625,0.818270905923345,5,1,153,0.5,153,0.5,6,0.0392156862745098,0.08290826518333472,5,1,risk_curve,0.5,0.5,router_score,normal_or_known_shift
risk_rank_router_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,54,0.5,54,0.5,0,0.0,0.0664135880908964,0,0,risk_curve,0.5,0.5,router_score,severe_unknown_shift
risk_rank_router_score,all_domains,699,0.9914163090128756,0.9895752395752395,0.9888059701492538,0.8353017353017353,5,1,349,0.49928469241773965,350,0.5007153075822603,6,0.017191977077363897,0.03699436600455348,5,1,risk_curve,0.5,0.5007153075822603,router_score,mixed
risk_rank_router_score,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,114,0.4,171,0.6,0,0.0,0.03259853415884162,0,0,risk_curve,0.6,0.6,router_score,normal_or_known_shift
risk_rank_router_score,third_batch,306,0.9836601307189542,0.9733776132404182,0.968944099378882,0.818270905923345,4,1,122,0.39869281045751637,184,0.6013071895424836,5,0.040983606557377046,0.09236052627890128,4,1,risk_curve,0.6,0.6013071895424836,router_score,normal_or_known_shift
risk_rank_router_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,43,0.39814814814814814,65,0.6018518518518519,0,0.0,0.08200980322579117,0,0,risk_curve,0.6,0.6018518518518519,router_score,severe_unknown_shift
risk_rank_router_score,all_domains,699,0.9928469241773963,0.9914270914270914,0.9906890130353817,0.8353017353017353,4,1,280,0.4005722460658083,419,0.5994277539341917,5,0.017857142857142856,0.0411137360157965,4,1,risk_curve,0.6,0.5994277539341917,router_score,mixed
risk_rank_router_score,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,85,0.2982456140350877,200,0.7017543859649122,0,0.0,0.04323948381405149,0,0,risk_curve,0.7,0.7017543859649122,router_score,normal_or_known_shift
risk_rank_router_score,third_batch,306,0.9901960784313726,0.9817073170731707,0.9813664596273292,0.818270905923345,3,0,92,0.3006535947712418,214,0.6993464052287581,3,0.03260869565217391,0.09153359952993573,3,0,risk_curve,0.7,0.6993464052287581,router_score,normal_or_known_shift
risk_rank_router_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,32,0.2962962962962963,76,0.7037037037037037,0,0.0,0.1071791982550706,0,0,risk_curve,0.7,0.7037037037037037,router_score,severe_unknown_shift
risk_rank_router_score,all_domains,699,0.994277539341917,0.9925925925925926,0.9925373134328358,0.8353017353017353,4,0,210,0.30042918454935624,489,0.6995708154506438,4,0.01904761904761905,0.04794338192420791,4,0,risk_curve,0.7,0.6995708154506438,router_score,mixed
risk_rank_router_score,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,57,0.2,228,0.8,0,0.0,0.06313883485297894,0,0,risk_curve,0.8,0.8,router_score,normal_or_known_shift
risk_rank_router_score,third_batch,306,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0,61,0.19934640522875818,245,0.8006535947712419,1,0.01639344262295082,0.08718860044641585,1,0,risk_curve,0.8,0.8006535947712419,router_score,normal_or_known_shift
risk_rank_router_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,22,0.2037037037037037,86,0.7962962962962963,0,0.0,0.14865487460862087,0,0,risk_curve,0.8,0.7962962962962963,router_score,severe_unknown_shift
risk_rank_router_score,all_domains,699,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0,140,0.20028612303290416,559,0.7997138769670958,1,0.007142857142857143,0.03934839306272572,1,0,risk_curve,0.8,0.7997138769670958,router_score,mixed
risk_rank_hybrid_score,old_data,285,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1,228,0.8,57,0.2,1,0.0043859649122807015,0.02442126935431016,0,1,risk_curve,0.2,0.2,hybrid_score,normal_or_known_shift
risk_rank_hybrid_score,third_batch,306,0.9705882352941176,0.9528527874564461,0.9433962264150944,0.818270905923345,7,2,245,0.8006535947712419,61,0.19934640522875818,9,0.036734693877551024,0.06832807864535945,7,2,risk_curve,0.2,0.19934640522875818,hybrid_score,normal_or_known_shift
risk_rank_hybrid_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,86,0.7962962962962963,22,0.2037037037037037,0,0.0,0.042758197285742226,0,0,risk_curve,0.2,0.2037037037037037,hybrid_score,severe_unknown_shift
risk_rank_hybrid_score,all_domains,699,0.9856938483547926,0.9835405335405336,0.9813432835820896,0.8353017353017353,7,3,559,0.7997138769670958,140,0.20028612303290416,10,0.017889087656529516,0.0326136271282726,7,3,risk_curve,0.2,0.20028612303290416,hybrid_score,mixed
risk_rank_hybrid_score,old_data,285,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1,199,0.6982456140350877,86,0.3017543859649123,1,0.005025125628140704,0.027910540802306198,0,1,risk_curve,0.3,0.3017543859649123,hybrid_score,normal_or_known_shift
risk_rank_hybrid_score,third_batch,306,0.9705882352941176,0.9528527874564461,0.9433962264150944,0.818270905923345,7,2,214,0.6993464052287581,92,0.3006535947712418,9,0.04205607476635514,0.07798201332035717,7,2,risk_curve,0.3,0.3006535947712418,hybrid_score,normal_or_known_shift
risk_rank_hybrid_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,76,0.7037037037037037,32,0.2962962962962963,0,0.0,0.048113585065137326,0,0,risk_curve,0.3,0.2962962962962963,hybrid_score,severe_unknown_shift
risk_rank_hybrid_score,all_domains,699,0.9856938483547926,0.9835405335405336,0.9813432835820896,0.8353017353017353,7,3,489,0.6995708154506438,210,0.30042918454935624,10,0.02044989775051125,0.03723033793004888,7,3,risk_curve,0.3,0.30042918454935624,hybrid_score,mixed
risk_rank_hybrid_score,old_data,285,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1,171,0.6,114,0.4,1,0.005847953216374269,0.032376978181304424,0,1,risk_curve,0.4,0.4,hybrid_score,normal_or_known_shift
risk_rank_hybrid_score,third_batch,306,0.9771241830065359,0.9611824912891986,0.9559748427672956,0.818270905923345,6,1,184,0.6013071895424836,122,0.39869281045751637,7,0.03804347826086957,0.07643313026659554,6,1,risk_curve,0.4,0.39869281045751637,hybrid_score,normal_or_known_shift
risk_rank_hybrid_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,65,0.6018518518518519,43,0.39814814814814814,0,0.0,0.05580153132285689,0,0,risk_curve,0.4,0.39814814814814814,hybrid_score,severe_unknown_shift
risk_rank_hybrid_score,all_domains,699,0.9871244635193133,0.9847060347060348,0.983177570093458,0.8353017353017353,7,2,419,0.5994277539341917,280,0.4005722460658083,9,0.021479713603818614,0.0403131303940933,7,2,risk_curve,0.4,0.4005722460658083,hybrid_score,mixed
risk_rank_hybrid_score,old_data,285,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1,143,0.5017543859649123,142,0.4982456140350877,1,0.006993006993006993,0.03854521317655134,0,1,risk_curve,0.5,0.4982456140350877,hybrid_score,normal_or_known_shift
risk_rank_hybrid_score,third_batch,306,0.9771241830065359,0.9611824912891986,0.9559748427672956,0.818270905923345,6,1,153,0.5,153,0.5,7,0.0457516339869281,0.09141852139711071,6,1,risk_curve,0.5,0.5,hybrid_score,normal_or_known_shift
risk_rank_hybrid_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,54,0.5,54,0.5,0,0.0,0.0664135880908964,0,0,risk_curve,0.5,0.5,hybrid_score,severe_unknown_shift
risk_rank_hybrid_score,all_domains,699,0.9885550786838341,0.9865578865578866,0.9850746268656716,0.8353017353017353,6,2,349,0.49928469241773965,350,0.5007153075822603,8,0.022922636103151862,0.0445733156024931,6,2,risk_curve,0.5,0.5007153075822603,hybrid_score,mixed
risk_rank_hybrid_score,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,114,0.4,171,0.6,0,0.0,0.03259853415884162,0,0,risk_curve,0.6,0.6,hybrid_score,normal_or_known_shift
risk_rank_hybrid_score,third_batch,306,0.9869281045751634,0.9794751742160279,0.9753086419753086,0.818270905923345,3,1,122,0.39869281045751637,184,0.6013071895424836,4,0.03278688524590164,0.08127563379380506,3,1,risk_curve,0.6,0.6013071895424836,hybrid_score,normal_or_known_shift
