variant,model,weight_mode,objective,all_threshold,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_sensitivity_high,all_specificity_low,all_auc,old_threshold,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_sensitivity_high,old_specificity_low,old_auc,third_threshold,third_accuracy,third_balanced_accuracy,third_f1,third_tn,third_fp,third_fn,third_tp,third_sensitivity_high,third_specificity_low,third_auc,selection_score,old_guard_090
whole_crop,logreg_plain_c0.003,domain_label,high_sens80,0.4699999999999999,0.5989847715736041,0.6417674010528368,0.6056572379367721,172,196,41,182,0.8161434977578476,0.4673913043478261,0.7267011113277442,0.4699999999999999,0.6385964912280702,0.6407358156028369,0.6979472140762464,63,81,22,119,0.8439716312056738,0.4375,0.7414302600472813,0.4699999999999999,0.5620915032679739,0.627449912891986,0.4846153846153846,109,115,19,63,0.7682926829268293,0.48660714285714285,0.682001306620209,0.3791898086757258,False
whole_crop,logreg_plain_c0.003,none,high_sens80,0.44499999999999995,0.6040609137055838,0.6423096607525833,0.6033898305084746,179,189,45,178,0.7982062780269058,0.48641304347826086,0.7279684148956913,0.44499999999999995,0.6350877192982456,0.6370419621749409,0.6904761904761905,65,79,25,116,0.8226950354609929,0.4513888888888889,0.7408884948778567,0.44499999999999995,0.5751633986928104,0.6325130662020906,0.4881889763779528,114,110,20,62,0.7560975609756098,0.5089285714285714,0.6848867595818815,0.3780044514095663,False
bgnorm085_whole_crop,logreg_plain_c0.003,domain_label,high_sens80,0.4699999999999999,0.5922165820642978,0.6336822480015598,0.5976627712854758,171,197,44,179,0.8026905829596412,0.46467391304347827,0.7050838370052641,0.4699999999999999,0.6421052631578947,0.644281914893617,0.7017543859649122,63,81,21,120,0.851063829787234,0.4375,0.7302994483845547,0.4699999999999999,0.545751633986928,0.6008275261324042,0.4591439688715953,108,116,23,59,0.7195121951219512,0.48214285714285715,0.6434560104529617,0.3732094748946656,False
bgnorm085_whole_crop,logreg_bal_c0.003,domain_label,high_sens80,0.4649999999999999,0.5888324873096447,0.6327317703255996,0.5983471074380166,167,201,42,181,0.8116591928251121,0.453804347826087,0.7050594657828038,0.4649999999999999,0.6421052631578947,0.6444296690307328,0.7052023121387283,61,83,19,122,0.8652482269503546,0.4236111111111111,0.7303486997635933,0.4649999999999999,0.5392156862745098,0.5963632404181185,0.4555984555984556,106,118,23,59,0.7195121951219512,0.4732142857142857,0.6433471254355401,0.3706073258790311,False
bgnorm085_whole_crop,logreg_plain_c0.003,none,high_sens80,0.43999999999999995,0.5888324873096447,0.6327317703255996,0.5983471074380166,167,201,42,181,0.8116591928251121,0.453804347826087,0.7054981477870931,0.43999999999999995,0.6421052631578947,0.6444296690307328,0.7052023121387283,61,83,19,122,0.8652482269503546,0.4236111111111111,0.7288219070133963,0.43999999999999995,0.5392156862745098,0.5963632404181185,0.4555984555984556,106,118,23,59,0.7195121951219512,0.4732142857142857,0.6457970383275262,0.3706073258790311,False
crop,logreg_plain_c0.01,none,balanced_accuracy,0.4499999999999999,0.6683587140439933,0.6709702183661532,0.608,243,125,71,152,0.6816143497757847,0.6603260869565217,0.7296378436342367,0.4499999999999999,0.6877192982456141,0.6881648936170213,0.6983050847457627,93,51,38,103,0.7304964539007093,0.6458333333333334,0.7284278959810875,0.4499999999999999,0.6503267973856209,0.6336019163763066,0.47804878048780486,150,74,33,49,0.5975609756097561,0.6696428571428571,0.7079159407665505,0.3694195359796155,False
bgnorm085_whole_crop,logreg_plain_c0.01,none,high_sens80,0.36499999999999994,0.5905245346869712,0.6358573796061611,0.6019736842105263,166,202,40,183,0.820627802690583,0.45108695652173914,0.7029513550399689,0.36499999999999994,0.6385964912280702,0.6410313238770686,0.7048710601719198,59,85,18,123,0.8723404255319149,0.4097222222222222,0.7222714736012608,0.36499999999999994,0.545751633986928,0.6046929442508711,0.46332046332046334,107,117,22,60,0.7317073170731707,0.47767857142857145,0.6479202961672474,0.36918339670945166,False
whole_crop,logreg_plain_c0.03,none,balanced_accuracy,0.4099999999999999,0.6548223350253807,0.6583337395203743,0.5952380952380952,237,131,73,150,0.672645739910314,0.6440217391304348,0.7210713589393645,0.4099999999999999,0.6596491228070176,0.6600177304964538,0.6689419795221843,90,54,43,98,0.6950354609929078,0.625,0.7314814814814814,0.4099999999999999,0.6503267973856209,0.6451981707317074,0.4928909952606635,147,77,30,52,0.6341463414634146,0.65625,0.6837979094076654,0.3673554186774084,False
bgnorm085_whole_crop,logreg_bal_c0.003,none,high_sens80,0.4699999999999999,0.5922165820642978,0.6327987911873659,0.5963149078726968,172,196,45,178,0.7982062780269058,0.4673913043478261,0.7038652758822382,0.4699999999999999,0.6350877192982456,0.6372635933806147,0.695906432748538,62,82,22,119,0.8439716312056738,0.4305555555555556,0.7256205673758866,0.4699999999999999,0.5522875816993464,0.6052918118466899,0.4627450980392157,110,114,23,59,0.7195121951219512,0.49107142857142855,0.6462325783972126,0.36532940106595546,False
bgnorm085_whole_crop,logreg_bal_c0.01,none,high_sens80,0.41999999999999993,0.5922165820642978,0.6327987911873659,0.5963149078726968,172,196,45,178,0.7982062780269058,0.4673913043478261,0.6998074673425618,0.41999999999999993,0.6350877192982456,0.6372635933806147,0.695906432748538,62,82,22,119,0.8439716312056738,0.4305555555555556,0.7179866036249015,0.41999999999999993,0.5522875816993464,0.6052918118466899,0.4627450980392157,110,114,23,59,0.7195121951219512,0.49107142857142855,0.6469947735191638,0.36532940106595546,False
bgnorm085_whole_crop,logreg_bal_c0.01,domain_label,high_sens80,0.41999999999999993,0.5905245346869712,0.631440095535192,0.5953177257525084,171,197,45,178,0.7982062780269058,0.46467391304347827,0.7001852212906999,0.41999999999999993,0.6350877192982456,0.6372635933806147,0.695906432748538,62,82,22,119,0.8439716312056738,0.4305555555555556,0.7203999211977936,0.41999999999999993,0.5490196078431373,0.603059668989547,0.4609375,109,115,23,59,0.7195121951219512,0.48660714285714285,0.6447626306620209,0.36400616343757075,False
crop,logreg_plain_c0.003,none,balanced_accuracy,0.4749999999999999,0.6632825719120136,0.6668941314096315,0.6043737574552683,240,128,71,152,0.6816143497757847,0.6521739130434783,0.7285411386235133,0.4749999999999999,0.6736842105263158,0.6742021276595744,0.6868686868686869,90,54,39,102,0.723404255319149,0.625,0.7305457052797478,0.4749999999999999,0.6535947712418301,0.6396994773519163,0.4854368932038835,150,74,32,50,0.6097560975609756,0.6696428571428571,0.7024172473867596,0.3630665859443678,False
whole_crop,logreg_plain_c0.01,domain_label,balanced_accuracy,0.49999999999999994,0.6548223350253807,0.6583337395203743,0.5952380952380952,237,131,73,150,0.672645739910314,0.6440217391304348,0.7225458178982258,0.49999999999999994,0.6631578947368421,0.663563829787234,0.673469387755102,90,54,42,99,0.7021276595744681,0.625,0.7340425531914894,0.49999999999999994,0.6470588235294118,0.6391006097560976,0.4857142857142857,147,77,31,51,0.6219512195121951,0.65625,0.6813479965156795,0.3579517897652874,False
bgnorm085_whole_crop,logreg_plain_c0.01,domain_label,high_sens80,0.41999999999999993,0.5871404399323181,0.6287227042308442,0.5933333333333334,169,199,45,178,0.7982062780269058,0.4592391304347826,0.7001364788457789,0.41999999999999993,0.631578947368421,0.6337913711583925,0.6938775510204082,61,83,22,119,0.8439716312056738,0.4236111111111111,0.7200551615445232,0.41999999999999993,0.545751633986928,0.6008275261324042,0.4591439688715953,108,116,23,59,0.7195121951219512,0.48214285714285715,0.6447626306620209,0.3574307328267299,False
crop,logreg_plain_c0.01,domain_label,balanced_accuracy,0.5049999999999999,0.6666666666666666,0.6687280658997855,0.6052104208416834,243,125,72,151,0.6771300448430493,0.6603260869565217,0.7277003314486254,0.5049999999999999,0.6771929824561403,0.6776743498817968,0.6891891891891891,91,53,39,102,0.723404255319149,0.6319444444444444,0.7268026004728132,0.5049999999999999,0.6568627450980392,0.6380662020905923,0.4827586206896552,152,72,33,49,0.5975609756097561,0.6785714285714286,0.7041594076655052,0.356287269168449,False
whole_crop,logreg_plain_c0.01,none,balanced_accuracy,0.4499999999999999,0.6615905245346869,0.6611181516864886,0.5951417004048583,244,124,76,147,0.6591928251121076,0.6630434782608695,0.7254338077597972,0.4499999999999999,0.6666666666666666,0.6668882978723405,0.671280276816609,93,51,44,97,0.6879432624113475,0.6458333333333334,0.7375886524822695,0.4499999999999999,0.6568627450980392,0.6419316202090593,0.4878048780487805,151,73,32,50,0.6097560975609756,0.6741071428571429,0.6857578397212544,0.3537746220050033,False
crop,logreg_bal_c0.01,domain_label,balanced_accuracy,0.5099999999999999,0.6683587140439933,0.6674363911093781,0.6016260162601627,247,121,75,148,0.6636771300448431,0.6711956521739131,0.7277612595047768,0.5099999999999999,0.6736842105263158,0.6739804964539007,0.6804123711340206,93,51,42,99,0.7021276595744681,0.6458333333333334,0.7269503546099291,0.5099999999999999,0.6633986928104575,0.6425304878048781,0.48756218905472637,154,70,33,49,0.5975609756097561,0.6875,0.7043771777003485,0.3536150620810602,False
crop,logreg_bal_c0.01,none,balanced_accuracy,0.5149999999999999,0.6717428087986463,0.6683868687853383,0.6008230452674898,251,117,77,146,0.6547085201793722,0.6820652173913043,0.727822187560928,0.5149999999999999,0.6701754385964912,0.6703605200945626,0.6736111111111112,94,50,44,97,0.6879432624113475,0.6527777777777778,0.7266548463356974,0.5149999999999999,0.673202614379085,0.6492269163763066,0.494949494949495,157,67,33,49,0.5975609756097561,0.7008928571428571,0.7061737804878049,0.35228825574262335,False
bgnorm085_whole_crop,logreg_plain_c0.03,none,high_sens80,0.285,0.583756345177665,0.6286556833690777,0.5953947368421053,164,204,42,181,0.8116591928251121,0.44565217391304346,0.698637648664457,0.285,0.6280701754385964,0.6304669030732861,0.6954022988505747,58,86,20,121,0.8581560283687943,0.4027777777777778,0.7161150512214342,0.285,0.5424836601307189,0.6024608013937283,0.46153846153846156,106,118,22,60,0.7317073170731707,0.4732142857142857,0.6473758710801394,0.3520592538925639,False
crop,logreg_bal_c0.003,domain_label,balanced_accuracy,0.5049999999999999,0.6632825719120136,0.665127217781244,0.6012024048096193,242,126,73,150,0.672645739910314,0.657608695652174,0.7280537141743029,0.5049999999999999,0.6736842105263158,0.6741282505910166,0.6847457627118644,91,53,40,101,0.7163120567375887,0.6319444444444444,0.7312844759653271,0.5049999999999999,0.6535947712418301,0.6358340592334495,0.4803921568627451,151,73,33,49,0.5975609756097561,0.6741071428571429,0.6999128919860628,0.34968967543704077,False
crop,logreg_plain_c0.003,domain_label,balanced_accuracy,0.5049999999999999,0.6615905245346869,0.6646519789432638,0.601593625498008,240,128,72,151,0.6771300448430493,0.6521739130434783,0.728053714174303,0.5049999999999999,0.6736842105263158,0.6742021276595744,0.6868686868686869,90,54,39,102,0.723404255319149,0.625,0.7313337273443656,0.5049999999999999,0.6503267973856209,0.6336019163763066,0.47804878048780486,150,74,33,49,0.5975609756097561,0.6696428571428571,0.6998040069686411,0.3483886009292235,False
crop,logreg_bal_c0.003,none,balanced_accuracy,0.5049999999999999,0.6598984771573604,0.6624098264768961,0.5988023952095808,240,128,73,150,0.672645739910314,0.6521739130434783,0.728102456619224,0.5049999999999999,0.6701754385964912,0.6706560283687943,0.6824324324324325,90,54,40,101,0.7163120567375887,0.625,0.7292651694247438,0.5049999999999999,0.6503267973856209,0.6336019163763066,0.47804878048780486,150,74,33,49,0.5975609756097561,0.6696428571428571,0.7026894599303135,0.3431142448262,False
bgnorm085_whole_crop,logreg_bal_c0.03,none,high_sens80,0.32499999999999996,0.5736040609137056,0.6231538798986157,0.5935483870967742,155,213,39,184,0.8251121076233184,0.421195652173913,0.6952744199649055,0.32499999999999996,0.6140350877192983,0.616651891252955,0.6892655367231638,53,91,19,122,0.8652482269503546,0.3680555555555556,0.7102048857368006,0.32499999999999996,0.5359477124183006,0.6057273519163763,0.46616541353383456,102,122,20,62,0.7560975609756098,0.45535714285714285,0.646341463414634,0.3307454206976175,False
bgnorm085_whole_crop,logreg_bal_c0.03,domain_label,high_sens80,0.31499999999999995,0.5702199661590525,0.6213199454084617,0.592948717948718,152,216,38,185,0.8295964125560538,0.41304347826086957,0.6952744199649055,0.31499999999999995,0.6105263157894737,0.6131796690307328,0.6873239436619718,52,92,19,122,0.8652482269503546,0.3611111111111111,0.711436170212766,0.31499999999999995,0.5326797385620915,0.6073606271777003,0.4684014869888476,100,124,19,63,0.7682926829268293,0.44642857142857145,0.6445993031358885,0.32532961552231665,False
