config_id,threshold_objective,threshold,best_epoch,repeat_adapt,hidden,dropout,lr,wd,smooth,epochs,patience,batch,val_accuracy,val_balanced_accuracy,val_f1,val_auc,val_tn,val_fp,val_fn,val_tp,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_auc,holdout_tn,holdout_fp,holdout_fn,holdout_tp
4,balanced_accuracy,0.6499999999999999,0,1,512,0.15,0.0005,0.0001,0.02,160,16,64,0.7384615384615385,0.7443074003795067,0.711864406779661,0.7666034155597723,27,4,13,21,0.8076923076923077,0.6518528464017186,0.4155844155844156,0.7436895810955961,173,23,22,16
4,accuracy,0.6499999999999999,0,1,512,0.15,0.0005,0.0001,0.02,160,16,64,0.7384615384615385,0.7443074003795067,0.711864406779661,0.7666034155597723,27,4,13,21,0.8076923076923077,0.6518528464017186,0.4155844155844156,0.7436895810955961,173,23,22,16
2,balanced_accuracy,0.7599999999999999,1,1,256,0.15,0.0008,0.0001,0.02,160,16,64,0.7230769230769231,0.7324478178368121,0.6666666666666666,0.7609108159392789,29,2,16,18,0.8418803418803419,0.651047261009667,0.4307692307692308,0.737781954887218,183,13,24,14
13,balanced_accuracy,0.48999999999999994,2,4,128,0.3,0.0008,0.0001,0.02,160,16,64,0.7076923076923077,0.709203036053131,0.7076923076923077,0.7210626185958254,23,8,11,23,0.7777777777777778,0.6446025778732546,0.3953488372093023,0.7317400644468314,165,31,21,17
13,accuracy,0.48999999999999994,2,4,128,0.3,0.0008,0.0001,0.02,160,16,64,0.7076923076923077,0.709203036053131,0.7076923076923077,0.7210626185958254,23,8,11,23,0.7777777777777778,0.6446025778732546,0.3953488372093023,0.7317400644468314,165,31,21,17
5,balanced_accuracy,0.6799999999999999,2,1,512,0.3,0.0005,0.0001,0.02,160,16,64,0.7230769230769231,0.7281783681214422,0.7,0.7533206831119544,26,5,13,21,0.811965811965812,0.643796992481203,0.40540540540540543,0.7545649838882922,175,21,23,15
2,accuracy,0.61,1,1,256,0.15,0.0008,0.0001,0.02,160,16,64,0.7230769230769231,0.7253320683111955,0.71875,0.7609108159392789,24,7,11,23,0.7564102564102564,0.6424543501611171,0.3870967741935484,0.737781954887218,159,37,20,18
10,balanced_accuracy,0.4599999999999999,1,2,512,0.15,0.0005,0.0001,0.02,160,16,64,0.7230769230769231,0.7224857685009488,0.7352941176470589,0.7314990512333966,22,9,9,25,0.6495726495726496,0.6423200859291085,0.36923076923076925,0.7435553168635876,128,68,14,24
10,accuracy,0.4599999999999999,1,2,512,0.15,0.0005,0.0001,0.02,160,16,64,0.7230769230769231,0.7224857685009488,0.7352941176470589,0.7314990512333966,22,9,9,25,0.6495726495726496,0.6423200859291085,0.36923076923076925,0.7435553168635876,128,68,14,24
18,balanced_accuracy,0.3999999999999999,9,8,128,0.15,0.0008,0.0001,0.02,160,16,64,0.7076923076923077,0.7049335863377608,0.7323943661971831,0.7239089184060721,20,11,8,26,0.6495726495726496,0.6423200859291085,0.36923076923076925,0.7181793770139635,128,68,14,24
18,accuracy,0.3999999999999999,9,8,128,0.15,0.0008,0.0001,0.02,160,16,64,0.7076923076923077,0.7049335863377608,0.7323943661971831,0.7239089184060721,20,11,8,26,0.6495726495726496,0.6423200859291085,0.36923076923076925,0.7181793770139635,128,68,14,24
3,balanced_accuracy,0.59,0,1,256,0.3,0.0008,0.0001,0.02,160,16,64,0.7230769230769231,0.7296015180265655,0.6896551724137931,0.7476280834914611,27,4,14,20,0.8076923076923077,0.6412459720730397,0.4,0.7556390977443609,174,22,23,15
0,balanced_accuracy,0.59,0,1,128,0.15,0.0008,0.0001,0.02,160,16,64,0.6923076923076923,0.7030360531309298,0.6153846153846154,0.7314990512333966,29,2,18,16,0.8418803418803419,0.6404403866809882,0.4126984126984127,0.7062298603651986,184,12,25,13
0,accuracy,0.59,0,1,128,0.15,0.0008,0.0001,0.02,160,16,64,0.6923076923076923,0.7030360531309298,0.6153846153846154,0.7314990512333966,29,2,18,16,0.8418803418803419,0.6404403866809882,0.4126984126984127,0.7062298603651986,184,12,25,13
9,balanced_accuracy,0.7,1,2,256,0.3,0.0008,0.0001,0.02,160,16,64,0.6923076923076923,0.7001897533206831,0.6428571428571429,0.7030360531309298,27,4,16,18,0.8418803418803419,0.6404403866809882,0.4126984126984127,0.7654403866809881,184,12,25,13
9,accuracy,0.7,1,2,256,0.3,0.0008,0.0001,0.02,160,16,64,0.6923076923076923,0.7001897533206831,0.6428571428571429,0.7030360531309298,27,4,16,18,0.8418803418803419,0.6404403866809882,0.4126984126984127,0.7654403866809881,184,12,25,13
3,accuracy,0.57,0,1,256,0.3,0.0008,0.0001,0.02,160,16,64,0.7230769230769231,0.7281783681214422,0.7,0.7476280834914611,26,5,13,21,0.7692307692307693,0.639500537056928,0.38636363636363635,0.7556390977443609,163,33,21,17
23,balanced_accuracy,0.49999999999999994,8,8,512,0.3,0.0005,0.0001,0.02,160,16,64,0.676923076923077,0.6783681214421253,0.676923076923077,0.6707779886148008,22,9,12,22,0.6794871794871795,0.6389634801288937,0.3697478991596639,0.7097207303974221,137,59,16,22
23,accuracy,0.49999999999999994,8,8,512,0.3,0.0005,0.0001,0.02,160,16,64,0.676923076923077,0.6783681214421253,0.676923076923077,0.6707779886148008,22,9,12,22,0.6794871794871795,0.6389634801288937,0.3697478991596639,0.7097207303974221,137,59,16,22
12,balanced_accuracy,0.38999999999999996,3,4,128,0.15,0.0008,0.0001,0.02,160,16,64,0.6923076923076923,0.6888045540796963,0.7222222222222222,0.6935483870967741,19,12,8,26,0.6837606837606838,0.6309076262083781,0.3620689655172414,0.7179108485499462,139,57,17,21
12,accuracy,0.38999999999999996,3,4,128,0.15,0.0008,0.0001,0.02,160,16,64,0.6923076923076923,0.6888045540796963,0.7222222222222222,0.6935483870967741,19,12,8,26,0.6837606837606838,0.6309076262083781,0.3620689655172414,0.7179108485499462,139,57,17,21
11,balanced_accuracy,0.6599999999999999,3,2,512,0.3,0.0005,0.0001,0.02,160,16,64,0.6923076923076923,0.6930740037950665,0.696969696969697,0.7125237191650854,22,9,11,23,0.717948717948718,0.6301020408163265,0.36538461538461536,0.736439312567132,149,47,19,19
11,accuracy,0.6599999999999999,3,2,512,0.3,0.0005,0.0001,0.02,160,16,64,0.6923076923076923,0.6930740037950665,0.696969696969697,0.7125237191650854,22,9,11,23,0.717948717948718,0.6301020408163265,0.36538461538461536,0.736439312567132,149,47,19,19
22,balanced_accuracy,0.7499999999999999,2,8,512,0.15,0.0005,0.0001,0.02,160,16,64,0.6923076923076923,0.6973434535104364,0.6666666666666666,0.689753320683112,25,6,14,20,0.7692307692307693,0.6288936627282492,0.37209302325581395,0.7071697099892589,164,32,22,16
22,accuracy,0.7499999999999999,2,8,512,0.15,0.0005,0.0001,0.02,160,16,64,0.6923076923076923,0.6973434535104364,0.6666666666666666,0.689753320683112,25,6,14,20,0.7692307692307693,0.6288936627282492,0.37209302325581395,0.7071697099892589,164,32,22,16
6,balanced_accuracy,0.57,2,2,128,0.15,0.0008,0.0001,0.02,160,16,64,0.7384615384615385,0.7386148007590133,0.746268656716418,0.7172675521821632,23,8,9,25,0.7478632478632479,0.6267454350161117,0.3655913978494624,0.7179108485499464,158,38,21,17
6,accuracy,0.57,2,2,128,0.15,0.0008,0.0001,0.02,160,16,64,0.7384615384615385,0.7386148007590133,0.746268656716418,0.7172675521821632,23,8,9,25,0.7478632478632479,0.6267454350161117,0.3655913978494624,0.7179108485499464,158,38,21,17
16,accuracy,0.7999999999999999,1,4,512,0.15,0.0005,0.0001,0.02,160,16,64,0.6923076923076923,0.6959203036053131,0.6774193548387096,0.7068311195445921,24,7,13,21,0.7435897435897436,0.6241944146079484,0.3617021276595745,0.6954887218045113,157,39,21,17
15,balanced_accuracy,0.33999999999999997,3,4,256,0.3,0.0008,0.0001,0.02,160,16,64,0.7076923076923077,0.7063567362428842,0.7246376811594203,0.7352941176470589,21,10,9,25,0.6367521367521367,0.6240601503759399,0.3511450381679389,0.7227443609022557,126,70,15,23
15,accuracy,0.33999999999999997,3,4,256,0.3,0.0008,0.0001,0.02,160,16,64,0.7076923076923077,0.7063567362428842,0.7246376811594203,0.7352941176470589,21,10,9,25,0.6367521367521367,0.6240601503759399,0.3511450381679389,0.7227443609022557,126,70,15,23
16,balanced_accuracy,0.83,1,4,512,0.15,0.0005,0.0001,0.02,160,16,64,0.6923076923076923,0.7001897533206831,0.6428571428571429,0.7068311195445921,27,4,16,18,0.7692307692307693,0.6182867883995704,0.35714285714285715,0.6954887218045113,165,31,23,15
14,balanced_accuracy,0.84,2,4,256,0.15,0.0008,0.0001,0.02,160,16,64,0.7076923076923077,0.7106261859582543,0.6984126984126984,0.7039848197343455,24,7,12,22,0.7863247863247863,0.6178839957035446,0.358974358974359,0.7248925886143932,170,26,24,14
14,accuracy,0.84,2,4,256,0.15,0.0008,0.0001,0.02,160,16,64,0.7076923076923077,0.7106261859582543,0.6984126984126984,0.7039848197343455,24,7,12,22,0.7863247863247863,0.6178839957035446,0.358974358974359,0.7248925886143932,170,26,24,14
8,balanced_accuracy,0.7799999999999999,1,2,256,0.15,0.0008,0.0001,0.02,160,16,64,0.7384615384615385,0.7428842504743833,0.7213114754098361,0.7694497153700189,26,5,12,22,0.7692307692307693,0.5970730397422127,0.325,0.7154940923737916,167,29,25,13
8,accuracy,0.7799999999999999,1,2,256,0.15,0.0008,0.0001,0.02,160,16,64,0.7384615384615385,0.7428842504743833,0.7213114754098361,0.7694497153700189,26,5,12,22,0.7692307692307693,0.5970730397422127,0.325,0.7154940923737916,167,29,25,13
